year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,New Mexico,35,"Bernalillo County, NM",35001,American Indian or Alaska Native,Hispanic or Latino,19.0,13335.0,Unreliable,Unreliable
2018,New Mexico,35,"Bernalillo County, NM",35001,American Indian or Alaska Native,Not Hispanic or Latino,200.0,28920.0,691.6,913.6
2018,New Mexico,35,"Bernalillo County, NM",35001,Asian,Not Hispanic or Latino,84.0,17435.0,481.8,497.4
2018,New Mexico,35,"Bernalillo County, NM",35001,Black or African American,Not Hispanic or Latino,168.0,16931.0,992.3,986.0
2018,New Mexico,35,"Bernalillo County, NM",35001,White,Hispanic or Latino,2124.0,310580.0,683.9,746.1
2018,New Mexico,35,"Bernalillo County, NM",35001,White,Not Hispanic or Latino,3209.0,261180.0,1228.7,708.9
2018,New Mexico,35,"Bernalillo County, NM",35001,White,Not Stated,15.0,Not Applicable,Not Applicable,Not Applicable
2018,New Mexico,35,"Bernalillo County, NM",35001,More than one race,Hispanic or Latino,15.0,8693.0,Unreliable,Unreliable
2018,New Mexico,35,"Bernalillo County, NM",35001,More than one race,Not Hispanic or Latino,24.0,12136.0,197.8,417.5
2018,New Mexico,35,"Catron County, NM",35003,White,Not Hispanic or Latino,43.0,2697.0,1594.4,785.7
2018,New Mexico,35,"Chaves County, NM",35005,Black or African American,Not Hispanic or Latino,16.0,918.0,Unreliable,Unreliable
2018,New Mexico,35,"Chaves County, NM",35005,White,Hispanic or Latino,226.0,34552.0,654.1,813.6
2018,New Mexico,35,"Chaves County, NM",35005,White,Not Hispanic or Latino,413.0,25033.0,1649.8,916.3
2018,New Mexico,35,"Cibola County, NM",35006,American Indian or Alaska Native,Not Hispanic or Latino,89.0,10586.0,840.7,836.6
2018,New Mexico,35,"Cibola County, NM",35006,White,Hispanic or Latino,62.0,8766.0,707.3,667.8
2018,New Mexico,35,"Cibola County, NM",35006,White,Not Hispanic or Latino,88.0,5097.0,1726.5,932.8
2018,New Mexico,35,"Colfax County, NM",35007,White,Hispanic or Latino,56.0,5605.0,999.1,794.1
2018,New Mexico,35,"Colfax County, NM",35007,White,Not Hispanic or Latino,67.0,5664.0,1182.9,531.3
2018,New Mexico,35,"Curry County, NM",35009,Black or African American,Not Hispanic or Latino,25.0,2808.0,890.3,1056.2
2018,New Mexico,35,"Curry County, NM",35009,White,Hispanic or Latino,102.0,18971.0,537.7,779.1
2018,New Mexico,35,"Curry County, NM",35009,White,Not Hispanic or Latino,273.0,23262.0,1173.6,892.5
2018,New Mexico,35,"DeBaca County, NM",35011,White,Not Hispanic or Latino,12.0,928.0,Unreliable,Unreliable
2018,New Mexico,35,"Dona Ana County, NM",35013,Black or African American,Not Hispanic or Latino,25.0,3502.0,713.9,842.2
2018,New Mexico,35,"Dona Ana County, NM",35013,White,Hispanic or Latino,772.0,141234.0,546.6,622.9
2018,New Mexico,35,"Dona Ana County, NM",35013,White,Not Hispanic or Latino,811.0,58582.0,1384.4,759.3
2018,New Mexico,35,"Eddy County, NM",35015,Black or African American,Not Hispanic or Latino,12.0,750.0,Unreliable,Unreliable
2018,New Mexico,35,"Eddy County, NM",35015,White,Hispanic or Latino,198.0,27067.0,731.5,924.2
2018,New Mexico,35,"Eddy County, NM",35015,White,Not Hispanic or Latino,397.0,26672.0,1488.5,1040.1
2018,New Mexico,35,"Grant County, NM",35017,White,Hispanic or Latino,152.0,12934.0,1175.2,872.2
2018,New Mexico,35,"Grant County, NM",35017,White,Not Hispanic or Latino,179.0,12467.0,1435.8,614.7
2018,New Mexico,35,"Guadalupe County, NM",35019,White,Hispanic or Latino,44.0,3236.0,1359.7,905.5
2018,New Mexico,35,"Hidalgo County, NM",35023,White,Hispanic or Latino,32.0,2357.0,1357.7,1080.3
2018,New Mexico,35,"Hidalgo County, NM",35023,White,Not Hispanic or Latino,36.0,1663.0,2164.8,1030.6
2018,New Mexico,35,"Lea County, NM",35025,Black or African American,Not Hispanic or Latino,29.0,2358.0,1229.9,1295.7
2018,New Mexico,35,"Lea County, NM",35025,White,Hispanic or Latino,185.0,39201.0,471.9,819.2
2018,New Mexico,35,"Lea County, NM",35025,White,Not Hispanic or Latino,355.0,24361.0,1457.2,1007.4
2018,New Mexico,35,"Lincoln County, NM",35027,White,Hispanic or Latino,43.0,6075.0,707.8,650.1
2018,New Mexico,35,"Lincoln County, NM",35027,White,Not Hispanic or Latino,200.0,11939.0,1675.2,815.9
2018,New Mexico,35,"Los Alamos County, NM",35028,White,Hispanic or Latino,10.0,3172.0,Unreliable,Unreliable
2018,New Mexico,35,"Los Alamos County, NM",35028,White,Not Hispanic or Latino,132.0,13644.0,967.5,615.3
2018,New Mexico,35,"Luna County, NM",35029,White,Hispanic or Latino,108.0,15345.0,703.8,753.0
2018,New Mexico,35,"Luna County, NM",35029,White,Not Hispanic or Latino,195.0,6934.0,2812.2,1164.3
2018,New Mexico,35,"McKinley County, NM",35031,American Indian or Alaska Native,Not Hispanic or Latino,516.0,53420.0,965.9,1051.0
2018,New Mexico,35,"McKinley County, NM",35031,White,Hispanic or Latino,68.0,5895.0,1153.5,962.6
2018,New Mexico,35,"McKinley County, NM",35031,White,Not Hispanic or Latino,96.0,6101.0,1573.5,894.4
2018,New Mexico,35,"Mora County, NM",35033,White,Hispanic or Latino,41.0,3443.0,1190.8,735.5
