year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,New Mexico,35,"Bernalillo County, NM",35001,Sepsis,"Septicaemia, unspecified",A41.9,60.0,678701.0,8.8
2018,New Mexico,35,"Bernalillo County, NM",35001,Malignant neoplasms,"Oesophagus, unspecified - Malignant neoplasms",C15.9,23.0,678701.0,3.4
2018,New Mexico,35,"Bernalillo County, NM",35001,Malignant neoplasms,"Stomach, unspecified - Malignant neoplasms",C16.9,28.0,678701.0,4.1
2018,New Mexico,35,"Bernalillo County, NM",35001,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,53.0,678701.0,7.8
2018,New Mexico,35,"Bernalillo County, NM",35001,Malignant neoplasms,Malignant neoplasm of rectum,C20,14.0,678701.0,Unreliable
2018,New Mexico,35,"Bernalillo County, NM",35001,Malignant neoplasms,Liver cell carcinoma - Malignant neoplasms,C22.0,44.0,678701.0,6.5
2018,New Mexico,35,"Bernalillo County, NM",35001,Malignant neoplasms,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,13.0,678701.0,Unreliable
2018,New Mexico,35,"Bernalillo County, NM",35001,Malignant neoplasms,"Liver, unspecified - Malignant neoplasms",C22.9,25.0,678701.0,3.7
2018,New Mexico,35,"Bernalillo County, NM",35001,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,74.0,678701.0,10.9
2018,New Mexico,35,"Bernalillo County, NM",35001,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,168.0,678701.0,24.8
2018,New Mexico,35,"Bernalillo County, NM",35001,Malignant neoplasms,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,18.0,678701.0,Unreliable
2018,New Mexico,35,"Bernalillo County, NM",35001,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,93.0,678701.0,13.7
2018,New Mexico,35,"Bernalillo County, NM",35001,Malignant neoplasms,Endometrium - Malignant neoplasms,C54.1,19.0,678701.0,Unreliable
2018,New Mexico,35,"Bernalillo County, NM",35001,Malignant neoplasms,"Malignant neoplasm of uterus, part unspecified",C55,10.0,678701.0,Unreliable
2018,New Mexico,35,"Bernalillo County, NM",35001,Malignant neoplasms,Malignant neoplasm of ovary,C56,40.0,678701.0,5.9
2018,New Mexico,35,"Bernalillo County, NM",35001,Malignant neoplasms,Malignant neoplasm of prostate,C61,62.0,678701.0,9.1
2018,New Mexico,35,"Bernalillo County, NM",35001,Malignant neoplasms,"Malignant neoplasm of kidney, except renal pelvis",C64,19.0,678701.0,Unreliable
2018,New Mexico,35,"Bernalillo County, NM",35001,Malignant neoplasms,"Bladder, unspecified - Malignant neoplasms",C67.9,36.0,678701.0,5.3
2018,New Mexico,35,"Bernalillo County, NM",35001,Malignant neoplasms,"Brain, unspecified - Malignant neoplasms",C71.9,34.0,678701.0,5.0
2018,New Mexico,35,"Bernalillo County, NM",35001,Malignant neoplasms,Malignant neoplasm of thyroid gland,C73,10.0,678701.0,Unreliable
2018,New Mexico,35,"Bernalillo County, NM",35001,Malignant neoplasms,Malignant neoplasm without specification of site,C80,64.0,678701.0,9.4
2018,New Mexico,35,"Bernalillo County, NM",35001,Malignant neoplasms,Non-Hodgkin lymphoma large cell (diffuse),C83.3,10.0,678701.0,Unreliable
2018,New Mexico,35,"Bernalillo County, NM",35001,Malignant neoplasms,"Non-Hodgkin lymphoma, unspecified type",C85.9,15.0,678701.0,Unreliable
2018,New Mexico,35,"Bernalillo County, NM",35001,Malignant neoplasms,Multiple myeloma - Malignant neoplasms,C90.0,42.0,678701.0,6.2
2018,New Mexico,35,"Bernalillo County, NM",35001,Malignant neoplasms,Acute myeloid leukaemia - Malignant neoplasms,C92.0,17.0,678701.0,Unreliable
2018,New Mexico,35,"Bernalillo County, NM",35001,Diabetes,"Non-insulin-dependent diabetes mellitus, with renal complications",E11.2,15.0,678701.0,Unreliable
2018,New Mexico,35,"Bernalillo County, NM",35001,Diabetes,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,35.0,678701.0,5.2
2018,New Mexico,35,"Bernalillo County, NM",35001,Diabetes,"Unspecified diabetes mellitus, with renal complications",E14.2,25.0,678701.0,3.7
2018,New Mexico,35,"Bernalillo County, NM",35001,Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,52.0,678701.0,7.7
2018,New Mexico,35,"Bernalillo County, NM",35001,Alzheimer disease and dementia,"Vascular dementia, unspecified",F01.9,51.0,678701.0,7.5
2018,New Mexico,35,"Bernalillo County, NM",35001,Alzheimer disease and dementia,Unspecified dementia,F03,141.0,678701.0,20.8
2018,New Mexico,35,"Bernalillo County, NM",35001,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,188.0,678701.0,27.7
2018,New Mexico,35,"Bernalillo County, NM",35001,Alzheimer disease and dementia,"Senile degeneration of brain, not elsewhere classified",G31.1,20.0,678701.0,2.9
2018,New Mexico,35,"Bernalillo County, NM",35001,Alzheimer disease and dementia,Other specified degenerative diseases of nervous system,G31.8,17.0,678701.0,Unreliable
2018,New Mexico,35,"Bernalillo County, NM",35001,Hypertensive diseases,Essential (primary) hypertension,I10,19.0,678701.0,Unreliable
2018,New Mexico,35,"Bernalillo County, NM",35001,Hypertensive diseases,Hypertensive heart disease with (congestive) heart failure,I11.0,21.0,678701.0,3.1
2018,New Mexico,35,"Bernalillo County, NM",35001,Hypertensive diseases,Hypertensive heart disease without (congestive) heart failure,I11.9,33.0,678701.0,4.9
2018,New Mexico,35,"Bernalillo County, NM",35001,Hypertensive diseases,Hypertensive renal disease with renal failure,I12.0,21.0,678701.0,3.1
