year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,New Mexico,35,"Bernalillo County, NM",35001,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,18.0,678701.0,Unreliable
2019,New Mexico,35,"Bernalillo County, NM",35001,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,27.0,679121.0,4.0
2020,New Mexico,35,"Bernalillo County, NM",35001,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,21.0,681666.0,3.1
2020,New Mexico,35,"McKinley County, NM",35031,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,25.0,70824.0,35.3
2020,New Mexico,35,"San Juan County, NM",35045,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,12.0,123312.0,Unreliable
2021,New Mexico,35,"Bernalillo County, NM",35001,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,147.0,681666.0,21.6
2021,New Mexico,35,"Chaves County, NM",35005,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,12.0,64711.0,Unreliable
2021,New Mexico,35,"Dona Ana County, NM",35013,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,22.0,221262.0,9.9
2021,New Mexico,35,"Eddy County, NM",35015,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,14.0,58418.0,Unreliable
2021,New Mexico,35,"McKinley County, NM",35031,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,18.0,70824.0,Unreliable
2021,New Mexico,35,"Rio Arriba County, NM",35039,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,11.0,38521.0,Unreliable
2021,New Mexico,35,"Sandoval County, NM",35043,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,12.0,148904.0,Unreliable
2021,New Mexico,35,"San Juan County, NM",35045,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,23.0,123312.0,18.7
2021,New Mexico,35,"San Miguel County, NM",35047,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,14.0,27144.0,Unreliable
2021,New Mexico,35,"Santa Fe County, NM",35049,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,16.0,151946.0,Unreliable
2021,New Mexico,35,"Taos County, NM",35055,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,15.0,32593.0,Unreliable
2021,New Mexico,35,"Valencia County, NM",35061,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,19.0,77574.0,Unreliable
2022,New Mexico,35,"Bernalillo County, NM",35001,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,85.0,681666.0,12.5
2022,New Mexico,35,"Dona Ana County, NM",35013,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,19.0,221262.0,Unreliable
2022,New Mexico,35,"Sandoval County, NM",35043,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,15.0,148904.0,Unreliable
2022,New Mexico,35,"San Juan County, NM",35045,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,19.0,123312.0,Unreliable
2022,New Mexico,35,"San Miguel County, NM",35047,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,10.0,27144.0,Unreliable
2022,New Mexico,35,"Santa Fe County, NM",35049,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,12.0,151946.0,Unreliable
2022,New Mexico,35,"Valencia County, NM",35061,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,13.0,77574.0,Unreliable
2018,New Mexico,35,"Bernalillo County, NM",35001,Transport accidents (unintentional injuries),Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,25.0,678701.0,3.7
2019,New Mexico,35,"Bernalillo County, NM",35001,Transport accidents (unintentional injuries),Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,27.0,679121.0,4.0
2019,New Mexico,35,"McKinley County, NM",35031,Transport accidents (unintentional injuries),Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,14.0,71367.0,Unreliable
2020,New Mexico,35,"Bernalillo County, NM",35001,Transport accidents (unintentional injuries),Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,22.0,681666.0,3.2
2021,New Mexico,35,"Bernalillo County, NM",35001,Transport accidents (unintentional injuries),Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,17.0,681666.0,Unreliable
