year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,New York,36,"Albany County, NY",36001,Sepsis,"Septicaemia, unspecified",A41.9,43.0,307117.0,14.0
2018,New York,36,"Albany County, NY",36001,Malignant neoplasms,"Oesophagus, unspecified - Malignant neoplasms",C15.9,15.0,307117.0,Unreliable
2018,New York,36,"Albany County, NY",36001,Malignant neoplasms,"Stomach, unspecified - Malignant neoplasms",C16.9,10.0,307117.0,Unreliable
2018,New York,36,"Albany County, NY",36001,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,23.0,307117.0,7.5
2018,New York,36,"Albany County, NY",36001,Malignant neoplasms,Malignant neoplasm of rectum,C20,10.0,307117.0,Unreliable
2018,New York,36,"Albany County, NY",36001,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,46.0,307117.0,15.0
2018,New York,36,"Albany County, NY",36001,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,171.0,307117.0,55.7
2018,New York,36,"Albany County, NY",36001,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,45.0,307117.0,14.7
2018,New York,36,"Albany County, NY",36001,Malignant neoplasms,Malignant neoplasm of ovary,C56,18.0,307117.0,Unreliable
2018,New York,36,"Albany County, NY",36001,Malignant neoplasms,Malignant neoplasm of prostate,C61,28.0,307117.0,9.1
2018,New York,36,"Albany County, NY",36001,Malignant neoplasms,"Malignant neoplasm of kidney, except renal pelvis",C64,15.0,307117.0,Unreliable
2018,New York,36,"Albany County, NY",36001,Malignant neoplasms,"Bladder, unspecified - Malignant neoplasms",C67.9,12.0,307117.0,Unreliable
2018,New York,36,"Albany County, NY",36001,Malignant neoplasms,"Brain, unspecified - Malignant neoplasms",C71.9,17.0,307117.0,Unreliable
2018,New York,36,"Albany County, NY",36001,Malignant neoplasms,Malignant neoplasm without specification of site,C80,51.0,307117.0,16.6
2018,New York,36,"Albany County, NY",36001,Malignant neoplasms,Acute myeloid leukaemia - Malignant neoplasms,C92.0,13.0,307117.0,Unreliable
2018,New York,36,"Albany County, NY",36001,Diabetes,"Unspecified diabetes mellitus, with renal complications",E14.2,10.0,307117.0,Unreliable
2018,New York,36,"Albany County, NY",36001,Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,57.0,307117.0,18.6
2018,New York,36,"Albany County, NY",36001,Alzheimer disease and dementia,Unspecified dementia,F03,191.0,307117.0,62.2
2018,New York,36,"Albany County, NY",36001,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,93.0,307117.0,30.3
2018,New York,36,"Albany County, NY",36001,Hypertensive diseases,Essential (primary) hypertension,I10,35.0,307117.0,11.4
2018,New York,36,"Albany County, NY",36001,Hypertensive diseases,Hypertensive heart disease with (congestive) heart failure,I11.0,18.0,307117.0,Unreliable
2018,New York,36,"Albany County, NY",36001,Hypertensive diseases,Hypertensive heart disease without (congestive) heart failure,I11.9,12.0,307117.0,Unreliable
2018,New York,36,"Albany County, NY",36001,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,54.0,307117.0,17.6
2018,New York,36,"Albany County, NY",36001,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,16.0,307117.0,Unreliable
2018,New York,36,"Albany County, NY",36001,Ischemic heart disease,Atherosclerotic heart disease,I25.1,234.0,307117.0,76.2
2018,New York,36,"Albany County, NY",36001,Ischemic heart disease,Ischaemic cardiomyopathy,I25.5,13.0,307117.0,Unreliable
2018,New York,36,"Albany County, NY",36001,Ischemic heart disease,"Chronic ischaemic heart disease, unspecified",I25.9,19.0,307117.0,Unreliable
2018,New York,36,"Albany County, NY",36001,Other diseases of the circulatory system,Pulmonary embolism without mention of acute cor pulmonale,I26.9,11.0,307117.0,Unreliable
2018,New York,36,"Albany County, NY",36001,Other diseases of the circulatory system,Aortic (valve) stenosis,I35.0,15.0,307117.0,Unreliable
2018,New York,36,"Albany County, NY",36001,Other diseases of the circulatory system,"Cardiomyopathy, unspecified",I42.9,19.0,307117.0,Unreliable
2018,New York,36,"Albany County, NY",36001,Other diseases of the circulatory system,"Cardiac arrest, unspecified",I46.9,30.0,307117.0,9.8
2018,New York,36,"Albany County, NY",36001,Other diseases of the circulatory system,Atrial fibrillation and flutter,I48,36.0,307117.0,11.7
2018,New York,36,"Albany County, NY",36001,Other diseases of the circulatory system,Congestive heart failure,I50.0,47.0,307117.0,15.3
2018,New York,36,"Albany County, NY",36001,Other diseases of the circulatory system,"Heart failure, unspecified",I50.9,18.0,307117.0,Unreliable
2018,New York,36,"Albany County, NY",36001,Other diseases of the circulatory system,"Cardiovascular disease, unspecified",I51.6,13.0,307117.0,Unreliable
2018,New York,36,"Albany County, NY",36001,Cerebrovascular diseases,"Subarachnoid haemorrhage, unspecified",I60.9,10.0,307117.0,Unreliable
2018,New York,36,"Albany County, NY",36001,Cerebrovascular diseases,"Intracerebral haemorrhage, unspecified",I61.9,12.0,307117.0,Unreliable
2018,New York,36,"Albany County, NY",36001,Cerebrovascular diseases,"Cerebral infarction, unspecified",I63.9,17.0,307117.0,Unreliable
2018,New York,36,"Albany County, NY",36001,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,40.0,307117.0,13.0
2018,New York,36,"Albany County, NY",36001,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,64.0,307117.0,20.8
2018,New York,36,"Albany County, NY",36001,Chronic lower respiratory diseases,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,21.0,307117.0,6.8
2018,New York,36,"Albany County, NY",36001,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,87.0,307117.0,28.3
2018,New York,36,"Albany County, NY",36001,Other diseases of the respiratory system,Pneumonitis due to food and vomit,J69.0,34.0,307117.0,11.1
2018,New York,36,"Albany County, NY",36001,Other diseases of the respiratory system,Other interstitial pulmonary diseases with fibrosis,J84.1,19.0,307117.0,Unreliable
