year,state,county,cause_category,cause,cause_code,deaths,population,crude_rate
2018,New York,"Albany County, NY",Nontransport accidents,Unspecified fall,W19,16.0,307117.0,Unreliable
2018,New York,"Albany County, NY",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,21.0,307117.0,6.8
2018,New York,"Albany County, NY",Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,16.0,307117.0,Unreliable
2018,New York,"Albany County, NY",Assault (homicide),Assault by other and unspecified firearm discharge,X95,10.0,307117.0,Unreliable
2018,New York,"Albany County, NY",,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",Y12,16.0,307117.0,Unreliable
2018,New York,"Bronx County, NY",Transport accidents (unintentional injuries),Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,10.0,1432132.0,Unreliable
2018,New York,"Bronx County, NY",Nontransport accidents,Fall on and from stairs and steps,W10,10.0,1432132.0,Unreliable
2018,New York,"Bronx County, NY",Nontransport accidents,Unspecified fall,W19,47.0,1432132.0,3.3
2018,New York,"Bronx County, NY",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,275.0,1432132.0,19.2
2018,New York,"Bronx County, NY",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,96.0,1432132.0,6.7
2018,New York,"Bronx County, NY",Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,29.0,1432132.0,2.0
2018,New York,"Bronx County, NY",Intentional self-harm (suicide),Intentional self-harm by jumping from a high place,X80,18.0,1432132.0,Unreliable
2018,New York,"Bronx County, NY",Assault (homicide),Assault by other and unspecified firearm discharge,X95,55.0,1432132.0,3.8
2018,New York,"Bronx County, NY",Assault (homicide),Assault by sharp object,X99,29.0,1432132.0,2.0
2018,New York,"Broome County, NY",Nontransport accidents,Unspecified fall,W19,15.0,191659.0,Unreliable
2018,New York,"Broome County, NY",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,20.0,191659.0,10.4
2018,New York,"Broome County, NY",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,19.0,191659.0,Unreliable
2018,New York,"Broome County, NY",Nontransport accidents,Exposure to unspecified factor causing fracture,X59.0,10.0,191659.0,Unreliable
2018,New York,"Chautauqua County, NY",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,15.0,127939.0,Unreliable
2018,New York,"Chemung County, NY",Nontransport accidents,Unspecified fall,W19,11.0,84254.0,Unreliable
2018,New York,"Dutchess County, NY",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,18.0,293718.0,Unreliable
2018,New York,"Dutchess County, NY",Nontransport accidents,Unspecified fall,W19,15.0,293718.0,Unreliable
2018,New York,"Dutchess County, NY",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,49.0,293718.0,16.7
2018,New York,"Dutchess County, NY",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,37.0,293718.0,12.6
2018,New York,"Dutchess County, NY",Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,13.0,293718.0,Unreliable
2018,New York,"Dutchess County, NY",Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,15.0,293718.0,Unreliable
2018,New York,"Erie County, NY",Transport accidents (unintentional injuries),Person injured in collision between other specified motor vehicles (traffic),V87.7,10.0,919719.0,Unreliable
2018,New York,"Erie County, NY",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,12.0,919719.0,Unreliable
2018,New York,"Erie County, NY",Nontransport accidents,Fall on and from stairs and steps,W10,19.0,919719.0,Unreliable
2018,New York,"Erie County, NY",Nontransport accidents,Other fall on same level,W18,44.0,919719.0,4.8
2018,New York,"Erie County, NY",Nontransport accidents,Unspecified fall,W19,21.0,919719.0,2.3
2018,New York,"Erie County, NY",Nontransport accidents,Inhalation and ingestion of other objects causing obstruction of respiratory tract,W80,13.0,919719.0,Unreliable
2018,New York,"Erie County, NY",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,86.0,919719.0,9.4
2018,New York,"Erie County, NY",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,99.0,919719.0,10.8
2018,New York,"Erie County, NY",Nontransport accidents,Exposure to unspecified factor causing fracture,X59.0,13.0,919719.0,Unreliable
2018,New York,"Erie County, NY",Nontransport accidents,Exposure to unspecified factor causing other and unspecified injury,X59.9,13.0,919719.0,Unreliable
2018,New York,"Erie County, NY",Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,42.0,919719.0,4.6
2018,New York,"Erie County, NY",Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,14.0,919719.0,Unreliable
2018,New York,"Erie County, NY",Assault (homicide),Assault by other and unspecified firearm discharge,X95,49.0,919719.0,5.3
2018,New York,"Genesee County, NY",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,14.0,57511.0,Unreliable
2018,New York,"Kings County, NY",Transport accidents (unintentional injuries),"Pedestrian injured in collision with car, pick-up truck or van, traffic accident",V03.1,11.0,2582830.0,Unreliable
