year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,North Carolina,37,"Alamance County, NC",37001,Black or African American,Not Hispanic or Latino,329.0,33111.0,993.6,942.2
2018,North Carolina,37,"Alamance County, NC",37001,White,Hispanic or Latino,31.0,17501.0,177.1,499.5
2018,North Carolina,37,"Alamance County, NC",37001,White,Not Hispanic or Latino,1323.0,105484.0,1254.2,802.7
2018,North Carolina,37,"Alexander County, NC",37003,Black or African American,Not Hispanic or Latino,31.0,2145.0,1445.2,1197.5
2018,North Carolina,37,"Alexander County, NC",37003,White,Not Hispanic or Latino,360.0,32336.0,1113.3,763.1
2018,North Carolina,37,"Alleghany County, NC",37005,White,Not Hispanic or Latino,137.0,9643.0,1420.7,745.1
2018,North Carolina,37,"Anson County, NC",37007,Black or African American,Not Hispanic or Latino,142.0,11996.0,1183.7,1081.3
2018,North Carolina,37,"Anson County, NC",37007,White,Not Hispanic or Latino,170.0,10991.0,1546.7,947.3
2018,North Carolina,37,"Ashe County, NC",37009,White,Not Hispanic or Latino,331.0,25000.0,1324.0,748.5
2018,North Carolina,37,"Avery County, NC",37011,White,Not Hispanic or Latino,210.0,15484.0,1356.2,821.3
2018,North Carolina,37,"Beaufort County, NC",37013,Black or African American,Not Hispanic or Latino,148.0,11463.0,1291.1,916.6
2018,North Carolina,37,"Beaufort County, NC",37013,White,Not Hispanic or Latino,471.0,30911.0,1523.7,884.5
2018,North Carolina,37,"Bertie County, NC",37015,Black or African American,Not Hispanic or Latino,133.0,11554.0,1151.1,806.3
2018,North Carolina,37,"Bertie County, NC",37015,White,Not Hispanic or Latino,117.0,6605.0,1771.4,967.1
2018,North Carolina,37,"Bladen County, NC",37017,Black or African American,Not Hispanic or Latino,152.0,11122.0,1366.7,951.7
2018,North Carolina,37,"Bladen County, NC",37017,White,Not Hispanic or Latino,268.0,18180.0,1474.1,907.1
