year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,North Carolina,37,"Alamance County, NC",37001,Sepsis,"Septicaemia, unspecified",A41.9,29.0,166436.0,17.4
2018,North Carolina,37,"Alamance County, NC",37001,Malignant neoplasms,"Oesophagus, unspecified - Malignant neoplasms",C15.9,10.0,166436.0,Unreliable
2018,North Carolina,37,"Alamance County, NC",37001,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,17.0,166436.0,Unreliable
2018,North Carolina,37,"Alamance County, NC",37001,Malignant neoplasms,Liver cell carcinoma - Malignant neoplasms,C22.0,11.0,166436.0,Unreliable
2018,North Carolina,37,"Alamance County, NC",37001,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,24.0,166436.0,14.4
2018,North Carolina,37,"Alamance County, NC",37001,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,100.0,166436.0,60.1
2018,North Carolina,37,"Alamance County, NC",37001,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,30.0,166436.0,18.0
2018,North Carolina,37,"Alamance County, NC",37001,Malignant neoplasms,Malignant neoplasm of prostate,C61,21.0,166436.0,12.6
2018,North Carolina,37,"Alamance County, NC",37001,Malignant neoplasms,"Bladder, unspecified - Malignant neoplasms",C67.9,17.0,166436.0,Unreliable
2018,North Carolina,37,"Alamance County, NC",37001,Malignant neoplasms,Malignant neoplasm without specification of site,C80,13.0,166436.0,Unreliable
2018,North Carolina,37,"Alamance County, NC",37001,Malignant neoplasms,Multiple myeloma - Malignant neoplasms,C90.0,10.0,166436.0,Unreliable
2018,North Carolina,37,"Alamance County, NC",37001,Diabetes,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,12.0,166436.0,Unreliable
2018,North Carolina,37,"Alamance County, NC",37001,Diabetes,"Unspecified diabetes mellitus, with renal complications",E14.2,13.0,166436.0,Unreliable
2018,North Carolina,37,"Alamance County, NC",37001,Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,17.0,166436.0,Unreliable
2018,North Carolina,37,"Alamance County, NC",37001,Alzheimer disease and dementia,"Vascular dementia, unspecified",F01.9,11.0,166436.0,Unreliable
2018,North Carolina,37,"Alamance County, NC",37001,Alzheimer disease and dementia,Unspecified dementia,F03,60.0,166436.0,36.0
2018,North Carolina,37,"Alamance County, NC",37001,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,84.0,166436.0,50.5
2018,North Carolina,37,"Alamance County, NC",37001,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,49.0,166436.0,29.4
2018,North Carolina,37,"Alamance County, NC",37001,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,53.0,166436.0,31.8
2018,North Carolina,37,"Alamance County, NC",37001,Ischemic heart disease,Atherosclerotic heart disease,I25.1,69.0,166436.0,41.5
2018,North Carolina,37,"Alamance County, NC",37001,Other diseases of the circulatory system,Atrial fibrillation and flutter,I48,16.0,166436.0,Unreliable
2018,North Carolina,37,"Alamance County, NC",37001,Other diseases of the circulatory system,Congestive heart failure,I50.0,44.0,166436.0,26.4
2018,North Carolina,37,"Alamance County, NC",37001,Other diseases of the circulatory system,"Heart failure, unspecified",I50.9,15.0,166436.0,Unreliable
2018,North Carolina,37,"Alamance County, NC",37001,Other diseases of the circulatory system,"Cardiovascular disease, unspecified",I51.6,15.0,166436.0,Unreliable
2018,North Carolina,37,"Alamance County, NC",37001,Cerebrovascular diseases,"Cerebral infarction, unspecified",I63.9,13.0,166436.0,Unreliable
2018,North Carolina,37,"Alamance County, NC",37001,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,34.0,166436.0,20.4
2018,North Carolina,37,"Alamance County, NC",37001,Cerebrovascular diseases,"Cerebrovascular disease, unspecified",I67.9,10.0,166436.0,Unreliable
2018,North Carolina,37,"Alamance County, NC",37001,Other diseases of the circulatory system,"Peripheral vascular disease, unspecified",I73.9,10.0,166436.0,Unreliable
