year,state,county,cause_category,cause,cause_code,deaths,population,crude_rate
2018,North Carolina,"Alamance County, NC",Nontransport accidents,Other fall on same level,W18,10.0,166436.0,Unreliable
2018,North Carolina,"Alamance County, NC",Nontransport accidents,Unspecified fall,W19,30.0,166436.0,18.0
2018,North Carolina,"Alamance County, NC",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,20.0,166436.0,12.0
2018,North Carolina,"Alamance County, NC",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,15.0,166436.0,Unreliable
2018,North Carolina,"Brunswick County, NC",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,11.0,136744.0,Unreliable
2018,North Carolina,"Brunswick County, NC",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,12.0,136744.0,Unreliable
2018,North Carolina,"Brunswick County, NC",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,16.0,136744.0,Unreliable
2018,North Carolina,"Buncombe County, NC",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,10.0,259103.0,Unreliable
2018,North Carolina,"Buncombe County, NC",Nontransport accidents,Other fall on same level,W18,18.0,259103.0,Unreliable
2018,North Carolina,"Buncombe County, NC",Nontransport accidents,Unspecified fall,W19,23.0,259103.0,8.9
2018,North Carolina,"Buncombe County, NC",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,41.0,259103.0,15.8
2018,North Carolina,"Buncombe County, NC",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,36.0,259103.0,13.9
2018,North Carolina,"Buncombe County, NC",Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,21.0,259103.0,8.1
2018,North Carolina,"Buncombe County, NC",Assault (homicide),Assault by other and unspecified firearm discharge,X95,10.0,259103.0,Unreliable
2018,North Carolina,"Burke County, NC",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,10.0,90382.0,Unreliable
2018,North Carolina,"Cabarrus County, NC",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15.0,211342.0,Unreliable
2018,North Carolina,"Cabarrus County, NC",Nontransport accidents,Unspecified fall,W19,21.0,211342.0,9.9
2018,North Carolina,"Cabarrus County, NC",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,29.0,211342.0,13.7
2018,North Carolina,"Cabarrus County, NC",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,20.0,211342.0,9.5
2018,North Carolina,"Cabarrus County, NC",Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,12.0,211342.0,Unreliable
2018,North Carolina,"Caldwell County, NC",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,10.0,82029.0,Unreliable
2018,North Carolina,"Caldwell County, NC",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,11.0,82029.0,Unreliable
2018,North Carolina,"Carteret County, NC",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,10.0,69524.0,Unreliable
2018,North Carolina,"Carteret County, NC",Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,10.0,69524.0,Unreliable
2018,North Carolina,"Catawba County, NC",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,15.0,158652.0,Unreliable
2018,North Carolina,"Catawba County, NC",Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,11.0,158652.0,Unreliable
2018,North Carolina,"Cleveland County, NC",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,16.0,97645.0,Unreliable
2018,North Carolina,"Cleveland County, NC",Nontransport accidents,Unspecified fall,W19,14.0,97645.0,Unreliable
2018,North Carolina,"Craven County, NC",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,24.0,102912.0,23.3
2018,North Carolina,"Cumberland County, NC",Transport accidents (unintentional injuries),Person injured in collision between other specified motor vehicles (traffic),V87.7,11.0,332330.0,Unreliable
2018,North Carolina,"Cumberland County, NC",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,18.0,332330.0,Unreliable
2018,North Carolina,"Cumberland County, NC",Nontransport accidents,Unspecified fall,W19,10.0,332330.0,Unreliable
2018,North Carolina,"Cumberland County, NC",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,46.0,332330.0,13.8
2018,North Carolina,"Cumberland County, NC",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,35.0,332330.0,10.5
2018,North Carolina,"Cumberland County, NC",Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,15.0,332330.0,Unreliable
2018,North Carolina,"Cumberland County, NC",Intentional self-harm (suicide),Intentional self-harm by handgun discharge,X72,26.0,332330.0,7.8
2018,North Carolina,"Cumberland County, NC",Assault (homicide),Assault by other and unspecified firearm discharge,X95,19.0,332330.0,Unreliable
2018,North Carolina,"Dare County, NC",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,11.0,36501.0,Unreliable
2018,North Carolina,"Davidson County, NC",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,12.0,166614.0,Unreliable
2018,North Carolina,"Davidson County, NC",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,15.0,166614.0,Unreliable
2018,North Carolina,"Davidson County, NC",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,22.0,166614.0,13.2
2018,North Carolina,"Duplin County, NC",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,10.0,58856.0,Unreliable
2018,North Carolina,"Durham County, NC",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,12.0,316739.0,Unreliable
2018,North Carolina,"Durham County, NC",Nontransport accidents,Other fall on same level,W18,13.0,316739.0,Unreliable
2018,North Carolina,"Durham County, NC",Nontransport accidents,Unspecified fall,W19,16.0,316739.0,Unreliable
2018,North Carolina,"Durham County, NC",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,30.0,316739.0,9.5
2018,North Carolina,"Durham County, NC",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,15.0,316739.0,Unreliable
2018,North Carolina,"Durham County, NC",Assault (homicide),Assault by other and unspecified firearm discharge,X95,23.0,316739.0,7.3
2018,North Carolina,"Edgecombe County, NC",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15.0,52005.0,Unreliable
2018,North Carolina,"Forsyth County, NC",Transport accidents (unintentional injuries),Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,10.0,379099.0,Unreliable
2018,North Carolina,"Forsyth County, NC",Transport accidents (unintentional injuries),Person injured in collision between other specified motor vehicles (traffic),V87.7,12.0,379099.0,Unreliable
2018,North Carolina,"Forsyth County, NC",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15.0,379099.0,Unreliable
2018,North Carolina,"Forsyth County, NC",Nontransport accidents,Other fall on same level,W18,26.0,379099.0,6.9
2018,North Carolina,"Forsyth County, NC",Nontransport accidents,Unspecified fall,W19,25.0,379099.0,6.6
2018,North Carolina,"Forsyth County, NC",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,49.0,379099.0,12.9
