year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,North Dakota,38,"Adams County, ND",38001,White,Not Hispanic or Latino,31.0,2114.0,1466.4,645.7
2018,North Dakota,38,"Barnes County, ND",38003,White,Not Hispanic or Latino,136.0,9793.0,1388.7,797.3
2018,North Dakota,38,"Benson County, ND",38005,American Indian or Alaska Native,Not Hispanic or Latino,32.0,3685.0,868.4,1351.1
2018,North Dakota,38,"Benson County, ND",38005,White,Not Hispanic or Latino,27.0,2862.0,943.4,551.6
2018,North Dakota,38,"Bottineau County, ND",38009,White,Not Hispanic or Latino,90.0,5864.0,1534.8,893.5
2018,North Dakota,38,"Bowman County, ND",38011,White,Not Hispanic or Latino,39.0,2840.0,1373.2,728.8
2018,North Dakota,38,"Burke County, ND",38013,White,Not Hispanic or Latino,17.0,1961.0,Unreliable,Unreliable
2018,North Dakota,38,"Burleigh County, ND",38015,American Indian or Alaska Native,Not Hispanic or Latino,26.0,3690.0,704.6,2609.5
2018,North Dakota,38,"Burleigh County, ND",38015,White,Not Hispanic or Latino,695.0,84447.0,823.0,585.6
2018,North Dakota,38,"Cass County, ND",38017,American Indian or Alaska Native,Not Hispanic or Latino,16.0,2249.0,Unreliable,Unreliable
2018,North Dakota,38,"Cass County, ND",38017,Black or African American,Not Hispanic or Latino,10.0,11296.0,Unreliable,Unreliable
2018,North Dakota,38,"Cass County, ND",38017,White,Hispanic or Latino,13.0,4104.0,Unreliable,Unreliable
2018,North Dakota,38,"Cass County, ND",38017,White,Not Hispanic or Latino,1046.0,152984.0,683.7,614.5
2018,North Dakota,38,"Cavalier County, ND",38019,White,Not Hispanic or Latino,59.0,3611.0,1633.9,706.1
2018,North Dakota,38,"Dickey County, ND",38021,White,Not Hispanic or Latino,63.0,4567.0,1379.5,716.0
2018,North Dakota,38,"Divide County, ND",38023,White,Not Hispanic or Latino,32.0,2072.0,1544.4,714.1
2018,North Dakota,38,"Dunn County, ND",38025,White,Not Hispanic or Latino,26.0,3521.0,738.4,554.9
2018,North Dakota,38,"Eddy County, ND",38027,White,Not Hispanic or Latino,39.0,2075.0,1879.5,1023.6
2018,North Dakota,38,"Emmons County, ND",38029,White,Not Hispanic or Latino,48.0,3141.0,1528.2,754.4
2018,North Dakota,38,"Foster County, ND",38031,White,Not Hispanic or Latino,36.0,3044.0,1182.7,589.9
2018,North Dakota,38,"Golden Valley County, ND",38033,White,Not Hispanic or Latino,13.0,1664.0,Unreliable,Unreliable
2018,North Dakota,38,"Grand Forks County, ND",38035,American Indian or Alaska Native,Not Hispanic or Latino,14.0,1781.0,Unreliable,Unreliable
2018,North Dakota,38,"Grand Forks County, ND",38035,White,Hispanic or Latino,11.0,2472.0,Unreliable,Unreliable
2018,North Dakota,38,"Grand Forks County, ND",38035,White,Not Hispanic or Latino,512.0,58709.0,872.1,776.1
2018,North Dakota,38,"Grant County, ND",38037,White,Not Hispanic or Latino,30.0,2242.0,1338.1,643.6
2018,North Dakota,38,"Griggs County, ND",38039,White,Not Hispanic or Latino,38.0,2167.0,1753.6,768.8
2018,North Dakota,38,"Hettinger County, ND",38041,White,Not Hispanic or Latino,30.0,2285.0,1312.9,657.2
2018,North Dakota,38,"Kidder County, ND",38043,White,Not Hispanic or Latino,19.0,2309.0,Unreliable,Unreliable
2018,North Dakota,38,"LaMoure County, ND",38045,White,Not Hispanic or Latino,46.0,3931.0,1170.2,595.8
2018,North Dakota,38,"Logan County, ND",38047,White,Not Hispanic or Latino,29.0,1806.0,1605.8,746.8
2018,North Dakota,38,"McHenry County, ND",38049,White,Not Hispanic or Latino,67.0,5537.0,1210.0,785.8
2018,North Dakota,38,"McIntosh County, ND",38051,White,Not Hispanic or Latino,52.0,2432.0,2138.2,655.7
2018,North Dakota,38,"McKenzie County, ND",38053,White,Not Hispanic or Latino,57.0,10554.0,540.1,579.6
2018,North Dakota,38,"McLean County, ND",38055,American Indian or Alaska Native,Not Hispanic or Latino,13.0,596.0,Unreliable,Unreliable
2018,North Dakota,38,"McLean County, ND",38055,White,Not Hispanic or Latino,103.0,8489.0,1213.3,716.1
2018,North Dakota,38,"Mercer County, ND",38057,White,Not Hispanic or Latino,79.0,7638.0,1034.3,658.0
2018,North Dakota,38,"Morton County, ND",38059,American Indian or Alaska Native,Not Hispanic or Latino,12.0,1027.0,Unreliable,Unreliable
2018,North Dakota,38,"Morton County, ND",38059,White,Not Hispanic or Latino,297.0,27862.0,1066.0,751.8
2018,North Dakota,38,"Mountrail County, ND",38061,American Indian or Alaska Native,Not Hispanic or Latino,34.0,2834.0,1199.7,2455.2
2018,North Dakota,38,"Mountrail County, ND",38061,White,Not Hispanic or Latino,62.0,6141.0,1009.6,818.6
2018,North Dakota,38,"Nelson County, ND",38063,White,Not Hispanic or Latino,57.0,2674.0,2131.6,915.6
2018,North Dakota,38,"Oliver County, ND",38065,White,Not Hispanic or Latino,14.0,1819.0,Unreliable,Unreliable
2018,North Dakota,38,"Pembina County, ND",38067,White,Not Hispanic or Latino,84.0,6264.0,1341.0,727.3
2018,North Dakota,38,"Pierce County, ND",38069,White,Not Hispanic or Latino,61.0,3739.0,1631.5,697.1
2018,North Dakota,38,"Ramsey County, ND",38071,White,Not Hispanic or Latino,137.0,9528.0,1437.9,818.7
2018,North Dakota,38,"Ransom County, ND",38073,White,Not Hispanic or Latino,79.0,4934.0,1601.1,803.6
2018,North Dakota,38,"Renville County, ND",38075,White,Not Hispanic or Latino,32.0,2253.0,1420.3,820.8
2018,North Dakota,38,"Richland County, ND",38077,White,Not Hispanic or Latino,129.0,14804.0,871.4,581.4
2018,North Dakota,38,"Rolette County, ND",38079,American Indian or Alaska Native,Not Hispanic or Latino,88.0,10955.0,803.3,1134.8
2018,North Dakota,38,"Rolette County, ND",38079,White,Not Hispanic or Latino,38.0,2565.0,1481.5,722.8
2018,North Dakota,38,"Sargent County, ND",38081,White,Not Hispanic or Latino,36.0,3537.0,1017.8,606.9
2018,North Dakota,38,"Sioux County, ND",38085,American Indian or Alaska Native,Not Hispanic or Latino,39.0,3402.0,1146.4,1554.1
2018,North Dakota,38,"Stark County, ND",38089,White,Not Hispanic or Latino,231.0,26886.0,859.2,621.6
2018,North Dakota,38,"Steele County, ND",38091,White,Not Hispanic or Latino,11.0,1802.0,Unreliable,Unreliable
2018,North Dakota,38,"Stutsman County, ND",38093,White,Not Hispanic or Latino,209.0,19177.0,1089.8,655.5
2018,North Dakota,38,"Towner County, ND",38095,White,Not Hispanic or Latino,37.0,1990.0,1859.3,871.0
2018,North Dakota,38,"Traill County, ND",38097,White,Not Hispanic or Latino,78.0,7370.0,1058.3,642.8
2018,North Dakota,38,"Walsh County, ND",38099,White,Not Hispanic or Latino,135.0,8953.0,1507.9,757.1
2018,North Dakota,38,"Ward County, ND",38101,White,Not Hispanic or Latino,462.0,55890.0,826.6,672.4
2018,North Dakota,38,"Wells County, ND",38103,White,Not Hispanic or Latino,60.0,3792.0,1582.3,668.1
2018,North Dakota,38,"Williams County, ND",38105,White,Not Hispanic or Latino,214.0,28148.0,760.3,766.3
2019,North Dakota,38,"Adams County, ND",38001,White,Not Hispanic or Latino,33.0,2044.0,1614.5,662.5
2019,North Dakota,38,"Barnes County, ND",38003,White,Not Hispanic or Latino,136.0,9636.0,1411.4,774.0
2019,North Dakota,38,"Benson County, ND",38005,American Indian or Alaska Native,Not Hispanic or Latino,41.0,3603.0,1137.9,1543.5
2019,North Dakota,38,"Benson County, ND",38005,White,Not Hispanic or Latino,26.0,2766.0,940.0,588.2
2019,North Dakota,38,"Billings County, ND",38007,White,Not Hispanic or Latino,10.0,853.0,Unreliable,Unreliable
2019,North Dakota,38,"Bottineau County, ND",38009,White,Not Hispanic or Latino,67.0,5729.0,1169.5,687.2
2019,North Dakota,38,"Bowman County, ND",38011,White,Not Hispanic or Latino,32.0,2781.0,1150.7,546.2
2019,North Dakota,38,"Burke County, ND",38013,White,Not Hispanic or Latino,13.0,1954.0,Unreliable,Unreliable
2019,North Dakota,38,"Burleigh County, ND",38015,American Indian or Alaska Native,Not Hispanic or Latino,14.0,3840.0,Unreliable,Unreliable
2019,North Dakota,38,"Burleigh County, ND",38015,White,Not Hispanic or Latino,742.0,84380.0,879.4,605.4
2019,North Dakota,38,"Cass County, ND",38017,American Indian or Alaska Native,Not Hispanic or Latino,19.0,2256.0,Unreliable,Unreliable
2019,North Dakota,38,"Cass County, ND",38017,Asian,Not Hispanic or Latino,11.0,6088.0,Unreliable,Unreliable
2019,North Dakota,38,"Cass County, ND",38017,Black or African American,Not Hispanic or Latino,21.0,11361.0,184.8,862.6
2019,North Dakota,38,"Cass County, ND",38017,White,Hispanic or Latino,17.0,4198.0,Unreliable,Unreliable
