year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,North Dakota,38,"Burleigh County, ND",38015,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,11.0,95273.0,Unreliable
2018,North Dakota,38,"Burleigh County, ND",38015,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,37.0,95273.0,38.8
2018,North Dakota,38,"Burleigh County, ND",38015,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,12.0,95273.0,Unreliable
2018,North Dakota,38,"Burleigh County, ND",38015,Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,11.0,95273.0,Unreliable
2018,North Dakota,38,"Burleigh County, ND",38015,Alzheimer disease and dementia,Unspecified dementia,F03,22.0,95273.0,23.1
2018,North Dakota,38,"Burleigh County, ND",38015,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,45.0,95273.0,47.2
2018,North Dakota,38,"Burleigh County, ND",38015,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,15.0,95273.0,Unreliable
2018,North Dakota,38,"Burleigh County, ND",38015,Ischemic heart disease,Atherosclerotic heart disease,I25.1,46.0,95273.0,48.3
2018,North Dakota,38,"Burleigh County, ND",38015,Other diseases of the circulatory system,Congestive heart failure,I50.0,11.0,95273.0,Unreliable
2018,North Dakota,38,"Burleigh County, ND",38015,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,29.0,95273.0,30.4
2018,North Dakota,38,"Burleigh County, ND",38015,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,12.0,95273.0,Unreliable
2018,North Dakota,38,"Burleigh County, ND",38015,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,17.0,95273.0,Unreliable
2018,North Dakota,38,"Burleigh County, ND",38015,Other diseases of the respiratory system,Pneumonitis due to food and vomit,J69.0,16.0,95273.0,Unreliable
2018,North Dakota,38,"Cass County, ND",38017,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,11.0,181516.0,Unreliable
2018,North Dakota,38,"Cass County, ND",38017,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,19.0,181516.0,Unreliable
2018,North Dakota,38,"Cass County, ND",38017,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,52.0,181516.0,28.6
2018,North Dakota,38,"Cass County, ND",38017,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,11.0,181516.0,Unreliable
2018,North Dakota,38,"Cass County, ND",38017,Malignant neoplasms,"Brain, unspecified - Malignant neoplasms",C71.9,10.0,181516.0,Unreliable
2018,North Dakota,38,"Cass County, ND",38017,Malignant neoplasms,Malignant neoplasm without specification of site,C80,15.0,181516.0,Unreliable
2018,North Dakota,38,"Cass County, ND",38017,Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,10.0,181516.0,Unreliable
2018,North Dakota,38,"Cass County, ND",38017,Alzheimer disease and dementia,"Vascular dementia, unspecified",F01.9,14.0,181516.0,Unreliable
2018,North Dakota,38,"Cass County, ND",38017,Alzheimer disease and dementia,Unspecified dementia,F03,42.0,181516.0,23.1
2018,North Dakota,38,"Cass County, ND",38017,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,53.0,181516.0,29.2
2018,North Dakota,38,"Cass County, ND",38017,Hypertensive diseases,Essential (primary) hypertension,I10,28.0,181516.0,15.4
2018,North Dakota,38,"Cass County, ND",38017,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,36.0,181516.0,19.8
2018,North Dakota,38,"Cass County, ND",38017,Ischemic heart disease,Atherosclerotic heart disease,I25.1,47.0,181516.0,25.9
2018,North Dakota,38,"Cass County, ND",38017,Other diseases of the circulatory system,Atrial fibrillation and flutter,I48,17.0,181516.0,Unreliable
2018,North Dakota,38,"Cass County, ND",38017,Other diseases of the circulatory system,Congestive heart failure,I50.0,36.0,181516.0,19.8
2018,North Dakota,38,"Cass County, ND",38017,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,16.0,181516.0,Unreliable
2018,North Dakota,38,"Cass County, ND",38017,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,15.0,181516.0,Unreliable
2018,North Dakota,38,"Cass County, ND",38017,Chronic lower respiratory diseases,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,11.0,181516.0,Unreliable
2018,North Dakota,38,"Cass County, ND",38017,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,37.0,181516.0,20.4
2018,North Dakota,38,"Grand Forks County, ND",38035,Sepsis,"Septicaemia, unspecified",A41.9,11.0,70770.0,Unreliable
2018,North Dakota,38,"Grand Forks County, ND",38035,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,10.0,70770.0,Unreliable
2018,North Dakota,38,"Grand Forks County, ND",38035,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,36.0,70770.0,50.9
2018,North Dakota,38,"Grand Forks County, ND",38035,Malignant neoplasms,Malignant neoplasm of prostate,C61,10.0,70770.0,Unreliable
2018,North Dakota,38,"Grand Forks County, ND",38035,Alzheimer disease and dementia,Unspecified dementia,F03,11.0,70770.0,Unreliable
2018,North Dakota,38,"Grand Forks County, ND",38035,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,39.0,70770.0,55.1
2018,North Dakota,38,"Grand Forks County, ND",38035,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,14.0,70770.0,Unreliable
2018,North Dakota,38,"Grand Forks County, ND",38035,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,11.0,70770.0,Unreliable
2018,North Dakota,38,"Grand Forks County, ND",38035,Ischemic heart disease,Atherosclerotic heart disease,I25.1,39.0,70770.0,55.1
2018,North Dakota,38,"Grand Forks County, ND",38035,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,13.0,70770.0,Unreliable
2018,North Dakota,38,"Grand Forks County, ND",38035,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,28.0,70770.0,39.6
2018,North Dakota,38,"McKenzie County, ND",38053,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,10.0,13632.0,Unreliable
2018,North Dakota,38,"McLean County, ND",38055,Ischemic heart disease,Atherosclerotic heart disease,I25.1,10.0,9541.0,Unreliable
2018,North Dakota,38,"Morton County, ND",38059,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,13.0,31095.0,Unreliable
2018,North Dakota,38,"Morton County, ND",38059,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,13.0,31095.0,Unreliable
2018,North Dakota,38,"Morton County, ND",38059,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,10.0,31095.0,Unreliable
2018,North Dakota,38,"Morton County, ND",38059,Ischemic heart disease,Atherosclerotic heart disease,I25.1,11.0,31095.0,Unreliable
2018,North Dakota,38,"Morton County, ND",38059,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,18.0,31095.0,Unreliable
