year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,Ohio,39,"Adams County, OH",39001,White,Not Hispanic or Latino,335.0,26679.0,1255.7,992.8
2018,Ohio,39,"Allen County, OH",39003,Black or African American,Not Hispanic or Latino,117.0,12687.0,922.2,1050.1
2018,Ohio,39,"Allen County, OH",39003,White,Not Hispanic or Latino,1032.0,82857.0,1245.5,854.4
2018,Ohio,39,"Ashland County, OH",39005,White,Not Hispanic or Latino,591.0,51310.0,1151.8,806.4
2018,Ohio,39,"Ashtabula County, OH",39007,Black or African American,Not Hispanic or Latino,39.0,3407.0,1144.7,1290.4
2018,Ohio,39,"Ashtabula County, OH",39007,White,Hispanic or Latino,15.0,3555.0,Unreliable,Unreliable
2018,Ohio,39,"Ashtabula County, OH",39007,White,Not Hispanic or Latino,1183.0,87084.0,1358.5,945.3
2018,Ohio,39,"Athens County, OH",39009,Black or African American,Not Hispanic or Latino,11.0,1829.0,Unreliable,Unreliable
2018,Ohio,39,"Athens County, OH",39009,White,Not Hispanic or Latino,490.0,58782.0,833.6,833.5
2018,Ohio,39,"Auglaize County, OH",39011,White,Not Hispanic or Latino,517.0,43882.0,1178.2,815.8
2018,Ohio,39,"Belmont County, OH",39013,Black or African American,Not Hispanic or Latino,17.0,2832.0,Unreliable,Unreliable
2018,Ohio,39,"Belmont County, OH",39013,White,Not Hispanic or Latino,911.0,62532.0,1456.9,914.4
2018,Ohio,39,"Brown County, OH",39015,White,Not Hispanic or Latino,554.0,41974.0,1319.9,1014.1
2018,Ohio,39,"Butler County, OH",39017,Asian,Not Hispanic or Latino,36.0,13888.0,259.2,361.6
2018,Ohio,39,"Butler County, OH",39017,Black or African American,Not Hispanic or Latino,231.0,32575.0,709.1,931.3
2018,Ohio,39,"Butler County, OH",39017,White,Hispanic or Latino,31.0,15490.0,200.1,363.7
2018,Ohio,39,"Butler County, OH",39017,White,Not Hispanic or Latino,3233.0,307821.0,1050.3,869.6
2018,Ohio,39,"Carroll County, OH",39019,White,Not Hispanic or Latino,317.0,26001.0,1219.2,810.2
2018,Ohio,39,"Champaign County, OH",39021,Black or African American,Not Hispanic or Latino,10.0,791.0,Unreliable,Unreliable
2018,Ohio,39,"Champaign County, OH",39021,White,Not Hispanic or Latino,409.0,36168.0,1130.8,836.0
2018,Ohio,39,"Clark County, OH",39023,Black or African American,Not Hispanic or Latino,175.0,11742.0,1490.4,1349.2
2018,Ohio,39,"Clark County, OH",39023,White,Not Hispanic or Latino,1583.0,113093.0,1399.7,969.8
2018,Ohio,39,"Clermont County, OH",39025,Black or African American,Not Hispanic or Latino,21.0,3225.0,651.2,777.3
2018,Ohio,39,"Clermont County, OH",39025,White,Not Hispanic or Latino,1877.0,191877.0,978.2,804.1
2018,Ohio,39,"Clinton County, OH",39027,White,Not Hispanic or Latino,469.0,39304.0,1193.3,932.9
2018,Ohio,39,"Columbiana County, OH",39029,Black or African American,Not Hispanic or Latino,13.0,2342.0,Unreliable,Unreliable
2018,Ohio,39,"Columbiana County, OH",39029,White,Not Hispanic or Latino,1262.0,96292.0,1310.6,867.0
2018,Ohio,39,"Coshocton County, OH",39031,White,Not Hispanic or Latino,446.0,35079.0,1271.4,917.1
2018,Ohio,39,"Crawford County, OH",39033,White,Not Hispanic or Latino,568.0,39539.0,1436.6,942.2
2018,Ohio,39,"Cuyahoga County, OH",39035,Asian,Not Hispanic or Latino,120.0,41143.0,291.7,349.4
2018,Ohio,39,"Cuyahoga County, OH",39035,Black or African American,Hispanic or Latino,18.0,10695.0,Unreliable,Unreliable
2018,Ohio,39,"Cuyahoga County, OH",39035,Black or African American,Not Hispanic or Latino,4030.0,368279.0,1094.3,961.1
2018,Ohio,39,"Cuyahoga County, OH",39035,White,Hispanic or Latino,288.0,59972.0,480.2,699.8
2018,Ohio,39,"Cuyahoga County, OH",39035,White,Not Hispanic or Latino,9697.0,731138.0,1326.3,788.8
2018,Ohio,39,"Cuyahoga County, OH",39035,More than one race,Not Hispanic or Latino,18.0,24420.0,Unreliable,Unreliable
2018,Ohio,39,"Darke County, OH",39037,White,Not Hispanic or Latino,642.0,49226.0,1304.2,877.7
2018,Ohio,39,"Defiance County, OH",39039,White,Hispanic or Latino,17.0,3535.0,Unreliable,Unreliable
2018,Ohio,39,"Defiance County, OH",39039,White,Not Hispanic or Latino,378.0,32858.0,1150.4,786.7
2018,Ohio,39,"Delaware County, OH",39041,Asian,Not Hispanic or Latino,14.0,14489.0,Unreliable,Unreliable
2018,Ohio,39,"Delaware County, OH",39041,Black or African American,Not Hispanic or Latino,38.0,7409.0,512.9,653.3
2018,Ohio,39,"Delaware County, OH",39041,White,Not Hispanic or Latino,1140.0,173055.0,658.8,615.2
2018,Ohio,39,"Erie County, OH",39043,Black or African American,Not Hispanic or Latino,58.0,6390.0,907.7,800.6
2018,Ohio,39,"Erie County, OH",39043,White,Not Hispanic or Latino,901.0,61978.0,1453.7,862.0
2018,Ohio,39,"Fairfield County, OH",39045,Black or African American,Not Hispanic or Latino,30.0,12598.0,238.1,508.6
2018,Ohio,39,"Fairfield County, OH",39045,White,Not Hispanic or Latino,1419.0,133461.0,1063.2,848.9
2018,Ohio,39,"Fayette County, OH",39047,White,Not Hispanic or Latino,341.0,26451.0,1289.2,1010.0
2018,Ohio,39,"Franklin County, OH",39049,American Indian or Alaska Native,Not Hispanic or Latino,14.0,2475.0,Unreliable,Unreliable
2018,Ohio,39,"Franklin County, OH",39049,Asian,Not Hispanic or Latino,163.0,73675.0,221.2,417.8
2018,Ohio,39,"Franklin County, OH",39049,Black or African American,Not Hispanic or Latino,2220.0,300122.0,739.7,946.1
2018,Ohio,39,"Franklin County, OH",39049,White,Hispanic or Latino,103.0,60379.0,170.6,405.9
2018,Ohio,39,"Franklin County, OH",39049,White,Not Hispanic or Latino,7690.0,819878.0,937.9,837.7
2018,Ohio,39,"Franklin County, OH",39049,More than one race,Not Hispanic or Latino,29.0,38773.0,74.8,246.8
2018,Ohio,39,"Fulton County, OH",39051,White,Hispanic or Latino,19.0,3431.0,Unreliable,Unreliable
2018,Ohio,39,"Fulton County, OH",39051,White,Not Hispanic or Latino,425.0,37511.0,1133.0,807.5
2018,Ohio,39,"Gallia County, OH",39053,Black or African American,Not Hispanic or Latino,17.0,668.0,Unreliable,Unreliable
2018,Ohio,39,"Gallia County, OH",39053,White,Not Hispanic or Latino,411.0,27926.0,1471.7,1087.3
2018,Ohio,39,"Geauga County, OH",39055,White,Not Hispanic or Latino,837.0,89766.0,932.4,611.9
2018,Ohio,39,"Greene County, OH",39057,Asian,Not Hispanic or Latino,17.0,5227.0,Unreliable,Unreliable
2018,Ohio,39,"Greene County, OH",39057,Black or African American,Not Hispanic or Latino,90.0,11912.0,755.5,887.3
2018,Ohio,39,"Greene County, OH",39057,White,Hispanic or Latino,11.0,4078.0,Unreliable,Unreliable
2018,Ohio,39,"Greene County, OH",39057,White,Not Hispanic or Latino,1409.0,140482.0,1003.0,734.2
2018,Ohio,39,"Guernsey County, OH",39059,Black or African American,Not Hispanic or Latino,10.0,578.0,Unreliable,Unreliable
2018,Ohio,39,"Guernsey County, OH",39059,White,Not Hispanic or Latino,466.0,36930.0,1261.8,898.8
2018,Ohio,39,"Hamilton County, OH",39061,Asian,Not Hispanic or Latino,58.0,23214.0,249.8,374.5
2018,Ohio,39,"Hamilton County, OH",39061,Black or African American,Not Hispanic or Latino,2045.0,214071.0,955.3,993.5
2018,Ohio,39,"Hamilton County, OH",39061,White,Hispanic or Latino,40.0,22071.0,181.2,370.1
2018,Ohio,39,"Hamilton County, OH",39061,White,Not Hispanic or Latino,5981.0,530718.0,1127.0,819.2
2018,Ohio,39,"Hancock County, OH",39063,Black or African American,Not Hispanic or Latino,14.0,1291.0,Unreliable,Unreliable
2018,Ohio,39,"Hancock County, OH",39063,White,Hispanic or Latino,20.0,3738.0,535.0,834.6
2018,Ohio,39,"Hancock County, OH",39063,White,Not Hispanic or Latino,788.0,67513.0,1167.2,854.9
2018,Ohio,39,"Hardin County, OH",39065,White,Not Hispanic or Latino,338.0,29881.0,1131.2,932.5
2018,Ohio,39,"Harrison County, OH",39067,White,Not Hispanic or Latino,212.0,14386.0,1473.7,966.7
2018,Ohio,39,"Henry County, OH",39069,White,Hispanic or Latino,11.0,1955.0,Unreliable,Unreliable
2018,Ohio,39,"Henry County, OH",39069,White,Not Hispanic or Latino,297.0,24324.0,1221.0,822.5
2018,Ohio,39,"Highland County, OH",39071,White,Not Hispanic or Latino,496.0,40886.0,1213.1,899.0
2018,Ohio,39,"Hocking County, OH",39073,White,Not Hispanic or Latino,358.0,27325.0,1310.2,993.4
2018,Ohio,39,"Holmes County, OH",39075,White,Not Hispanic or Latino,332.0,42911.0,773.7,718.6
2018,Ohio,39,"Huron County, OH",39077,White,Hispanic or Latino,11.0,3661.0,Unreliable,Unreliable
2018,Ohio,39,"Huron County, OH",39077,White,Not Hispanic or Latino,602.0,52556.0,1145.4,881.1
2018,Ohio,39,"Jackson County, OH",39079,White,Not Hispanic or Latino,459.0,31052.0,1478.2,1195.2
2018,Ohio,39,"Jefferson County, OH",39081,Black or African American,Not Hispanic or Latino,52.0,3506.0,1483.2,1304.9
2018,Ohio,39,"Jefferson County, OH",39081,White,Not Hispanic or Latino,880.0,59454.0,1480.1,931.3
2018,Ohio,39,"Knox County, OH",39083,White,Not Hispanic or Latino,640.0,58996.0,1084.8,817.0
2018,Ohio,39,"Lake County, OH",39085,Asian,Not Hispanic or Latino,11.0,3497.0,Unreliable,Unreliable
2018,Ohio,39,"Lake County, OH",39085,Black or African American,Not Hispanic or Latino,76.0,10116.0,751.3,899.6
2018,Ohio,39,"Lake County, OH",39085,White,Hispanic or Latino,20.0,9350.0,213.9,440.1
2018,Ohio,39,"Lake County, OH",39085,White,Not Hispanic or Latino,2468.0,202229.0,1220.4,778.9
2018,Ohio,39,"Lawrence County, OH",39087,Black or African American,Not Hispanic or Latino,20.0,1264.0,1582.3,1476.6
2018,Ohio,39,"Lawrence County, OH",39087,White,Not Hispanic or Latino,897.0,56685.0,1582.4,1180.9
2018,Ohio,39,"Licking County, OH",39089,Black or African American,Not Hispanic or Latino,34.0,6961.0,488.4,666.9
2018,Ohio,39,"Licking County, OH",39089,White,Not Hispanic or Latino,1690.0,157841.0,1070.7,843.7
2018,Ohio,39,"Logan County, OH",39091,Black or African American,Not Hispanic or Latino,10.0,803.0,Unreliable,Unreliable
2018,Ohio,39,"Logan County, OH",39091,White,Not Hispanic or Latino,503.0,42341.0,1188.0,882.3
2018,Ohio,39,"Lorain County, OH",39093,Asian,Not Hispanic or Latino,10.0,3981.0,Unreliable,Unreliable
2018,Ohio,39,"Lorain County, OH",39093,Black or African American,Not Hispanic or Latino,259.0,24350.0,1063.7,1107.2
2018,Ohio,39,"Lorain County, OH",39093,White,Hispanic or Latino,134.0,25670.0,522.0,655.7
2018,Ohio,39,"Lorain County, OH",39093,White,Not Hispanic or Latino,2892.0,241088.0,1199.6,800.3
2018,Ohio,39,"Lucas County, OH",39095,Asian,Not Hispanic or Latino,16.0,7400.0,Unreliable,Unreliable
