year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Ohio,39,"Adams County, OH",39001,Sepsis,"Septicaemia, unspecified",A41.9,12.0,27724.0,Unreliable
2018,Ohio,39,"Adams County, OH",39001,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,35.0,27724.0,126.2
2018,Ohio,39,"Adams County, OH",39001,Alzheimer disease and dementia,Unspecified dementia,F03,11.0,27724.0,Unreliable
2018,Ohio,39,"Adams County, OH",39001,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,10.0,27724.0,Unreliable
2018,Ohio,39,"Adams County, OH",39001,Ischemic heart disease,Atherosclerotic heart disease,I25.1,19.0,27724.0,Unreliable
2018,Ohio,39,"Adams County, OH",39001,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,19.0,27724.0,Unreliable
2018,Ohio,39,"Allen County, OH",39003,Sepsis,"Septicaemia, unspecified",A41.9,23.0,102663.0,22.4
2018,Ohio,39,"Allen County, OH",39003,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,15.0,102663.0,Unreliable
2018,Ohio,39,"Allen County, OH",39003,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,20.0,102663.0,19.5
2018,Ohio,39,"Allen County, OH",39003,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,61.0,102663.0,59.4
2018,Ohio,39,"Allen County, OH",39003,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,19.0,102663.0,Unreliable
2018,Ohio,39,"Allen County, OH",39003,Malignant neoplasms,Malignant neoplasm of prostate,C61,16.0,102663.0,Unreliable
2018,Ohio,39,"Allen County, OH",39003,Malignant neoplasms,Malignant neoplasm without specification of site,C80,13.0,102663.0,Unreliable
2018,Ohio,39,"Allen County, OH",39003,Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,16.0,102663.0,Unreliable
2018,Ohio,39,"Allen County, OH",39003,Alzheimer disease and dementia,Unspecified dementia,F03,30.0,102663.0,29.2
2018,Ohio,39,"Allen County, OH",39003,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,46.0,102663.0,44.8
2018,Ohio,39,"Allen County, OH",39003,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,50.0,102663.0,48.7
2018,Ohio,39,"Allen County, OH",39003,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,16.0,102663.0,Unreliable
2018,Ohio,39,"Allen County, OH",39003,Ischemic heart disease,Atherosclerotic heart disease,I25.1,107.0,102663.0,104.2
2018,Ohio,39,"Allen County, OH",39003,Ischemic heart disease,Ischaemic cardiomyopathy,I25.5,12.0,102663.0,Unreliable
2018,Ohio,39,"Allen County, OH",39003,Other diseases of the circulatory system,"Cardiac arrest, unspecified",I46.9,16.0,102663.0,Unreliable
2018,Ohio,39,"Allen County, OH",39003,Other diseases of the circulatory system,Congestive heart failure,I50.0,31.0,102663.0,30.2
2018,Ohio,39,"Allen County, OH",39003,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,29.0,102663.0,28.2
2018,Ohio,39,"Allen County, OH",39003,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,22.0,102663.0,21.4
2018,Ohio,39,"Allen County, OH",39003,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,52.0,102663.0,50.7
2018,Ohio,39,"Allen County, OH",39003,Other diseases of the respiratory system,Pneumonitis due to food and vomit,J69.0,12.0,102663.0,Unreliable
2018,Ohio,39,"Ashland County, OH",39005,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,15.0,53745.0,Unreliable
2018,Ohio,39,"Ashland County, OH",39005,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,29.0,53745.0,54.0
