year,state,county,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Ohio,"Ashtabula County, OH",Transport accidents (unintentional injuries),Person injured in collision between other specified motor vehicles (traffic),V87.7,11.0,97493.0,Unreliable
2018,Ohio,"Ashtabula County, OH",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,15.0,97493.0,Unreliable
2018,Ohio,"Ashtabula County, OH",Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,12.0,97493.0,Unreliable
2018,Ohio,"Ashtabula County, OH",Assault (homicide),"Assault by drugs, medicaments and biological substances",X85,10.0,97493.0,Unreliable
2018,Ohio,"Belmont County, OH",Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,13.0,67505.0,Unreliable
2018,Ohio,"Brown County, OH",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,15.0,43602.0,Unreliable
2018,Ohio,"Brown County, OH",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,10.0,43602.0,Unreliable
2018,Ohio,"Butler County, OH",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,18.0,382378.0,Unreliable
2018,Ohio,"Butler County, OH",Nontransport accidents,Unspecified fall,W19,12.0,382378.0,Unreliable
2018,Ohio,"Butler County, OH",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,93.0,382378.0,24.3
2018,Ohio,"Butler County, OH",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,72.0,382378.0,18.8
2018,Ohio,"Butler County, OH",Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,11.0,382378.0,Unreliable
2018,Ohio,"Butler County, OH",Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,23.0,382378.0,6.0
2018,Ohio,"Butler County, OH",Assault (homicide),Assault by other and unspecified firearm discharge,X95,15.0,382378.0,Unreliable
