year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,Oklahoma,40,"Adair County, OK",40001,American Indian or Alaska Native,Not Hispanic or Latino,100.0,9292.0,1076.2,1248.0
2018,Oklahoma,40,"Adair County, OK",40001,White,Not Hispanic or Latino,148.0,8739.0,1693.6,1025.8
2018,Oklahoma,40,"Alfalfa County, OK",40003,White,Not Hispanic or Latino,63.0,4813.0,1309.0,799.1
2018,Oklahoma,40,"Atoka County, OK",40005,American Indian or Alaska Native,Not Hispanic or Latino,16.0,1861.0,Unreliable,Unreliable
2018,Oklahoma,40,"Atoka County, OK",40005,White,Not Hispanic or Latino,133.0,9818.0,1354.7,825.4
2018,Oklahoma,40,"Atoka County, OK",40005,More than one race,Not Hispanic or Latino,11.0,1040.0,Unreliable,Unreliable
2018,Oklahoma,40,"Beaver County, OK",40007,White,Not Hispanic or Latino,51.0,3792.0,1344.9,705.9
2018,Oklahoma,40,"Beckham County, OK",40009,White,Not Hispanic or Latino,224.0,16319.0,1372.6,1042.4
2018,Oklahoma,40,"Blaine County, OK",40011,American Indian or Alaska Native,Not Hispanic or Latino,14.0,816.0,Unreliable,Unreliable
2018,Oklahoma,40,"Blaine County, OK",40011,White,Not Hispanic or Latino,106.0,6825.0,1553.1,995.1
2018,Oklahoma,40,"Bryan County, OK",40013,American Indian or Alaska Native,Not Hispanic or Latino,51.0,6486.0,786.3,968.3
2018,Oklahoma,40,"Bryan County, OK",40013,White,Not Hispanic or Latino,431.0,33368.0,1291.7,865.4
2018,Oklahoma,40,"Caddo County, OK",40015,American Indian or Alaska Native,Not Hispanic or Latino,84.0,6225.0,1349.4,1463.1
2018,Oklahoma,40,"Caddo County, OK",40015,White,Not Hispanic or Latino,300.0,16538.0,1814.0,1105.3
2018,Oklahoma,40,"Canadian County, OK",40017,American Indian or Alaska Native,Not Hispanic or Latino,54.0,6414.0,841.9,1334.3
2018,Oklahoma,40,"Canadian County, OK",40017,Asian,Not Hispanic or Latino,14.0,4540.0,Unreliable,Unreliable
2018,Oklahoma,40,"Canadian County, OK",40017,Black or African American,Not Hispanic or Latino,12.0,4523.0,Unreliable,Unreliable
2018,Oklahoma,40,"Canadian County, OK",40017,White,Hispanic or Latino,25.0,11178.0,223.7,555.7
2018,Oklahoma,40,"Canadian County, OK",40017,White,Not Hispanic or Latino,996.0,109343.0,910.9,812.1
2018,Oklahoma,40,"Canadian County, OK",40017,More than one race,Not Hispanic or Latino,17.0,6027.0,Unreliable,Unreliable
2018,Oklahoma,40,"Carter County, OK",40019,American Indian or Alaska Native,Not Hispanic or Latino,35.0,4294.0,815.1,1016.8
2018,Oklahoma,40,"Carter County, OK",40019,Black or African American,Not Hispanic or Latino,26.0,3166.0,821.2,796.1
2018,Oklahoma,40,"Carter County, OK",40019,White,Not Hispanic or Latino,500.0,33462.0,1494.2,1004.9
2018,Oklahoma,40,"Carter County, OK",40019,More than one race,Not Hispanic or Latino,14.0,2971.0,Unreliable,Unreliable
2018,Oklahoma,40,"Cherokee County, OK",40021,American Indian or Alaska Native,Not Hispanic or Latino,156.0,16664.0,936.1,1111.6
2018,Oklahoma,40,"Cherokee County, OK",40021,White,Not Hispanic or Latino,354.0,23040.0,1536.5,930.3
2018,Oklahoma,40,"Cherokee County, OK",40021,More than one race,Not Hispanic or Latino,12.0,4406.0,Unreliable,Unreliable
2018,Oklahoma,40,"Choctaw County, OK",40023,American Indian or Alaska Native,Not Hispanic or Latino,26.0,2532.0,1026.9,1157.5
2018,Oklahoma,40,"Choctaw County, OK",40023,Black or African American,Not Hispanic or Latino,17.0,1516.0,Unreliable,Unreliable
2018,Oklahoma,40,"Choctaw County, OK",40023,White,Not Hispanic or Latino,157.0,8879.0,1768.2,1027.5
2018,Oklahoma,40,"Cimarron County, OK",40025,White,Not Hispanic or Latino,18.0,1578.0,Unreliable,Unreliable
2018,Oklahoma,40,"Cleveland County, OK",40027,American Indian or Alaska Native,Not Hispanic or Latino,62.0,13099.0,473.3,651.4
2018,Oklahoma,40,"Cleveland County, OK",40027,Asian,Not Hispanic or Latino,22.0,13101.0,167.9,313.5
2018,Oklahoma,40,"Cleveland County, OK",40027,Black or African American,Not Hispanic or Latino,50.0,14301.0,349.6,858.2
2018,Oklahoma,40,"Cleveland County, OK",40027,White,Hispanic or Latino,59.0,20590.0,286.5,658.7
2018,Oklahoma,40,"Cleveland County, OK",40027,White,Not Hispanic or Latino,1835.0,200707.0,914.3,767.6
2018,Oklahoma,40,"Cleveland County, OK",40027,More than one race,Not Hispanic or Latino,39.0,14991.0,260.2,596.8
2018,Oklahoma,40,"Coal County, OK",40029,White,Not Hispanic or Latino,65.0,3768.0,1725.1,1060.1
2018,Oklahoma,40,"Comanche County, OK",40031,American Indian or Alaska Native,Not Hispanic or Latino,70.0,6727.0,1040.6,1291.8
2018,Oklahoma,40,"Comanche County, OK",40031,Asian,Not Hispanic or Latino,23.0,2985.0,770.5,690.6
