year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Oklahoma,40,"Adair County, OK",40001,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,14.0,22082.0,Unreliable
2018,Oklahoma,40,"Adair County, OK",40001,Hypertensive diseases,Hypertensive heart disease without (congestive) heart failure,I11.9,15.0,22082.0,Unreliable
2018,Oklahoma,40,"Adair County, OK",40001,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,12.0,22082.0,Unreliable
2018,Oklahoma,40,"Adair County, OK",40001,Ischemic heart disease,Atherosclerotic heart disease,I25.1,17.0,22082.0,Unreliable
2018,Oklahoma,40,"Adair County, OK",40001,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,13.0,22082.0,Unreliable
2018,Oklahoma,40,"Atoka County, OK",40005,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,15.0,13838.0,Unreliable
2018,Oklahoma,40,"Atoka County, OK",40005,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,12.0,13838.0,Unreliable
2018,Oklahoma,40,"Atoka County, OK",40005,Ischemic heart disease,Atherosclerotic heart disease,I25.1,10.0,13838.0,Unreliable
2018,Oklahoma,40,"Beckham County, OK",40009,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,14.0,21709.0,Unreliable
2018,Oklahoma,40,"Beckham County, OK",40009,Ischemic heart disease,Atherosclerotic heart disease,I25.1,11.0,21709.0,Unreliable
2018,Oklahoma,40,"Beckham County, OK",40009,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,19.0,21709.0,Unreliable
2018,Oklahoma,40,"Bryan County, OK",40013,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,25.0,47192.0,53.0
2018,Oklahoma,40,"Bryan County, OK",40013,Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,10.0,47192.0,Unreliable
2018,Oklahoma,40,"Bryan County, OK",40013,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,38.0,47192.0,80.5
2018,Oklahoma,40,"Bryan County, OK",40013,Hypertensive diseases,Hypertensive heart disease without (congestive) heart failure,I11.9,14.0,47192.0,Unreliable
2018,Oklahoma,40,"Bryan County, OK",40013,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,12.0,47192.0,Unreliable
2018,Oklahoma,40,"Bryan County, OK",40013,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,13.0,47192.0,Unreliable
2018,Oklahoma,40,"Bryan County, OK",40013,Ischemic heart disease,Atherosclerotic heart disease,I25.1,27.0,47192.0,57.2
2018,Oklahoma,40,"Bryan County, OK",40013,Other diseases of the circulatory system,Congestive heart failure,I50.0,12.0,47192.0,Unreliable
2018,Oklahoma,40,"Bryan County, OK",40013,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,11.0,47192.0,Unreliable
2018,Oklahoma,40,"Bryan County, OK",40013,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,32.0,47192.0,67.8
2018,Oklahoma,40,"Caddo County, OK",40015,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,10.0,28977.0,Unreliable
2018,Oklahoma,40,"Caddo County, OK",40015,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,17.0,28977.0,Unreliable
2018,Oklahoma,40,"Caddo County, OK",40015,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,17.0,28977.0,Unreliable
2018,Oklahoma,40,"Caddo County, OK",40015,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,11.0,28977.0,Unreliable
2018,Oklahoma,40,"Caddo County, OK",40015,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,13.0,28977.0,Unreliable
2018,Oklahoma,40,"Caddo County, OK",40015,Ischemic heart disease,Atherosclerotic heart disease,I25.1,27.0,28977.0,93.2
2018,Oklahoma,40,"Caddo County, OK",40015,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,10.0,28977.0,Unreliable
2018,Oklahoma,40,"Caddo County, OK",40015,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,15.0,28977.0,Unreliable
2018,Oklahoma,40,"Canadian County, OK",40017,Sepsis,"Septicaemia, unspecified",A41.9,13.0,144447.0,Unreliable
2018,Oklahoma,40,"Canadian County, OK",40017,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,14.0,144447.0,Unreliable
2018,Oklahoma,40,"Canadian County, OK",40017,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,57.0,144447.0,39.5
2018,Oklahoma,40,"Canadian County, OK",40017,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,16.0,144447.0,Unreliable
