year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,Oregon,41,"Baker County, OR",41001,White,Not Hispanic or Latino,214.0,14466.0,1479.3,832.3
2018,Oregon,41,"Benton County, OR",41003,White,Not Hispanic or Latino,543.0,73601.0,737.8,556.1
2018,Oregon,41,"Clackamas County, OR",41005,Asian,Not Hispanic or Latino,76.0,19303.0,393.7,424.9
2018,Oregon,41,"Clackamas County, OR",41005,Black or African American,Not Hispanic or Latino,20.0,4136.0,483.6,887.4
2018,Oregon,41,"Clackamas County, OR",41005,White,Hispanic or Latino,70.0,31719.0,220.7,487.2
2018,Oregon,41,"Clackamas County, OR",41005,White,Not Hispanic or Latino,3209.0,339341.0,945.7,657.0
2018,Oregon,41,"Clackamas County, OR",41005,More than one race,Not Hispanic or Latino,22.0,12701.0,173.2,351.4
2018,Oregon,41,"Clatsop County, OR",41007,White,Not Hispanic or Latino,370.0,33839.0,1093.4,730.4
2018,Oregon,41,"Columbia County, OR",41009,White,Not Hispanic or Latino,466.0,46140.0,1010.0,730.7
2018,Oregon,41,"Coos County, OR",41011,White,Not Hispanic or Latino,917.0,54754.0,1674.8,925.8
2018,Oregon,41,"Crook County, OR",41013,White,Not Hispanic or Latino,276.0,21005.0,1314.0,794.7
2018,Oregon,41,"Curry County, OR",41015,White,Not Hispanic or Latino,326.0,19603.0,1663.0,698.8
2018,Oregon,41,"Deschutes County, OR",41017,White,Hispanic or Latino,36.0,13661.0,263.5,558.2
2018,Oregon,41,"Deschutes County, OR",41017,White,Not Hispanic or Latino,1466.0,167270.0,876.4,626.3
2018,Oregon,41,"Douglas County, OR",41019,American Indian or Alaska Native,Not Hispanic or Latino,10.0,1908.0,Unreliable,Unreliable
2018,Oregon,41,"Douglas County, OR",41019,White,Hispanic or Latino,23.0,5570.0,412.9,488.0
2018,Oregon,41,"Douglas County, OR",41019,White,Not Hispanic or Latino,1463.0,96545.0,1515.4,840.1
2018,Oregon,41,"Gilliam County, OR",41021,White,Not Hispanic or Latino,24.0,1667.0,1439.7,628.6
2018,Oregon,41,"Grant County, OR",41023,White,Not Hispanic or Latino,94.0,6538.0,1437.7,754.3
2018,Oregon,41,"Harney County, OR",41025,White,Not Hispanic or Latino,77.0,6367.0,1209.4,712.7
2018,Oregon,41,"Hood River County, OR",41027,White,Not Hispanic or Latino,175.0,14748.0,1186.6,768.9
2018,Oregon,41,"Jackson County, OR",41029,American Indian or Alaska Native,Not Hispanic or Latino,15.0,2071.0,Unreliable,Unreliable
2018,Oregon,41,"Jackson County, OR",41029,Asian,Not Hispanic or Latino,11.0,3172.0,Unreliable,Unreliable
2018,Oregon,41,"Jackson County, OR",41029,Black or African American,Not Hispanic or Latino,12.0,1672.0,Unreliable,Unreliable
2018,Oregon,41,"Jackson County, OR",41029,White,Hispanic or Latino,77.0,25240.0,305.1,561.3
2018,Oregon,41,"Jackson County, OR",41029,White,Not Hispanic or Latino,2213.0,176620.0,1253.0,740.1
2018,Oregon,41,"Jackson County, OR",41029,More than one race,Not Hispanic or Latino,17.0,6344.0,Unreliable,Unreliable
