year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Oregon,41,"Baker County, OR",41001,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,11.0,16006.0,Unreliable
2018,Oregon,41,"Baker County, OR",41001,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,11.0,16006.0,Unreliable
2018,Oregon,41,"Baker County, OR",41001,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,10.0,16006.0,Unreliable
2018,Oregon,41,"Baker County, OR",41001,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,13.0,16006.0,Unreliable
2018,Oregon,41,"Benton County, OR",41003,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,15.0,92101.0,Unreliable
2018,Oregon,41,"Benton County, OR",41003,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,17.0,92101.0,Unreliable
2018,Oregon,41,"Benton County, OR",41003,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,14.0,92101.0,Unreliable
2018,Oregon,41,"Benton County, OR",41003,Malignant neoplasms,Malignant neoplasm of prostate,C61,12.0,92101.0,Unreliable
2018,Oregon,41,"Benton County, OR",41003,Alzheimer disease and dementia,Unspecified dementia,F03,22.0,92101.0,23.9
2018,Oregon,41,"Benton County, OR",41003,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,35.0,92101.0,38.0
2018,Oregon,41,"Benton County, OR",41003,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,10.0,92101.0,Unreliable
2018,Oregon,41,"Benton County, OR",41003,Ischemic heart disease,Atherosclerotic heart disease,I25.1,25.0,92101.0,27.1
2018,Oregon,41,"Benton County, OR",41003,Other diseases of the circulatory system,Atrial fibrillation and flutter,I48,13.0,92101.0,Unreliable
2018,Oregon,41,"Benton County, OR",41003,Other diseases of the circulatory system,Congestive heart failure,I50.0,11.0,92101.0,Unreliable
2018,Oregon,41,"Clackamas County, OR",41005,Sepsis,"Septicaemia, unspecified",A41.9,21.0,416075.0,5.0
2018,Oregon,41,"Clackamas County, OR",41005,Malignant neoplasms,"Oesophagus, unspecified - Malignant neoplasms",C15.9,19.0,416075.0,Unreliable
2018,Oregon,41,"Clackamas County, OR",41005,Malignant neoplasms,"Stomach, unspecified - Malignant neoplasms",C16.9,11.0,416075.0,Unreliable
2018,Oregon,41,"Clackamas County, OR",41005,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,39.0,416075.0,9.4
2018,Oregon,41,"Clackamas County, OR",41005,Malignant neoplasms,Liver cell carcinoma - Malignant neoplasms,C22.0,22.0,416075.0,5.3
2018,Oregon,41,"Clackamas County, OR",41005,Malignant neoplasms,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,13.0,416075.0,Unreliable
2018,Oregon,41,"Clackamas County, OR",41005,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,55.0,416075.0,13.2
2018,Oregon,41,"Clackamas County, OR",41005,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,141.0,416075.0,33.9
2018,Oregon,41,"Clackamas County, OR",41005,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,54.0,416075.0,13.0
2018,Oregon,41,"Clackamas County, OR",41005,Malignant neoplasms,Endometrium - Malignant neoplasms,C54.1,13.0,416075.0,Unreliable
2018,Oregon,41,"Clackamas County, OR",41005,Malignant neoplasms,Malignant neoplasm of ovary,C56,24.0,416075.0,5.8
2018,Oregon,41,"Clackamas County, OR",41005,Malignant neoplasms,Malignant neoplasm of prostate,C61,51.0,416075.0,12.3
2018,Oregon,41,"Clackamas County, OR",41005,Malignant neoplasms,"Malignant neoplasm of kidney, except renal pelvis",C64,26.0,416075.0,6.2
2018,Oregon,41,"Clackamas County, OR",41005,Malignant neoplasms,"Bladder, unspecified - Malignant neoplasms",C67.9,19.0,416075.0,Unreliable
2018,Oregon,41,"Clackamas County, OR",41005,Malignant neoplasms,"Brain, unspecified - Malignant neoplasms",C71.9,20.0,416075.0,4.8
2018,Oregon,41,"Clackamas County, OR",41005,Malignant neoplasms,Malignant neoplasm without specification of site,C80,36.0,416075.0,8.7
2018,Oregon,41,"Clackamas County, OR",41005,Malignant neoplasms,Non-Hodgkin lymphoma large cell (diffuse),C83.3,12.0,416075.0,Unreliable
2018,Oregon,41,"Clackamas County, OR",41005,Malignant neoplasms,"Non-Hodgkin lymphoma, unspecified type",C85.9,15.0,416075.0,Unreliable
2018,Oregon,41,"Clackamas County, OR",41005,Malignant neoplasms,Multiple myeloma - Malignant neoplasms,C90.0,21.0,416075.0,5.0
2018,Oregon,41,"Clackamas County, OR",41005,Malignant neoplasms,Acute myeloid leukaemia - Malignant neoplasms,C92.0,13.0,416075.0,Unreliable
2018,Oregon,41,"Clackamas County, OR",41005,Diabetes,"Non-insulin-dependent diabetes mellitus, with renal complications",E11.2,23.0,416075.0,5.5
2018,Oregon,41,"Clackamas County, OR",41005,Diabetes,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,16.0,416075.0,Unreliable
2018,Oregon,41,"Clackamas County, OR",41005,Diabetes,"Unspecified diabetes mellitus, with renal complications",E14.2,19.0,416075.0,Unreliable
2018,Oregon,41,"Clackamas County, OR",41005,Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,30.0,416075.0,7.2
2018,Oregon,41,"Clackamas County, OR",41005,Alzheimer disease and dementia,"Vascular dementia, unspecified",F01.9,70.0,416075.0,16.8
2018,Oregon,41,"Clackamas County, OR",41005,Alzheimer disease and dementia,Unspecified dementia,F03,150.0,416075.0,36.1
2018,Oregon,41,"Clackamas County, OR",41005,Alzheimer disease and dementia,Alzheimer disease with late onset,G30.1,11.0,416075.0,Unreliable
2018,Oregon,41,"Clackamas County, OR",41005,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,155.0,416075.0,37.3
2018,Oregon,41,"Clackamas County, OR",41005,Alzheimer disease and dementia,"Senile degeneration of brain, not elsewhere classified",G31.1,29.0,416075.0,7.0
2018,Oregon,41,"Clackamas County, OR",41005,Alzheimer disease and dementia,Other specified degenerative diseases of nervous system,G31.8,23.0,416075.0,5.5
2018,Oregon,41,"Clackamas County, OR",41005,Hypertensive diseases,Essential (primary) hypertension,I10,45.0,416075.0,10.8
2018,Oregon,41,"Clackamas County, OR",41005,Hypertensive diseases,Hypertensive heart disease with (congestive) heart failure,I11.0,37.0,416075.0,8.9
