year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Oregon,41,"Benton County, OR",41003,Nontransport accidents,Other fall on same level,W18,10.0,92101.0,Unreliable
2018,Oregon,41,"Clackamas County, OR",41005,Nontransport accidents,Other fall on same level,W18,51.0,416075.0,12.3
2018,Oregon,41,"Coos County, OR",41011,Nontransport accidents,Other fall on same level,W18,12.0,64389.0,Unreliable
2018,Oregon,41,"Deschutes County, OR",41017,Nontransport accidents,Other fall on same level,W18,41.0,191996.0,21.4
2018,Oregon,41,"Douglas County, OR",41019,Nontransport accidents,Other fall on same level,W18,21.0,110283.0,19.0
2018,Oregon,41,"Jackson County, OR",41029,Nontransport accidents,Other fall on same level,W18,14.0,219564.0,Unreliable
2018,Oregon,41,"Lane County, OR",41039,Nontransport accidents,Other fall on same level,W18,74.0,379611.0,19.5
2018,Oregon,41,"Linn County, OR",41043,Nontransport accidents,Other fall on same level,W18,26.0,127335.0,20.4
2018,Oregon,41,"Marion County, OR",41047,Nontransport accidents,Other fall on same level,W18,47.0,346868.0,13.5
2018,Oregon,41,"Multnomah County, OR",41051,Nontransport accidents,Other fall on same level,W18,94.0,811880.0,11.6
2018,Oregon,41,"Polk County, OR",41053,Nontransport accidents,Other fall on same level,W18,25.0,85234.0,29.3
2018,Oregon,41,"Washington County, OR",41067,Nontransport accidents,Other fall on same level,W18,38.0,597695.0,6.4
2018,Oregon,41,"Yamhill County, OR",41071,Nontransport accidents,Other fall on same level,W18,11.0,107002.0,Unreliable
2019,Oregon,41,"Benton County, OR",41003,Nontransport accidents,Other fall on same level,W18,14.0,93053.0,Unreliable
2019,Oregon,41,"Clackamas County, OR",41005,Nontransport accidents,Other fall on same level,W18,36.0,418187.0,8.6
2019,Oregon,41,"Coos County, OR",41011,Nontransport accidents,Other fall on same level,W18,11.0,64487.0,Unreliable
2019,Oregon,41,"Deschutes County, OR",41017,Nontransport accidents,Other fall on same level,W18,54.0,197692.0,27.3
2019,Oregon,41,"Douglas County, OR",41019,Nontransport accidents,Other fall on same level,W18,13.0,110980.0,Unreliable
2019,Oregon,41,"Jackson County, OR",41029,Nontransport accidents,Other fall on same level,W18,15.0,220944.0,Unreliable
2019,Oregon,41,"Lane County, OR",41039,Nontransport accidents,Other fall on same level,W18,99.0,382067.0,25.9
2019,Oregon,41,"Lincoln County, OR",41041,Nontransport accidents,Other fall on same level,W18,12.0,49962.0,Unreliable
2019,Oregon,41,"Linn County, OR",41043,Nontransport accidents,Other fall on same level,W18,27.0,129749.0,20.8
2019,Oregon,41,"Marion County, OR",41047,Nontransport accidents,Other fall on same level,W18,49.0,347818.0,14.1
2019,Oregon,41,"Multnomah County, OR",41051,Nontransport accidents,Other fall on same level,W18,86.0,812855.0,10.6
2019,Oregon,41,"Polk County, OR",41053,Nontransport accidents,Other fall on same level,W18,12.0,86085.0,Unreliable
2019,Oregon,41,"Washington County, OR",41067,Nontransport accidents,Other fall on same level,W18,41.0,601592.0,6.8
2020,Oregon,41,"Benton County, OR",41003,Nontransport accidents,Other fall on same level,W18,18.0,93239.0,Unreliable
2020,Oregon,41,"Clackamas County, OR",41005,Nontransport accidents,Other fall on same level,W18,64.0,421596.0,15.2
2020,Oregon,41,"Coos County, OR",41011,Nontransport accidents,Other fall on same level,W18,11.0,64711.0,Unreliable
2020,Oregon,41,"Deschutes County, OR",41017,Nontransport accidents,Other fall on same level,W18,63.0,201769.0,31.2
2020,Oregon,41,"Douglas County, OR",41019,Nontransport accidents,Other fall on same level,W18,21.0,111364.0,18.9
2020,Oregon,41,"Jackson County, OR",41029,Nontransport accidents,Other fall on same level,W18,18.0,221844.0,Unreliable
2020,Oregon,41,"Josephine County, OR",41033,Nontransport accidents,Other fall on same level,W18,11.0,88053.0,Unreliable
2020,Oregon,41,"Lane County, OR",41039,Nontransport accidents,Other fall on same level,W18,85.0,382986.0,22.2
2020,Oregon,41,"Lincoln County, OR",41041,Nontransport accidents,Other fall on same level,W18,14.0,50583.0,Unreliable
2020,Oregon,41,"Linn County, OR",41043,Nontransport accidents,Other fall on same level,W18,18.0,131054.0,Unreliable
2020,Oregon,41,"Marion County, OR",41047,Nontransport accidents,Other fall on same level,W18,44.0,349204.0,12.6
2020,Oregon,41,"Multnomah County, OR",41051,Nontransport accidents,Other fall on same level,W18,77.0,815637.0,9.4
2020,Oregon,41,"Polk County, OR",41053,Nontransport accidents,Other fall on same level,W18,18.0,87744.0,Unreliable
2020,Oregon,41,"Umatilla County, OR",41059,Nontransport accidents,Other fall on same level,W18,10.0,77752.0,Unreliable
2020,Oregon,41,"Washington County, OR",41067,Nontransport accidents,Other fall on same level,W18,56.0,603514.0,9.3
2021,Oregon,41,"Benton County, OR",41003,Nontransport accidents,Other fall on same level,W18,12.0,93239.0,Unreliable
2021,Oregon,41,"Clackamas County, OR",41005,Nontransport accidents,Other fall on same level,W18,39.0,421596.0,9.3
2021,Oregon,41,"Crook County, OR",41013,Nontransport accidents,Other fall on same level,W18,11.0,25105.0,Unreliable
2021,Oregon,41,"Deschutes County, OR",41017,Nontransport accidents,Other fall on same level,W18,45.0,201769.0,22.3
2021,Oregon,41,"Douglas County, OR",41019,Nontransport accidents,Other fall on same level,W18,14.0,111364.0,Unreliable
2021,Oregon,41,"Lane County, OR",41039,Nontransport accidents,Other fall on same level,W18,64.0,382986.0,16.7
2021,Oregon,41,"Linn County, OR",41043,Nontransport accidents,Other fall on same level,W18,25.0,131054.0,19.1
2021,Oregon,41,"Marion County, OR",41047,Nontransport accidents,Other fall on same level,W18,41.0,349204.0,11.7
2021,Oregon,41,"Multnomah County, OR",41051,Nontransport accidents,Other fall on same level,W18,51.0,815637.0,6.3
2021,Oregon,41,"Polk County, OR",41053,Nontransport accidents,Other fall on same level,W18,12.0,87744.0,Unreliable
2021,Oregon,41,"Washington County, OR",41067,Nontransport accidents,Other fall on same level,W18,33.0,603514.0,5.5
2021,Oregon,41,"Yamhill County, OR",41071,Nontransport accidents,Other fall on same level,W18,12.0,107664.0,Unreliable
2018,Oregon,41,"Clackamas County, OR",41005,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,34.0,416075.0,8.2
2018,Oregon,41,"Coos County, OR",41011,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,10.0,64389.0,Unreliable
2018,Oregon,41,"Jackson County, OR",41029,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,54.0,219564.0,24.6
2018,Oregon,41,"Josephine County, OR",41033,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,14.0,87393.0,Unreliable
2018,Oregon,41,"Klamath County, OR",41035,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,10.0,67653.0,Unreliable
