year,state,county,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Pennsylvania,"Adams County, PA",Nontransport accidents,Unspecified fall,W19,11.0,102811.0,Unreliable
2018,Pennsylvania,"Adams County, PA",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,11.0,102811.0,Unreliable
2018,Pennsylvania,"Adams County, PA",Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,12.0,102811.0,Unreliable
2018,Pennsylvania,"Allegheny County, PA",Transport accidents (unintentional injuries),Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,13.0,1218452.0,Unreliable
2018,Pennsylvania,"Allegheny County, PA",Transport accidents (unintentional injuries),Person injured in collision between other specified motor vehicles (traffic),V87.7,12.0,1218452.0,Unreliable
2018,Pennsylvania,"Allegheny County, PA",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,35.0,1218452.0,2.9
2018,Pennsylvania,"Allegheny County, PA",Nontransport accidents,Fall on and from stairs and steps,W10,30.0,1218452.0,2.5
2018,Pennsylvania,"Allegheny County, PA",Nontransport accidents,Other fall on same level,W18,153.0,1218452.0,12.6
2018,Pennsylvania,"Allegheny County, PA",Nontransport accidents,Unspecified fall,W19,53.0,1218452.0,4.3
2018,Pennsylvania,"Allegheny County, PA",Nontransport accidents,Inhalation and ingestion of other objects causing obstruction of respiratory tract,W80,24.0,1218452.0,2.0
2018,Pennsylvania,"Allegheny County, PA",Nontransport accidents,Exposure to uncontrolled fire in building or structure,X00,19.0,1218452.0,Unreliable
2018,Pennsylvania,"Allegheny County, PA",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,245.0,1218452.0,20.1
2018,Pennsylvania,"Allegheny County, PA",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,186.0,1218452.0,15.3
2018,Pennsylvania,"Allegheny County, PA",Nontransport accidents,Exposure to unspecified factor causing fracture,X59.0,15.0,1218452.0,Unreliable
2018,Pennsylvania,"Allegheny County, PA",Nontransport accidents,Exposure to unspecified factor causing other and unspecified injury,X59.9,11.0,1218452.0,Unreliable
2018,Pennsylvania,"Allegheny County, PA",Intentional self-harm (suicide),"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,19.0,1218452.0,Unreliable
2018,Pennsylvania,"Allegheny County, PA",Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,58.0,1218452.0,4.8
2018,Pennsylvania,"Allegheny County, PA",Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,79.0,1218452.0,6.5
2018,Pennsylvania,"Allegheny County, PA",Assault (homicide),"Assault by rifle, shotgun and larger firearm discharge",X94,12.0,1218452.0,Unreliable
2018,Pennsylvania,"Allegheny County, PA",Assault (homicide),Assault by other and unspecified firearm discharge,X95,79.0,1218452.0,6.5
