year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Rhode Island,44,"Bristol County, RI",44001,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,23.0,48649.0,47.3
2018,Rhode Island,44,"Bristol County, RI",44001,Alzheimer disease and dementia,Unspecified dementia,F03,65.0,48649.0,133.6
2018,Rhode Island,44,"Bristol County, RI",44001,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,21.0,48649.0,43.2
2018,Rhode Island,44,"Bristol County, RI",44001,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,13.0,48649.0,Unreliable
2018,Rhode Island,44,"Bristol County, RI",44001,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,27.0,48649.0,55.5
2018,Rhode Island,44,"Bristol County, RI",44001,Ischemic heart disease,Atherosclerotic heart disease,I25.1,27.0,48649.0,55.5
2018,Rhode Island,44,"Bristol County, RI",44001,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,18.0,48649.0,Unreliable
2018,Rhode Island,44,"Kent County, RI",44003,Sepsis,"Septicaemia, unspecified",A41.9,21.0,163861.0,12.8
2018,Rhode Island,44,"Kent County, RI",44003,Malignant neoplasms,"Oesophagus, unspecified - Malignant neoplasms",C15.9,13.0,163861.0,Unreliable
2018,Rhode Island,44,"Kent County, RI",44003,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,18.0,163861.0,Unreliable
2018,Rhode Island,44,"Kent County, RI",44003,Malignant neoplasms,Liver cell carcinoma - Malignant neoplasms,C22.0,13.0,163861.0,Unreliable
2018,Rhode Island,44,"Kent County, RI",44003,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,34.0,163861.0,20.7
2018,Rhode Island,44,"Kent County, RI",44003,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,110.0,163861.0,67.1
2018,Rhode Island,44,"Kent County, RI",44003,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,28.0,163861.0,17.1
2018,Rhode Island,44,"Kent County, RI",44003,Malignant neoplasms,Malignant neoplasm of prostate,C61,19.0,163861.0,Unreliable
2018,Rhode Island,44,"Kent County, RI",44003,Malignant neoplasms,"Malignant neoplasm of kidney, except renal pelvis",C64,13.0,163861.0,Unreliable
2018,Rhode Island,44,"Kent County, RI",44003,Malignant neoplasms,"Bladder, unspecified - Malignant neoplasms",C67.9,14.0,163861.0,Unreliable
2018,Rhode Island,44,"Kent County, RI",44003,Malignant neoplasms,Malignant neoplasm without specification of site,C80,23.0,163861.0,14.0
2018,Rhode Island,44,"Kent County, RI",44003,Malignant neoplasms,Malignant neoplasms of independent (primary) multiple sites,C97,11.0,163861.0,Unreliable
2018,Rhode Island,44,"Kent County, RI",44003,Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,21.0,163861.0,12.8
2018,Rhode Island,44,"Kent County, RI",44003,Alzheimer disease and dementia,Unspecified dementia,F03,116.0,163861.0,70.8
2018,Rhode Island,44,"Kent County, RI",44003,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,52.0,163861.0,31.7
2018,Rhode Island,44,"Kent County, RI",44003,Hypertensive diseases,Essential (primary) hypertension,I10,11.0,163861.0,Unreliable
2018,Rhode Island,44,"Kent County, RI",44003,Hypertensive diseases,Hypertensive heart disease without (congestive) heart failure,I11.9,21.0,163861.0,12.8
2018,Rhode Island,44,"Kent County, RI",44003,Hypertensive diseases,Hypertensive renal disease with renal failure,I12.0,10.0,163861.0,Unreliable
2018,Rhode Island,44,"Kent County, RI",44003,Ischemic heart disease,Acute subendocardial myocardial infarction,I21.4,14.0,163861.0,Unreliable
2018,Rhode Island,44,"Kent County, RI",44003,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,41.0,163861.0,25.0
2018,Rhode Island,44,"Kent County, RI",44003,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,94.0,163861.0,57.4
2018,Rhode Island,44,"Kent County, RI",44003,Ischemic heart disease,Atherosclerotic heart disease,I25.1,118.0,163861.0,72.0
2018,Rhode Island,44,"Kent County, RI",44003,Other diseases of the circulatory system,Aortic (valve) stenosis,I35.0,13.0,163861.0,Unreliable
2018,Rhode Island,44,"Kent County, RI",44003,Other diseases of the circulatory system,Atrial fibrillation and flutter,I48,18.0,163861.0,Unreliable
2018,Rhode Island,44,"Kent County, RI",44003,Other diseases of the circulatory system,Congestive heart failure,I50.0,19.0,163861.0,Unreliable
2018,Rhode Island,44,"Kent County, RI",44003,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,30.0,163861.0,18.3
2018,Rhode Island,44,"Kent County, RI",44003,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,26.0,163861.0,15.9
2018,Rhode Island,44,"Kent County, RI",44003,Chronic lower respiratory diseases,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,16.0,163861.0,Unreliable
2018,Rhode Island,44,"Kent County, RI",44003,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,52.0,163861.0,31.7
2018,Rhode Island,44,"Kent County, RI",44003,Other diseases of the respiratory system,Pneumonitis due to food and vomit,J69.0,11.0,163861.0,Unreliable
2018,Rhode Island,44,"Kent County, RI",44003,Renal failure,"Chronic kidney disease, stage 5",N18.5,11.0,163861.0,Unreliable
2018,Rhode Island,44,"Newport County, RI",44005,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,20.0,82542.0,24.2
2018,Rhode Island,44,"Newport County, RI",44005,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,35.0,82542.0,42.4
2018,Rhode Island,44,"Newport County, RI",44005,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,21.0,82542.0,25.4
2018,Rhode Island,44,"Newport County, RI",44005,Alzheimer disease and dementia,Unspecified dementia,F03,60.0,82542.0,72.7
2018,Rhode Island,44,"Newport County, RI",44005,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,46.0,82542.0,55.7
2018,Rhode Island,44,"Newport County, RI",44005,Hypertensive diseases,Hypertensive heart disease without (congestive) heart failure,I11.9,12.0,82542.0,Unreliable
2018,Rhode Island,44,"Newport County, RI",44005,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,25.0,82542.0,30.3
2018,Rhode Island,44,"Newport County, RI",44005,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,27.0,82542.0,32.7
2018,Rhode Island,44,"Newport County, RI",44005,Ischemic heart disease,Atherosclerotic heart disease,I25.1,39.0,82542.0,47.2
2018,Rhode Island,44,"Newport County, RI",44005,Other diseases of the circulatory system,Atrial fibrillation and flutter,I48,13.0,82542.0,Unreliable
2018,Rhode Island,44,"Newport County, RI",44005,Other diseases of the circulatory system,Congestive heart failure,I50.0,16.0,82542.0,Unreliable
2018,Rhode Island,44,"Newport County, RI",44005,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,12.0,82542.0,Unreliable
2018,Rhode Island,44,"Newport County, RI",44005,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,10.0,82542.0,Unreliable
2018,Rhode Island,44,"Newport County, RI",44005,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,30.0,82542.0,36.3
2018,Rhode Island,44,"Providence County, RI",44007,Sepsis,"Septicaemia, unspecified",A41.9,50.0,636084.0,7.9
2018,Rhode Island,44,"Providence County, RI",44007,Malignant neoplasms,"Oesophagus, unspecified - Malignant neoplasms",C15.9,32.0,636084.0,5.0
2018,Rhode Island,44,"Providence County, RI",44007,Malignant neoplasms,"Stomach, unspecified - Malignant neoplasms",C16.9,28.0,636084.0,4.4
2018,Rhode Island,44,"Providence County, RI",44007,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,74.0,636084.0,11.6
2018,Rhode Island,44,"Providence County, RI",44007,Malignant neoplasms,Malignant neoplasm of rectum,C20,27.0,636084.0,4.2
2018,Rhode Island,44,"Providence County, RI",44007,Malignant neoplasms,Liver cell carcinoma - Malignant neoplasms,C22.0,25.0,636084.0,3.9
2018,Rhode Island,44,"Providence County, RI",44007,Malignant neoplasms,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,22.0,636084.0,3.5
2018,Rhode Island,44,"Providence County, RI",44007,Malignant neoplasms,"Liver, unspecified - Malignant neoplasms",C22.9,15.0,636084.0,Unreliable
2018,Rhode Island,44,"Providence County, RI",44007,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,80.0,636084.0,12.6
2018,Rhode Island,44,"Providence County, RI",44007,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,292.0,636084.0,45.9
2018,Rhode Island,44,"Providence County, RI",44007,Malignant neoplasms,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,13.0,636084.0,Unreliable
2018,Rhode Island,44,"Providence County, RI",44007,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,71.0,636084.0,11.2
2018,Rhode Island,44,"Providence County, RI",44007,Malignant neoplasms,Endometrium - Malignant neoplasms,C54.1,14.0,636084.0,Unreliable
2018,Rhode Island,44,"Providence County, RI",44007,Malignant neoplasms,"Malignant neoplasm of uterus, part unspecified",C55,10.0,636084.0,Unreliable
2018,Rhode Island,44,"Providence County, RI",44007,Malignant neoplasms,Malignant neoplasm of ovary,C56,27.0,636084.0,4.2
2018,Rhode Island,44,"Providence County, RI",44007,Malignant neoplasms,Malignant neoplasm of prostate,C61,53.0,636084.0,8.3
2018,Rhode Island,44,"Providence County, RI",44007,Malignant neoplasms,"Malignant neoplasm of kidney, except renal pelvis",C64,22.0,636084.0,3.5
2018,Rhode Island,44,"Providence County, RI",44007,Malignant neoplasms,"Bladder, unspecified - Malignant neoplasms",C67.9,27.0,636084.0,4.2
2018,Rhode Island,44,"Providence County, RI",44007,Malignant neoplasms,"Brain, unspecified - Malignant neoplasms",C71.9,27.0,636084.0,4.2
