year,state,county,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Rhode Island,"Bristol County, RI",Nontransport accidents,Unspecified fall,W19,11.0,48649.0,Unreliable
2018,Rhode Island,"Kent County, RI",Nontransport accidents,Unspecified fall,W19,46.0,163861.0,28.1
2018,Rhode Island,"Kent County, RI",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,39.0,163861.0,23.8
2018,Rhode Island,"Kent County, RI",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,16.0,163861.0,Unreliable
2018,Rhode Island,"Newport County, RI",Nontransport accidents,Unspecified fall,W19,12.0,82542.0,Unreliable
2018,Rhode Island,"Providence County, RI",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,12.0,636084.0,Unreliable
2018,Rhode Island,"Providence County, RI",Nontransport accidents,Fall on and from stairs and steps,W10,11.0,636084.0,Unreliable
2018,Rhode Island,"Providence County, RI",Nontransport accidents,Unspecified fall,W19,108.0,636084.0,17.0
2018,Rhode Island,"Providence County, RI",Nontransport accidents,Inhalation and ingestion of other objects causing obstruction of respiratory tract,W80,14.0,636084.0,Unreliable
2018,Rhode Island,"Providence County, RI",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,135.0,636084.0,21.2
2018,Rhode Island,"Providence County, RI",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,58.0,636084.0,9.1
2018,Rhode Island,"Providence County, RI",Nontransport accidents,Accidental poisoning by and exposure to alcohol,X45,17.0,636084.0,Unreliable
2018,Rhode Island,"Providence County, RI",Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,26.0,636084.0,4.1
2018,Rhode Island,"Providence County, RI",Assault (homicide),Assault by other and unspecified firearm discharge,X95,10.0,636084.0,Unreliable
2018,Rhode Island,"Washington County, RI",Nontransport accidents,Unspecified fall,W19,23.0,126179.0,18.2
2018,Rhode Island,"Washington County, RI",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,15.0,126179.0,Unreliable
