year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,South Carolina,45,"Abbeville County, SC",45001,Black or African American,Not Hispanic or Latino,91.0,6750.0,1348.1,1029.3
2018,South Carolina,45,"Abbeville County, SC",45001,White,Not Hispanic or Latino,237.0,16917.0,1401.0,909.9
2018,South Carolina,45,"Aiken County, SC",45003,Black or African American,Not Hispanic or Latino,401.0,41993.0,954.9,941.3
2018,South Carolina,45,"Aiken County, SC",45003,White,Hispanic or Latino,25.0,8237.0,303.5,538.6
2018,South Carolina,45,"Aiken County, SC",45003,White,Not Hispanic or Latino,1467.0,111715.0,1313.2,840.7
2018,South Carolina,45,"Allendale County, SC",45005,Black or African American,Not Hispanic or Latino,83.0,6452.0,1286.4,1083.9
2018,South Carolina,45,"Allendale County, SC",45005,White,Not Hispanic or Latino,54.0,1979.0,2728.7,1376.6
2018,South Carolina,45,"Anderson County, SC",45007,Black or African American,Not Hispanic or Latino,300.0,32029.0,936.7,918.9
2018,South Carolina,45,"Anderson County, SC",45007,White,Hispanic or Latino,11.0,6710.0,Unreliable,Unreliable
2018,South Carolina,45,"Anderson County, SC",45007,White,Not Hispanic or Latino,1943.0,154837.0,1254.9,904.9
2018,South Carolina,45,"Bamberg County, SC",45009,Black or African American,Not Hispanic or Latino,138.0,8537.0,1616.5,1246.8
2018,South Carolina,45,"Bamberg County, SC",45009,White,Not Hispanic or Latino,90.0,5153.0,1746.6,973.3
2018,South Carolina,45,"Barnwell County, SC",45011,Black or African American,Not Hispanic or Latino,106.0,9230.0,1148.4,1076.1
2018,South Carolina,45,"Barnwell County, SC",45011,White,Not Hispanic or Latino,155.0,10747.0,1442.3,980.1
2018,South Carolina,45,"Beaufort County, SC",45013,Black or African American,Not Hispanic or Latino,295.0,33078.0,891.8,847.3
2018,South Carolina,45,"Beaufort County, SC",45013,White,Hispanic or Latino,18.0,18405.0,Unreliable,Unreliable
2018,South Carolina,45,"Beaufort County, SC",45013,White,Not Hispanic or Latino,1302.0,128610.0,1012.4,503.8
