year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,South Carolina,45,"Abbeville County, SC",45001,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,24.0,24541.0,97.8
2018,South Carolina,45,"Abbeville County, SC",45001,Alzheimer disease and dementia,Unspecified dementia,F03,26.0,24541.0,105.9
2018,South Carolina,45,"Abbeville County, SC",45001,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,17.0,24541.0,Unreliable
2018,South Carolina,45,"Abbeville County, SC",45001,Ischemic heart disease,Atherosclerotic heart disease,I25.1,10.0,24541.0,Unreliable
2018,South Carolina,45,"Abbeville County, SC",45001,Other diseases of the circulatory system,Congestive heart failure,I50.0,11.0,24541.0,Unreliable
2018,South Carolina,45,"Abbeville County, SC",45001,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,13.0,24541.0,Unreliable
2018,South Carolina,45,"Aiken County, SC",45003,Sepsis,"Septicaemia, unspecified",A41.9,25.0,169401.0,14.8
2018,South Carolina,45,"Aiken County, SC",45003,Malignant neoplasms,"Oesophagus, unspecified - Malignant neoplasms",C15.9,12.0,169401.0,Unreliable
2018,South Carolina,45,"Aiken County, SC",45003,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,24.0,169401.0,14.2
2018,South Carolina,45,"Aiken County, SC",45003,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,33.0,169401.0,19.5
2018,South Carolina,45,"Aiken County, SC",45003,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,82.0,169401.0,48.4
2018,South Carolina,45,"Aiken County, SC",45003,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,37.0,169401.0,21.8
2018,South Carolina,45,"Aiken County, SC",45003,Malignant neoplasms,Malignant neoplasm of prostate,C61,21.0,169401.0,12.4
2018,South Carolina,45,"Aiken County, SC",45003,Malignant neoplasms,"Bladder, unspecified - Malignant neoplasms",C67.9,13.0,169401.0,Unreliable
2018,South Carolina,45,"Aiken County, SC",45003,Malignant neoplasms,"Brain, unspecified - Malignant neoplasms",C71.9,14.0,169401.0,Unreliable
2018,South Carolina,45,"Aiken County, SC",45003,Malignant neoplasms,Malignant neoplasm without specification of site,C80,16.0,169401.0,Unreliable
2018,South Carolina,45,"Aiken County, SC",45003,Malignant neoplasms,Malignant neoplasms of independent (primary) multiple sites,C97,10.0,169401.0,Unreliable
2018,South Carolina,45,"Aiken County, SC",45003,Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,37.0,169401.0,21.8
2018,South Carolina,45,"Aiken County, SC",45003,Alzheimer disease and dementia,"Vascular dementia, unspecified",F01.9,10.0,169401.0,Unreliable
2018,South Carolina,45,"Aiken County, SC",45003,Alzheimer disease and dementia,Unspecified dementia,F03,54.0,169401.0,31.9
2018,South Carolina,45,"Aiken County, SC",45003,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,95.0,169401.0,56.1
