year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,South Carolina,45,"Aiken County, SC",45003,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,14.0,169401.0,Unreliable
2018,South Carolina,45,"Anderson County, SC",45007,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,17.0,200482.0,Unreliable
2018,South Carolina,45,"Berkeley County, SC",45015,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,11.0,221091.0,Unreliable
2018,South Carolina,45,"Charleston County, SC",45019,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,22.0,405905.0,5.4
2018,South Carolina,45,"Cherokee County, SC",45021,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,12.0,57078.0,Unreliable
2018,South Carolina,45,"Dorchester County, SC",45035,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,16.0,160647.0,Unreliable
2018,South Carolina,45,"Florence County, SC",45041,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,13.0,138159.0,Unreliable
2018,South Carolina,45,"Greenville County, SC",45045,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,40.0,514213.0,7.8
2018,South Carolina,45,"Greenwood County, SC",45047,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,14.0,70741.0,Unreliable
2018,South Carolina,45,"Horry County, SC",45051,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,26.0,344147.0,7.6
2018,South Carolina,45,"Lexington County, SC",45063,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,27.0,295032.0,9.2
2018,South Carolina,45,"Orangeburg County, SC",45075,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,16.0,86934.0,Unreliable
2018,South Carolina,45,"Richland County, SC",45079,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,40.0,414576.0,9.6
2018,South Carolina,45,"Spartanburg County, SC",45083,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,24.0,313888.0,7.6
2018,South Carolina,45,"York County, SC",45091,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,23.0,274118.0,8.4
2019,South Carolina,45,"Anderson County, SC",45007,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,16.0,202558.0,Unreliable
2019,South Carolina,45,"Berkeley County, SC",45015,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15.0,227907.0,Unreliable
2019,South Carolina,45,"Charleston County, SC",45019,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,32.0,411406.0,7.8
2019,South Carolina,45,"Dorchester County, SC",45035,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,12.0,162809.0,Unreliable
2019,South Carolina,45,"Florence County, SC",45041,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,12.0,138293.0,Unreliable
2019,South Carolina,45,"Greenville County, SC",45045,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,32.0,523542.0,6.1
2019,South Carolina,45,"Horry County, SC",45051,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25.0,354081.0,7.1
2019,South Carolina,45,"Lancaster County, SC",45057,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,10.0,98012.0,Unreliable
2019,South Carolina,45,"Laurens County, SC",45059,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,11.0,67493.0,Unreliable
2019,South Carolina,45,"Lexington County, SC",45063,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,29.0,298750.0,9.7
2019,South Carolina,45,"Orangeburg County, SC",45075,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15.0,86175.0,Unreliable
2019,South Carolina,45,"Pickens County, SC",45077,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,11.0,126884.0,Unreliable
2019,South Carolina,45,"Richland County, SC",45079,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,26.0,415759.0,6.3
2019,South Carolina,45,"Spartanburg County, SC",45083,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,18.0,319785.0,Unreliable
2019,South Carolina,45,"York County, SC",45091,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,29.0,280979.0,10.3
2020,South Carolina,45,"Aiken County, SC",45003,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,12.0,172895.0,Unreliable
2020,South Carolina,45,"Anderson County, SC",45007,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,23.0,204353.0,11.3
2020,South Carolina,45,"Berkeley County, SC",45015,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,22.0,235987.0,9.3
2020,South Carolina,45,"Charleston County, SC",45019,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,27.0,417981.0,6.5
2020,South Carolina,45,"Chester County, SC",45023,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,10.0,32232.0,Unreliable
2020,South Carolina,45,"Colleton County, SC",45029,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,19.0,37481.0,Unreliable
2020,South Carolina,45,"Dorchester County, SC",45035,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15.0,165737.0,Unreliable
2020,South Carolina,45,"Florence County, SC",45041,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,10.0,137588.0,Unreliable
2020,South Carolina,45,"Greenville County, SC",45045,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,46.0,532486.0,8.6
2020,South Carolina,45,"Greenwood County, SC",45047,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,10.0,71074.0,Unreliable
2020,South Carolina,45,"Horry County, SC",45051,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,29.0,365449.0,7.9
2020,South Carolina,45,"Lexington County, SC",45063,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,17.0,303946.0,Unreliable
2020,South Carolina,45,"Orangeburg County, SC",45075,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,18.0,85343.0,Unreliable
2020,South Carolina,45,"Pickens County, SC",45077,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,11.0,127983.0,Unreliable
2020,South Carolina,45,"Richland County, SC",45079,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,39.0,419051.0,9.3
2020,South Carolina,45,"Spartanburg County, SC",45083,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,31.0,326205.0,9.5
2020,South Carolina,45,"York County, SC",45091,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,29.0,289105.0,10.0
2021,South Carolina,45,"Anderson County, SC",45007,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,16.0,204353.0,Unreliable
2021,South Carolina,45,"Berkeley County, SC",45015,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,10.0,235987.0,Unreliable
2021,South Carolina,45,"Charleston County, SC",45019,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,14.0,417981.0,Unreliable
2021,South Carolina,45,"Florence County, SC",45041,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,16.0,137588.0,Unreliable
2021,South Carolina,45,"Greenville County, SC",45045,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,20.0,532486.0,3.8
2021,South Carolina,45,"Horry County, SC",45051,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,19.0,365449.0,Unreliable
2021,South Carolina,45,"Kershaw County, SC",45055,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,10.0,67472.0,Unreliable
2021,South Carolina,45,"Lancaster County, SC",45057,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,12.0,100926.0,Unreliable
2021,South Carolina,45,"Lexington County, SC",45063,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,32.0,303946.0,10.5
2021,South Carolina,45,"Orangeburg County, SC",45075,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,16.0,85343.0,Unreliable
2021,South Carolina,45,"Pickens County, SC",45077,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15.0,127983.0,Unreliable
2021,South Carolina,45,"Richland County, SC",45079,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,27.0,419051.0,6.4
2021,South Carolina,45,"Spartanburg County, SC",45083,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,23.0,326205.0,7.1
2021,South Carolina,45,"Sumter County, SC",45085,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,12.0,106360.0,Unreliable
2021,South Carolina,45,"York County, SC",45091,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,14.0,289105.0,Unreliable
2018,South Carolina,45,"Aiken County, SC",45003,Nontransport accidents,Unspecified fall,W19,15.0,169401.0,Unreliable
2018,South Carolina,45,"Berkeley County, SC",45015,Nontransport accidents,Unspecified fall,W19,10.0,221091.0,Unreliable
2018,South Carolina,45,"Charleston County, SC",45019,Nontransport accidents,Unspecified fall,W19,18.0,405905.0,Unreliable
2018,South Carolina,45,"Horry County, SC",45051,Nontransport accidents,Unspecified fall,W19,18.0,344147.0,Unreliable
2018,South Carolina,45,"Kershaw County, SC",45055,Nontransport accidents,Unspecified fall,W19,11.0,65592.0,Unreliable
2018,South Carolina,45,"Lexington County, SC",45063,Nontransport accidents,Unspecified fall,W19,32.0,295032.0,10.8
2018,South Carolina,45,"Richland County, SC",45079,Nontransport accidents,Unspecified fall,W19,25.0,414576.0,6.0
2018,South Carolina,45,"Spartanburg County, SC",45083,Nontransport accidents,Unspecified fall,W19,16.0,313888.0,Unreliable
2018,South Carolina,45,"York County, SC",45091,Nontransport accidents,Unspecified fall,W19,55.0,274118.0,20.1
2019,South Carolina,45,"Berkeley County, SC",45015,Nontransport accidents,Unspecified fall,W19,13.0,227907.0,Unreliable
2019,South Carolina,45,"Charleston County, SC",45019,Nontransport accidents,Unspecified fall,W19,17.0,411406.0,Unreliable
2019,South Carolina,45,"Greenville County, SC",45045,Nontransport accidents,Unspecified fall,W19,10.0,523542.0,Unreliable
2019,South Carolina,45,"Horry County, SC",45051,Nontransport accidents,Unspecified fall,W19,20.0,354081.0,5.6
2019,South Carolina,45,"Lexington County, SC",45063,Nontransport accidents,Unspecified fall,W19,41.0,298750.0,13.7
2019,South Carolina,45,"Pickens County, SC",45077,Nontransport accidents,Unspecified fall,W19,24.0,126884.0,18.9
2019,South Carolina,45,"Richland County, SC",45079,Nontransport accidents,Unspecified fall,W19,23.0,415759.0,5.5
2019,South Carolina,45,"Spartanburg County, SC",45083,Nontransport accidents,Unspecified fall,W19,16.0,319785.0,Unreliable
2019,South Carolina,45,"York County, SC",45091,Nontransport accidents,Unspecified fall,W19,56.0,280979.0,19.9
2020,South Carolina,45,"Charleston County, SC",45019,Nontransport accidents,Unspecified fall,W19,13.0,417981.0,Unreliable
2020,South Carolina,45,"Greenville County, SC",45045,Nontransport accidents,Unspecified fall,W19,18.0,532486.0,Unreliable
2020,South Carolina,45,"Horry County, SC",45051,Nontransport accidents,Unspecified fall,W19,22.0,365449.0,6.0
2020,South Carolina,45,"Lexington County, SC",45063,Nontransport accidents,Unspecified fall,W19,33.0,303946.0,10.9
2020,South Carolina,45,"Pickens County, SC",45077,Nontransport accidents,Unspecified fall,W19,35.0,127983.0,27.3
2020,South Carolina,45,"Richland County, SC",45079,Nontransport accidents,Unspecified fall,W19,33.0,419051.0,7.9
2020,South Carolina,45,"York County, SC",45091,Nontransport accidents,Unspecified fall,W19,88.0,289105.0,30.4
2021,South Carolina,45,"Greenville County, SC",45045,Nontransport accidents,Unspecified fall,W19,10.0,532486.0,Unreliable
2021,South Carolina,45,"Horry County, SC",45051,Nontransport accidents,Unspecified fall,W19,13.0,365449.0,Unreliable
2021,South Carolina,45,"Lexington County, SC",45063,Nontransport accidents,Unspecified fall,W19,30.0,303946.0,9.9
2021,South Carolina,45,"Pickens County, SC",45077,Nontransport accidents,Unspecified fall,W19,18.0,127983.0,Unreliable
2021,South Carolina,45,"Richland County, SC",45079,Nontransport accidents,Unspecified fall,W19,18.0,419051.0,Unreliable
2021,South Carolina,45,"York County, SC",45091,Nontransport accidents,Unspecified fall,W19,61.0,289105.0,21.1
2018,South Carolina,45,"Aiken County, SC",45003,Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,11.0,169401.0,Unreliable
2018,South Carolina,45,"Anderson County, SC",45007,Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,10.0,200482.0,Unreliable
2018,South Carolina,45,"Berkeley County, SC",45015,Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,21.0,221091.0,9.5
2018,South Carolina,45,"Charleston County, SC",45019,Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,46.0,405905.0,11.3
2018,South Carolina,45,"Dorchester County, SC",45035,Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,16.0,160647.0,Unreliable
2018,South Carolina,45,"Florence County, SC",45041,Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,15.0,138159.0,Unreliable
2018,South Carolina,45,"Georgetown County, SC",45043,Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,10.0,62249.0,Unreliable
2018,South Carolina,45,"Greenville County, SC",45045,Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,49.0,514213.0,9.5
2018,South Carolina,45,"Horry County, SC",45051,Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,41.0,344147.0,11.9
2018,South Carolina,45,"Lancaster County, SC",45057,Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,12.0,95380.0,Unreliable
2018,South Carolina,45,"Lexington County, SC",45063,Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,18.0,295032.0,Unreliable
2018,South Carolina,45,"Pickens County, SC",45077,Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,15.0,124937.0,Unreliable
2018,South Carolina,45,"Richland County, SC",45079,Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,47.0,414576.0,11.3
2018,South Carolina,45,"Spartanburg County, SC",45083,Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,38.0,313888.0,12.1
2018,South Carolina,45,"Sumter County, SC",45085,Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,19.0,106512.0,Unreliable
2018,South Carolina,45,"York County, SC",45091,Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,37.0,274118.0,13.5
