year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,South Dakota,46,"Beadle County, SD",46005,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,12.0,18883.0,Unreliable
2018,South Dakota,46,"Beadle County, SD",46005,Ischemic heart disease,Atherosclerotic heart disease,I25.1,16.0,18883.0,Unreliable
2018,South Dakota,46,"Beadle County, SD",46005,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,11.0,18883.0,Unreliable
2018,South Dakota,46,"Brookings County, SD",46011,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,10.0,35232.0,Unreliable
2018,South Dakota,46,"Brookings County, SD",46011,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,18.0,35232.0,Unreliable
2018,South Dakota,46,"Brookings County, SD",46011,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,18.0,35232.0,Unreliable
2018,South Dakota,46,"Brookings County, SD",46011,Ischemic heart disease,Atherosclerotic heart disease,I25.1,15.0,35232.0,Unreliable
2018,South Dakota,46,"Brown County, SD",46013,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,13.0,39316.0,Unreliable
2018,South Dakota,46,"Brown County, SD",46013,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,12.0,39316.0,Unreliable
2018,South Dakota,46,"Brown County, SD",46013,Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,10.0,39316.0,Unreliable
2018,South Dakota,46,"Brown County, SD",46013,Alzheimer disease and dementia,Unspecified dementia,F03,11.0,39316.0,Unreliable
2018,South Dakota,46,"Brown County, SD",46013,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,14.0,39316.0,Unreliable
2018,South Dakota,46,"Brown County, SD",46013,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,34.0,39316.0,86.5
2018,South Dakota,46,"Brown County, SD",46013,Ischemic heart disease,Atherosclerotic heart disease,I25.1,31.0,39316.0,78.8
2018,South Dakota,46,"Brown County, SD",46013,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,12.0,39316.0,Unreliable
2018,South Dakota,46,"Brown County, SD",46013,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,16.0,39316.0,Unreliable
2018,South Dakota,46,"Butte County, SD",46019,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,17.0,10222.0,Unreliable
2018,South Dakota,46,"Charles Mix County, SD",46023,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,11.0,9338.0,Unreliable
2018,South Dakota,46,"Clay County, SD",46027,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,15.0,14041.0,Unreliable
2018,South Dakota,46,"Codington County, SD",46029,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,10.0,28015.0,Unreliable
2018,South Dakota,46,"Codington County, SD",46029,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,11.0,28015.0,Unreliable
2018,South Dakota,46,"Codington County, SD",46029,Ischemic heart disease,Atherosclerotic heart disease,I25.1,25.0,28015.0,89.2
2018,South Dakota,46,"Codington County, SD",46029,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,10.0,28015.0,Unreliable
2018,South Dakota,46,"Codington County, SD",46029,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,16.0,28015.0,Unreliable
2018,South Dakota,46,"Davison County, SD",46035,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,11.0,19790.0,Unreliable
2018,South Dakota,46,"Davison County, SD",46035,Ischemic heart disease,Atherosclerotic heart disease,I25.1,11.0,19790.0,Unreliable
