year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,Tennessee,47,"Anderson County, TN",47001,Black or African American,Not Hispanic or Latino,28.0,2986.0,937.7,950.9
2018,Tennessee,47,"Anderson County, TN",47001,White,Not Hispanic or Latino,1008.0,68116.0,1479.8,976.3
2018,Tennessee,47,"Bedford County, TN",47003,Black or African American,Not Hispanic or Latino,48.0,3721.0,1290.0,1221.2
2018,Tennessee,47,"Bedford County, TN",47003,White,Hispanic or Latino,14.0,5118.0,Unreliable,Unreliable
2018,Tennessee,47,"Bedford County, TN",47003,White,Not Hispanic or Latino,454.0,37556.0,1208.9,1004.6
2018,Tennessee,47,"Benton County, TN",47005,White,Not Hispanic or Latino,270.0,14970.0,1803.6,1219.5
2018,Tennessee,47,"Bledsoe County, TN",47007,White,Not Hispanic or Latino,148.0,13038.0,1135.1,815.8
2018,Tennessee,47,"Blount County, TN",47009,Black or African American,Not Hispanic or Latino,36.0,3831.0,939.7,950.7
2018,Tennessee,47,"Blount County, TN",47009,White,Not Hispanic or Latino,1481.0,119321.0,1241.2,869.0
2018,Tennessee,47,"Bradley County, TN",47011,Black or African American,Not Hispanic or Latino,35.0,5179.0,675.8,752.9
2018,Tennessee,47,"Bradley County, TN",47011,White,Hispanic or Latino,13.0,5639.0,Unreliable,Unreliable
2018,Tennessee,47,"Bradley County, TN",47011,White,Not Hispanic or Latino,1126.0,91361.0,1232.5,927.7
2018,Tennessee,47,"Campbell County, TN",47013,White,Not Hispanic or Latino,603.0,38133.0,1581.3,1139.6
2018,Tennessee,47,"Cannon County, TN",47015,White,Not Hispanic or Latino,185.0,13558.0,1364.5,1029.2
2018,Tennessee,47,"Carroll County, TN",47017,Black or African American,Not Hispanic or Latino,29.0,2783.0,1042.0,929.2
2018,Tennessee,47,"Carroll County, TN",47017,White,Not Hispanic or Latino,398.0,23680.0,1680.7,1100.3
2018,Tennessee,47,"Carter County, TN",47019,White,Not Hispanic or Latino,780.0,53345.0,1462.2,951.9
2018,Tennessee,47,"Cheatham County, TN",47021,White,Not Hispanic or Latino,415.0,37404.0,1109.5,1003.8
2018,Tennessee,47,"Chester County, TN",47023,Black or African American,Not Hispanic or Latino,11.0,1605.0,Unreliable,Unreliable
2018,Tennessee,47,"Chester County, TN",47023,White,Not Hispanic or Latino,181.0,14672.0,1233.6,928.5
2018,Tennessee,47,"Claiborne County, TN",47025,White,Not Hispanic or Latino,423.0,30260.0,1397.9,1059.8
2018,Tennessee,47,"Clay County, TN",47027,White,Not Hispanic or Latino,107.0,7259.0,1474.0,891.6
2018,Tennessee,47,"Cocke County, TN",47029,White,Not Hispanic or Latino,524.0,33260.0,1575.5,1147.1
2018,Tennessee,47,"Coffee County, TN",47031,Black or African American,Not Hispanic or Latino,19.0,2052.0,Unreliable,Unreliable
2018,Tennessee,47,"Coffee County, TN",47031,White,Not Hispanic or Latino,688.0,49307.0,1395.3,1053.9
2018,Tennessee,47,"Crockett County, TN",47033,Black or African American,Not Hispanic or Latino,25.0,1975.0,1265.8,938.9
2018,Tennessee,47,"Crockett County, TN",47033,White,Not Hispanic or Latino,178.0,10499.0,1695.4,1125.9
2018,Tennessee,47,"Cumberland County, TN",47035,White,Not Hispanic or Latino,850.0,56239.0,1511.4,826.2
2018,Tennessee,47,"Davidson County, TN",47037,Asian,Not Hispanic or Latino,79.0,26660.0,296.3,488.1
2018,Tennessee,47,"Davidson County, TN",47037,Black or African American,Not Hispanic or Latino,1462.0,187628.0,779.2,946.4
2018,Tennessee,47,"Davidson County, TN",47037,White,Hispanic or Latino,102.0,63293.0,161.2,417.0
2018,Tennessee,47,"Davidson County, TN",47037,White,Not Hispanic or Latino,3852.0,388912.0,990.5,825.4
2018,Tennessee,47,"Davidson County, TN",47037,More than one race,Not Hispanic or Latino,14.0,15179.0,Unreliable,Unreliable
2018,Tennessee,47,"Decatur County, TN",47039,White,Not Hispanic or Latino,160.0,10753.0,1488.0,873.0
2018,Tennessee,47,"DeKalb County, TN",47041,White,Not Hispanic or Latino,227.0,17607.0,1289.3,924.8
2018,Tennessee,47,"Dickson County, TN",47043,Black or African American,Not Hispanic or Latino,28.0,2131.0,1313.9,1374.9
2018,Tennessee,47,"Dickson County, TN",47043,White,Not Hispanic or Latino,564.0,47866.0,1178.3,964.7
2018,Tennessee,47,"Dyer County, TN",47045,Black or African American,Not Hispanic or Latino,49.0,5254.0,932.6,1101.2
2018,Tennessee,47,"Dyer County, TN",47045,White,Not Hispanic or Latino,436.0,29771.0,1464.5,1051.2
2018,Tennessee,47,"Fayette County, TN",47047,Black or African American,Not Hispanic or Latino,131.0,11093.0,1180.9,1052.7
2018,Tennessee,47,"Fayette County, TN",47047,White,Not Hispanic or Latino,290.0,27461.0,1056.0,672.8
2018,Tennessee,47,"Fentress County, TN",47049,White,Not Hispanic or Latino,260.0,17550.0,1481.5,1037.6
2018,Tennessee,47,"Franklin County, TN",47051,Black or African American,Not Hispanic or Latino,27.0,2120.0,1273.6,998.6
2018,Tennessee,47,"Franklin County, TN",47051,White,Not Hispanic or Latino,454.0,36935.0,1229.2,852.6
2018,Tennessee,47,"Gibson County, TN",47053,Black or African American,Not Hispanic or Latino,125.0,8777.0,1424.2,1270.2
2018,Tennessee,47,"Gibson County, TN",47053,White,Not Hispanic or Latino,541.0,37865.0,1428.8,977.2
2018,Tennessee,47,"Giles County, TN",47055,Black or African American,Not Hispanic or Latino,39.0,3016.0,1293.1,885.2
2018,Tennessee,47,"Giles County, TN",47055,White,Not Hispanic or Latino,347.0,24832.0,1397.4,953.1
2018,Tennessee,47,"Grainger County, TN",47057,White,Not Hispanic or Latino,315.0,21769.0,1447.0,1104.0
2018,Tennessee,47,"Greene County, TN",47059,Black or African American,Not Hispanic or Latino,21.0,1462.0,1436.4,1265.0
2018,Tennessee,47,"Greene County, TN",47059,White,Not Hispanic or Latino,932.0,64176.0,1452.3,979.3
2018,Tennessee,47,"Grundy County, TN",47061,White,Not Hispanic or Latino,197.0,12797.0,1539.4,1111.2
2018,Tennessee,47,"Hamblen County, TN",47063,Black or African American,Not Hispanic or Latino,27.0,2434.0,1109.3,964.5
2018,Tennessee,47,"Hamblen County, TN",47063,White,Hispanic or Latino,11.0,6615.0,Unreliable,Unreliable
2018,Tennessee,47,"Hamblen County, TN",47063,White,Not Hispanic or Latino,709.0,52385.0,1353.4,936.9
2018,Tennessee,47,"Hamilton County, TN",47065,Asian,Not Hispanic or Latino,20.0,7488.0,267.1,364.9
2018,Tennessee,47,"Hamilton County, TN",47065,Black or African American,Not Hispanic or Latino,714.0,69637.0,1025.3,1005.4
2018,Tennessee,47,"Hamilton County, TN",47065,White,Hispanic or Latino,29.0,17758.0,163.3,318.5
2018,Tennessee,47,"Hamilton County, TN",47065,White,Not Hispanic or Latino,3012.0,258792.0,1163.9,792.6
2018,Tennessee,47,"Hancock County, TN",47067,White,Not Hispanic or Latino,98.0,6336.0,1546.7,1160.6
2018,Tennessee,47,"Hardeman County, TN",47069,Black or African American,Not Hispanic or Latino,89.0,10564.0,842.5,929.5
2018,Tennessee,47,"Hardeman County, TN",47069,White,Not Hispanic or Latino,203.0,13638.0,1488.5,910.7
2018,Tennessee,47,"Hardin County, TN",47071,Black or African American,Not Hispanic or Latino,12.0,838.0,Unreliable,Unreliable
2018,Tennessee,47,"Hardin County, TN",47071,White,Not Hispanic or Latino,375.0,23599.0,1589.1,1049.0
2018,Tennessee,47,"Hawkins County, TN",47073,Black or African American,Not Hispanic or Latino,12.0,828.0,Unreliable,Unreliable
2018,Tennessee,47,"Hawkins County, TN",47073,White,Not Hispanic or Latino,706.0,53702.0,1314.7,903.5
2018,Tennessee,47,"Haywood County, TN",47075,Black or African American,Not Hispanic or Latino,116.0,8705.0,1332.6,1201.4
2018,Tennessee,47,"Haywood County, TN",47075,White,Not Hispanic or Latino,131.0,7590.0,1726.0,1022.4
2018,Tennessee,47,"Henderson County, TN",47077,Black or African American,Not Hispanic or Latino,26.0,2139.0,1215.5,1167.1
2018,Tennessee,47,"Henderson County, TN",47077,White,Not Hispanic or Latino,300.0,24377.0,1230.7,888.9
2018,Tennessee,47,"Henry County, TN",47079,Black or African American,Not Hispanic or Latino,31.0,2416.0,1283.1,1067.3
2018,Tennessee,47,"Henry County, TN",47079,White,Not Hispanic or Latino,458.0,28218.0,1623.1,1024.6
