year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Tennessee,47,"Anderson County, TN",47001,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,13.0,76482.0,Unreliable
2018,Tennessee,47,"Anderson County, TN",47001,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,16.0,76482.0,Unreliable
2018,Tennessee,47,"Anderson County, TN",47001,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,55.0,76482.0,71.9
2018,Tennessee,47,"Anderson County, TN",47001,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,16.0,76482.0,Unreliable
2018,Tennessee,47,"Anderson County, TN",47001,Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,10.0,76482.0,Unreliable
2018,Tennessee,47,"Anderson County, TN",47001,Alzheimer disease and dementia,Unspecified dementia,F03,36.0,76482.0,47.1
2018,Tennessee,47,"Anderson County, TN",47001,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,40.0,76482.0,52.3
2018,Tennessee,47,"Anderson County, TN",47001,Alzheimer disease and dementia,"Senile degeneration of brain, not elsewhere classified",G31.1,13.0,76482.0,Unreliable
2018,Tennessee,47,"Anderson County, TN",47001,Hypertensive diseases,Hypertensive heart disease with (congestive) heart failure,I11.0,21.0,76482.0,27.5
2018,Tennessee,47,"Anderson County, TN",47001,Hypertensive diseases,Hypertensive heart disease without (congestive) heart failure,I11.9,22.0,76482.0,28.8
2018,Tennessee,47,"Anderson County, TN",47001,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,25.0,76482.0,32.7
2018,Tennessee,47,"Anderson County, TN",47001,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,29.0,76482.0,37.9
2018,Tennessee,47,"Anderson County, TN",47001,Ischemic heart disease,Atherosclerotic heart disease,I25.1,42.0,76482.0,54.9
2018,Tennessee,47,"Anderson County, TN",47001,Ischemic heart disease,"Chronic ischaemic heart disease, unspecified",I25.9,19.0,76482.0,Unreliable
2018,Tennessee,47,"Anderson County, TN",47001,Other diseases of the circulatory system,Atrial fibrillation and flutter,I48,14.0,76482.0,Unreliable
2018,Tennessee,47,"Anderson County, TN",47001,Other diseases of the circulatory system,Congestive heart failure,I50.0,20.0,76482.0,26.1
2018,Tennessee,47,"Anderson County, TN",47001,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,16.0,76482.0,Unreliable
2018,Tennessee,47,"Anderson County, TN",47001,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,16.0,76482.0,Unreliable
2018,Tennessee,47,"Anderson County, TN",47001,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,58.0,76482.0,75.8
2018,Tennessee,47,"Anderson County, TN",47001,Other diseases of the respiratory system,Pneumonitis due to food and vomit,J69.0,11.0,76482.0,Unreliable
2018,Tennessee,47,"Anderson County, TN",47001,Renal failure,"Chronic kidney disease, stage 5",N18.5,10.0,76482.0,Unreliable
2018,Tennessee,47,"Bedford County, TN",47003,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,27.0,49038.0,55.1
2018,Tennessee,47,"Bedford County, TN",47003,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,25.0,49038.0,51.0
2018,Tennessee,47,"Bedford County, TN",47003,Alzheimer disease and dementia,"Senile degeneration of brain, not elsewhere classified",G31.1,14.0,49038.0,Unreliable
2018,Tennessee,47,"Bedford County, TN",47003,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,35.0,49038.0,71.4
2018,Tennessee,47,"Bedford County, TN",47003,Ischemic heart disease,Atherosclerotic heart disease,I25.1,47.0,49038.0,95.8
2018,Tennessee,47,"Bedford County, TN",47003,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,12.0,49038.0,Unreliable
2018,Tennessee,47,"Bedford County, TN",47003,Chronic lower respiratory diseases,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,12.0,49038.0,Unreliable
2018,Tennessee,47,"Bedford County, TN",47003,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,19.0,49038.0,Unreliable
2018,Tennessee,47,"Benton County, TN",47005,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,27.0,16184.0,166.8
2018,Tennessee,47,"Benton County, TN",47005,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,18.0,16184.0,Unreliable
2018,Tennessee,47,"Benton County, TN",47005,Ischemic heart disease,Atherosclerotic heart disease,I25.1,14.0,16184.0,Unreliable
