year,state,county,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Tennessee,"Anderson County, TN",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,12.0,76482.0,Unreliable
2018,Tennessee,"Blount County, TN",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,12.0,131349.0,Unreliable
2018,Tennessee,"Blount County, TN",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,19.0,131349.0,Unreliable
2018,Tennessee,"Blount County, TN",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,20.0,131349.0,15.2
2018,Tennessee,"Blount County, TN",Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,18.0,131349.0,Unreliable
2018,Tennessee,"Bradley County, TN",Nontransport accidents,Unspecified fall,W19,10.0,106727.0,Unreliable
2018,Tennessee,"Bradley County, TN",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,12.0,106727.0,Unreliable
2018,Tennessee,"Bradley County, TN",Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,13.0,106727.0,Unreliable
2018,Tennessee,"Carter County, TN",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,10.0,56351.0,Unreliable
2018,Tennessee,"Cheatham County, TN",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,14.0,40439.0,Unreliable
2018,Tennessee,"Coffee County, TN",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,14.0,55700.0,Unreliable
2018,Tennessee,"Cumberland County, TN",Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,10.0,59673.0,Unreliable
2018,Tennessee,"Davidson County, TN",Transport accidents (unintentional injuries),Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,13.0,692587.0,Unreliable
2018,Tennessee,"Davidson County, TN",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,31.0,692587.0,4.5
2018,Tennessee,"Davidson County, TN",Nontransport accidents,Other fall on same level,W18,11.0,692587.0,Unreliable
2018,Tennessee,"Davidson County, TN",Nontransport accidents,Unspecified fall,W19,87.0,692587.0,12.6
