year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,Texas,48,"Anderson County, TX",48001,Black or African American,Not Hispanic or Latino,119.0,12168.0,978.0,1161.4
2018,Texas,48,"Anderson County, TX",48001,White,Hispanic or Latino,67.0,9352.0,716.4,1429.9
2018,Texas,48,"Anderson County, TX",48001,White,Not Hispanic or Latino,500.0,34059.0,1468.0,1023.3
2018,Texas,48,"Andrews County, TX",48003,White,Hispanic or Latino,40.0,9852.0,406.0,783.9
2018,Texas,48,"Andrews County, TX",48003,White,Not Hispanic or Latino,89.0,7229.0,1231.2,978.2
2018,Texas,48,"Angelina County, TX",48005,Black or African American,Not Hispanic or Latino,146.0,12919.0,1130.1,1211.7
2018,Texas,48,"Angelina County, TX",48005,White,Hispanic or Latino,56.0,18216.0,307.4,480.1
2018,Texas,48,"Angelina County, TX",48005,White,Not Hispanic or Latino,757.0,52523.0,1441.3,932.6
2018,Texas,48,"Aransas County, TX",48007,White,Hispanic or Latino,38.0,6095.0,623.5,639.7
2018,Texas,48,"Aransas County, TX",48007,White,Not Hispanic or Latino,266.0,16063.0,1656.0,776.2
2018,Texas,48,"Archer County, TX",48009,White,Not Hispanic or Latino,76.0,7757.0,979.8,612.2
2018,Texas,48,"Armstrong County, TX",48011,White,Not Hispanic or Latino,24.0,1685.0,1424.3,777.8
2018,Texas,48,"Atascosa County, TX",48013,White,Hispanic or Latino,218.0,31398.0,694.3,803.0
2018,Texas,48,"Atascosa County, TX",48013,White,Not Hispanic or Latino,202.0,16669.0,1211.8,785.2
2018,Texas,48,"Austin County, TX",48015,Black or African American,Not Hispanic or Latino,23.0,2585.0,889.7,733.4
2018,Texas,48,"Austin County, TX",48015,White,Hispanic or Latino,19.0,7750.0,Unreliable,Unreliable
2018,Texas,48,"Austin County, TX",48015,White,Not Hispanic or Latino,234.0,18497.0,1265.1,778.5
2018,Texas,48,"Bailey County, TX",48017,White,Hispanic or Latino,20.0,4161.0,480.7,677.4
2018,Texas,48,"Bailey County, TX",48017,White,Not Hispanic or Latino,34.0,2319.0,1466.1,723.6
2018,Texas,48,"Bandera County, TX",48019,White,Hispanic or Latino,21.0,4157.0,505.2,406.8
2018,Texas,48,"Bandera County, TX",48019,White,Not Hispanic or Latino,239.0,17621.0,1356.3,773.1
2018,Texas,48,"Bastrop County, TX",48021,Black or African American,Not Hispanic or Latino,59.0,5804.0,1016.5,924.5
2018,Texas,48,"Bastrop County, TX",48021,White,Hispanic or Latino,103.0,30899.0,333.3,630.0
2018,Texas,48,"Bastrop County, TX",48021,White,Not Hispanic or Latino,552.0,45213.0,1220.9,846.9
2018,Texas,48,"Baylor County, TX",48023,White,Not Hispanic or Latino,60.0,2912.0,2060.4,1063.0
2018,Texas,48,"Bee County, TX",48025,White,Hispanic or Latino,147.0,18656.0,788.0,1012.4
2018,Texas,48,"Bee County, TX",48025,White,Not Hispanic or Latino,133.0,10075.0,1320.1,918.2
2018,Texas,48,"Bell County, TX",48027,Asian,Not Hispanic or Latino,35.0,10598.0,330.3,356.4
2018,Texas,48,"Bell County, TX",48027,Black or African American,Not Hispanic or Latino,424.0,78801.0,538.1,860.1
2018,Texas,48,"Bell County, TX",48027,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,14.0,2594.0,Unreliable,Unreliable
2018,Texas,48,"Bell County, TX",48027,White,Hispanic or Latino,249.0,74476.0,334.3,640.5
