year,state,county,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Texas,"Anderson County, TX",Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,13.0,58057.0,Unreliable
2018,Texas,"Anderson County, TX",Malignant neoplasms,Liver cell carcinoma - Malignant neoplasms,C22.0,26.0,58057.0,44.8
2018,Texas,"Anderson County, TX",Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,13.0,58057.0,Unreliable
2018,Texas,"Anderson County, TX",Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,34.0,58057.0,58.6
2018,Texas,"Anderson County, TX",Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,19.0,58057.0,Unreliable
2018,Texas,"Anderson County, TX",Alzheimer disease and dementia,"Senile degeneration of brain, not elsewhere classified",G31.1,22.0,58057.0,37.9
2018,Texas,"Anderson County, TX",Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,25.0,58057.0,43.1
2018,Texas,"Anderson County, TX",Ischemic heart disease,Atherosclerotic heart disease,I25.1,14.0,58057.0,Unreliable
2018,Texas,"Anderson County, TX",Other diseases of the circulatory system,Pulmonary embolism without mention of acute cor pulmonale,I26.9,23.0,58057.0,39.6
2018,Texas,"Anderson County, TX",Other diseases of the circulatory system,Congestive heart failure,I50.0,13.0,58057.0,Unreliable
2018,Texas,"Anderson County, TX",Other diseases of the circulatory system,"Heart failure, unspecified",I50.9,21.0,58057.0,36.2
2018,Texas,"Anderson County, TX",Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,36.0,58057.0,62.0
2018,Texas,"Andrews County, TX",Ischemic heart disease,Atherosclerotic heart disease,I25.1,12.0,18128.0,Unreliable
2018,Texas,"Andrews County, TX",Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,15.0,18128.0,Unreliable
2018,Texas,"Angelina County, TX",Sepsis,"Septicaemia, unspecified",A41.9,15.0,87092.0,Unreliable
2018,Texas,"Angelina County, TX",Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,11.0,87092.0,Unreliable
2018,Texas,"Angelina County, TX",Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,40.0,87092.0,45.9
2018,Texas,"Angelina County, TX",Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,20.0,87092.0,23.0
2018,Texas,"Angelina County, TX",Alzheimer disease and dementia,Unspecified dementia,F03,21.0,87092.0,24.1
2018,Texas,"Angelina County, TX",Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,68.0,87092.0,78.1
2018,Texas,"Angelina County, TX",Alzheimer disease and dementia,"Senile degeneration of brain, not elsewhere classified",G31.1,11.0,87092.0,Unreliable
2018,Texas,"Angelina County, TX",Hypertensive diseases,Essential (primary) hypertension,I10,10.0,87092.0,Unreliable
2018,Texas,"Angelina County, TX",Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,62.0,87092.0,71.2
2018,Texas,"Angelina County, TX",Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,10.0,87092.0,Unreliable
2018,Texas,"Angelina County, TX",Ischemic heart disease,Atherosclerotic heart disease,I25.1,62.0,87092.0,71.2
2018,Texas,"Angelina County, TX",Other diseases of the circulatory system,Pulmonary embolism without mention of acute cor pulmonale,I26.9,11.0,87092.0,Unreliable
2018,Texas,"Angelina County, TX",Other diseases of the circulatory system,Congestive heart failure,I50.0,19.0,87092.0,Unreliable
2018,Texas,"Angelina County, TX",Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,18.0,87092.0,Unreliable
2018,Texas,"Angelina County, TX",Cerebrovascular diseases,Other specified cerebrovascular diseases,I67.8,55.0,87092.0,63.2
2018,Texas,"Angelina County, TX",Influenza and pneumonia,"Pneumonia, unspecified",J18.9,10.0,87092.0,Unreliable
2018,Texas,"Angelina County, TX",Chronic lower respiratory diseases,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,12.0,87092.0,Unreliable
2018,Texas,"Angelina County, TX",Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,42.0,87092.0,48.2
2018,Texas,"Aransas County, TX",Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,21.0,23792.0,88.3
2018,Texas,"Aransas County, TX",Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,13.0,23792.0,Unreliable
2018,Texas,"Aransas County, TX",Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,28.0,23792.0,117.7
2018,Texas,"Aransas County, TX",Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,13.0,23792.0,Unreliable
2018,Texas,"Atascosa County, TX",Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,17.0,50310.0,Unreliable
2018,Texas,"Atascosa County, TX",Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,19.0,50310.0,Unreliable
2018,Texas,"Atascosa County, TX",Alzheimer disease and dementia,"Senile degeneration of brain, not elsewhere classified",G31.1,11.0,50310.0,Unreliable
2018,Texas,"Atascosa County, TX",Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,27.0,50310.0,53.7
