year,state,county,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Texas,"Bastrop County, TX",Transport accidents (unintentional injuries),Person injured in collision between other specified motor vehicles (traffic),V87.7,10.0,86976.0,Unreliable
2018,Texas,"Bastrop County, TX",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,10.0,86976.0,Unreliable
2018,Texas,"Bell County, TX",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,11.0,355642.0,Unreliable
2018,Texas,"Bell County, TX",Nontransport accidents,Unspecified fall,W19,20.0,355642.0,5.6
2018,Texas,"Bell County, TX",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,12.0,355642.0,Unreliable
2018,Texas,"Bell County, TX",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,20.0,355642.0,5.6
2018,Texas,"Bell County, TX",Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,14.0,355642.0,Unreliable
2018,Texas,"Bell County, TX",Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,36.0,355642.0,10.1
2018,Texas,"Bell County, TX",Assault (homicide),Assault by other and unspecified firearm discharge,X95,19.0,355642.0,Unreliable
2018,Texas,"Bexar County, TX",Transport accidents (unintentional injuries),Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,59.0,1986049.0,3.0
2018,Texas,"Bexar County, TX",Transport accidents (unintentional injuries),Motorcycle rider [any] injured in unspecified traffic accident,V29.9,11.0,1986049.0,Unreliable
2018,Texas,"Bexar County, TX",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,107.0,1986049.0,5.4
2018,Texas,"Bexar County, TX",Nontransport accidents,Other fall on same level,W18,11.0,1986049.0,Unreliable
2018,Texas,"Bexar County, TX",Nontransport accidents,Unspecified fall,W19,238.0,1986049.0,12.0
2018,Texas,"Bexar County, TX",Nontransport accidents,Unspecified drowning and submersion,W74,10.0,1986049.0,Unreliable
2018,Texas,"Bexar County, TX",Nontransport accidents,Inhalation and ingestion of other objects causing obstruction of respiratory tract,W80,12.0,1986049.0,Unreliable
2018,Texas,"Bexar County, TX",Accidental drug overdose,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,59.0,1986049.0,3.0
2018,Texas,"Bexar County, TX",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,102.0,1986049.0,5.1
2018,Texas,"Bexar County, TX",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,46.0,1986049.0,2.3
2018,Texas,"Bexar County, TX",Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,83.0,1986049.0,4.2
2018,Texas,"Bexar County, TX",Intentional self-harm (suicide),"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,18.0,1986049.0,Unreliable
2018,Texas,"Bexar County, TX",Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,131.0,1986049.0,6.6
2018,Texas,"Bexar County, TX",Assault (homicide),Assault by other and unspecified firearm discharge,X95,107.0,1986049.0,5.4
2018,Texas,"Bexar County, TX",Assault (homicide),Assault by sharp object,X99,17.0,1986049.0,Unreliable
2018,Texas,"Bexar County, TX",Assault (homicide),Assault by unspecified means,Y09,16.0,1986049.0,Unreliable
2018,Texas,"Brazoria County, TX",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,11.0,370200.0,Unreliable
2018,Texas,"Brazoria County, TX",Nontransport accidents,Unspecified fall,W19,22.0,370200.0,5.9
2018,Texas,"Brazoria County, TX",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,14.0,370200.0,Unreliable
2018,Texas,"Brazoria County, TX",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,14.0,370200.0,Unreliable
2018,Texas,"Brazoria County, TX",Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,16.0,370200.0,Unreliable
2018,Texas,"Brazoria County, TX",Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,20.0,370200.0,5.4
2018,Texas,"Cameron County, TX",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,14.0,423908.0,Unreliable
2018,Texas,"Cameron County, TX",Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,18.0,423908.0,Unreliable
2018,Texas,"Cameron County, TX",Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,12.0,423908.0,Unreliable
2018,Texas,"Cherokee County, TX",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,11.0,52592.0,Unreliable
2018,Texas,"Collin County, TX",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,33.0,1005146.0,3.3
2018,Texas,"Collin County, TX",Nontransport accidents,Unspecified fall,W19,65.0,1005146.0,6.5
2018,Texas,"Collin County, TX",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,23.0,1005146.0,2.3
2018,Texas,"Collin County, TX",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,25.0,1005146.0,2.5
2018,Texas,"Collin County, TX",Intentional self-harm (suicide),"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,10.0,1005146.0,Unreliable
2018,Texas,"Collin County, TX",Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,31.0,1005146.0,3.1
2018,Texas,"Collin County, TX",Intentional self-harm (suicide),Intentional self-harm by handgun discharge,X72,27.0,1005146.0,2.7
2018,Texas,"Collin County, TX",Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,26.0,1005146.0,2.6
2018,Texas,"Collin County, TX",Assault (homicide),Assault by other and unspecified firearm discharge,X95,10.0,1005146.0,Unreliable
2018,Texas,"Comal County, TX",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,13.0,148373.0,Unreliable
2018,Texas,"Comal County, TX",Nontransport accidents,Unspecified fall,W19,14.0,148373.0,Unreliable
2018,Texas,"Dallas County, TX",Transport accidents (unintentional injuries),Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,62.0,2637772.0,2.4
2018,Texas,"Dallas County, TX",Transport accidents (unintentional injuries),Person injured in collision between other specified motor vehicles (traffic),V87.7,79.0,2637772.0,3.0
2018,Texas,"Dallas County, TX",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,110.0,2637772.0,4.2
2018,Texas,"Dallas County, TX",Nontransport accidents,Other fall on same level,W18,132.0,2637772.0,5.0
2018,Texas,"Dallas County, TX",Nontransport accidents,Unspecified fall,W19,48.0,2637772.0,1.8
2018,Texas,"Dallas County, TX",Nontransport accidents,Drowning and submersion while in natural water,W69,16.0,2637772.0,Unreliable
2018,Texas,"Dallas County, TX",Nontransport accidents,Unspecified drowning and submersion,W74,12.0,2637772.0,Unreliable
2018,Texas,"Dallas County, TX",Nontransport accidents,Inhalation and ingestion of other objects causing obstruction of respiratory tract,W80,24.0,2637772.0,0.9
2018,Texas,"Dallas County, TX",Nontransport accidents,Exposure to uncontrolled fire in building or structure,X00,14.0,2637772.0,Unreliable
2018,Texas,"Dallas County, TX",Accidental drug overdose,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,52.0,2637772.0,2.0
2018,Texas,"Dallas County, TX",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,135.0,2637772.0,5.1
2018,Texas,"Dallas County, TX",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,112.0,2637772.0,4.2
2018,Texas,"Dallas County, TX",Nontransport accidents,Accidental poisoning by and exposure to alcohol,X45,12.0,2637772.0,Unreliable
2018,Texas,"Dallas County, TX",Nontransport accidents,Exposure to unspecified factor causing other and unspecified injury,X59.9,21.0,2637772.0,0.8
2018,Texas,"Dallas County, TX",Intentional self-harm (suicide),"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,19.0,2637772.0,Unreliable
2018,Texas,"Dallas County, TX",Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,84.0,2637772.0,3.2
2018,Texas,"Dallas County, TX",Intentional self-harm (suicide),"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,15.0,2637772.0,Unreliable
2018,Texas,"Dallas County, TX",Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,146.0,2637772.0,5.5
2018,Texas,"Dallas County, TX",Assault (homicide),Assault by other and unspecified firearm discharge,X95,168.0,2637772.0,6.4
2018,Texas,"Dallas County, TX",Assault (homicide),Assault by sharp object,X99,13.0,2637772.0,Unreliable
2018,Texas,"Dallas County, TX",Assault (homicide),Assault by unspecified means,Y09,15.0,2637772.0,Unreliable
2018,Texas,"Dallas County, TX",Sequelae of other accidents,Sequelae of other accidents,Y86,11.0,2637772.0,Unreliable
2018,Texas,"Denton County, TX",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,29.0,859064.0,3.4
2018,Texas,"Denton County, TX",Nontransport accidents,Other fall on same level,W18,14.0,859064.0,Unreliable
2018,Texas,"Denton County, TX",Nontransport accidents,Unspecified fall,W19,28.0,859064.0,3.3
2018,Texas,"Denton County, TX",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,20.0,859064.0,2.3
2018,Texas,"Denton County, TX",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,15.0,859064.0,Unreliable
2018,Texas,"Denton County, TX",Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,21.0,859064.0,2.4
2018,Texas,"Denton County, TX",Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,41.0,859064.0,4.8
2018,Texas,"Denton County, TX",Assault (homicide),Assault by other and unspecified firearm discharge,X95,11.0,859064.0,Unreliable
2018,Texas,"Ector County, TX",Transport accidents (unintentional injuries),Person injured in collision between other specified motor vehicles (traffic),V87.7,13.0,162124.0,Unreliable
2018,Texas,"Ector County, TX",Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,10.0,162124.0,Unreliable
2018,Texas,"Ector County, TX",Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,12.0,162124.0,Unreliable
2018,Texas,"Ellis County, TX",Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,10.0,179436.0,Unreliable
2018,Texas,"Ellis County, TX",Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,14.0,179436.0,Unreliable
2018,Texas,"El Paso County, TX",Transport accidents (unintentional injuries),Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,29.0,840758.0,3.4
2018,Texas,"El Paso County, TX",Transport accidents (unintentional injuries),Person injured in collision between other specified motor vehicles (traffic),V87.7,15.0,840758.0,Unreliable
2018,Texas,"El Paso County, TX",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,35.0,840758.0,4.2
2018,Texas,"El Paso County, TX",Nontransport accidents,Other fall on same level,W18,39.0,840758.0,4.6
2018,Texas,"El Paso County, TX",Nontransport accidents,Unspecified fall,W19,23.0,840758.0,2.7
2018,Texas,"El Paso County, TX",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,35.0,840758.0,4.2
2018,Texas,"El Paso County, TX",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,29.0,840758.0,3.4
