year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,Utah,49,"Beaver County, UT",49001,White,Not Hispanic or Latino,66.0,5560.0,1187.1,1159.2
2018,Utah,49,"Box Elder County, UT",49003,White,Hispanic or Latino,19.0,4603.0,Unreliable,Unreliable
2018,Utah,49,"Box Elder County, UT",49003,White,Not Hispanic or Latino,368.0,47782.0,770.2,748.8
2018,Utah,49,"Cache County, UT",49005,White,Hispanic or Latino,17.0,11952.0,Unreliable,Unreliable
2018,Utah,49,"Cache County, UT",49005,White,Not Hispanic or Latino,573.0,105895.0,541.1,662.8
2018,Utah,49,"Carbon County, UT",49007,White,Hispanic or Latino,16.0,2406.0,Unreliable,Unreliable
2018,Utah,49,"Carbon County, UT",49007,White,Not Hispanic or Latino,194.0,16832.0,1152.6,920.8
2018,Utah,49,"Davis County, UT",49011,Asian,Not Hispanic or Latino,27.0,6888.0,392.0,460.5
2018,Utah,49,"Davis County, UT",49011,Black or African American,Not Hispanic or Latino,19.0,4244.0,Unreliable,Unreliable
2018,Utah,49,"Davis County, UT",49011,White,Hispanic or Latino,67.0,30647.0,218.6,443.8
2018,Utah,49,"Davis County, UT",49011,White,Not Hispanic or Latino,1729.0,293713.0,588.7,705.0
2018,Utah,49,"Davis County, UT",49011,More than one race,Not Hispanic or Latino,14.0,7876.0,Unreliable,Unreliable
2018,Utah,49,"Duchesne County, UT",49013,American Indian or Alaska Native,Not Hispanic or Latino,10.0,687.0,Unreliable,Unreliable
2018,Utah,49,"Duchesne County, UT",49013,White,Not Hispanic or Latino,129.0,16962.0,760.5,784.4
2018,Utah,49,"Emery County, UT",49015,White,Not Hispanic or Latino,99.0,9097.0,1088.3,875.5
2018,Utah,49,"Garfield County, UT",49017,White,Not Hispanic or Latino,64.0,4476.0,1429.8,964.7
2018,Utah,49,"Grand County, UT",49019,White,Not Hispanic or Latino,88.0,7984.0,1102.2,826.6
2018,Utah,49,"Iron County, UT",49021,White,Hispanic or Latino,13.0,3963.0,Unreliable,Unreliable
