year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Vermont,50,"Addison County, VT",50001,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,24.0,36973.0,64.9
2018,Vermont,50,"Addison County, VT",50001,Alzheimer disease and dementia,Unspecified dementia,F03,16.0,36973.0,Unreliable
2018,Vermont,50,"Addison County, VT",50001,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,21.0,36973.0,56.8
2018,Vermont,50,"Addison County, VT",50001,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,18.0,36973.0,Unreliable
2018,Vermont,50,"Addison County, VT",50001,Ischemic heart disease,Atherosclerotic heart disease,I25.1,23.0,36973.0,62.2
2018,Vermont,50,"Addison County, VT",50001,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,14.0,36973.0,Unreliable
2018,Vermont,50,"Bennington County, VT",50003,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,16.0,35631.0,Unreliable
2018,Vermont,50,"Bennington County, VT",50003,Alzheimer disease and dementia,Unspecified dementia,F03,35.0,35631.0,98.2
2018,Vermont,50,"Bennington County, VT",50003,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,20.0,35631.0,56.1
2018,Vermont,50,"Bennington County, VT",50003,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,31.0,35631.0,87.0
2018,Vermont,50,"Bennington County, VT",50003,Ischemic heart disease,Atherosclerotic heart disease,I25.1,24.0,35631.0,67.4
2018,Vermont,50,"Bennington County, VT",50003,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,25.0,35631.0,70.2
2018,Vermont,50,"Caledonia County, VT",50005,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,12.0,30302.0,Unreliable
2018,Vermont,50,"Caledonia County, VT",50005,Alzheimer disease and dementia,Unspecified dementia,F03,11.0,30302.0,Unreliable
2018,Vermont,50,"Caledonia County, VT",50005,Hypertensive diseases,Hypertensive heart disease without (congestive) heart failure,I11.9,10.0,30302.0,Unreliable
2018,Vermont,50,"Caledonia County, VT",50005,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,21.0,30302.0,69.3
2018,Vermont,50,"Caledonia County, VT",50005,Ischemic heart disease,Atherosclerotic heart disease,I25.1,10.0,30302.0,Unreliable
2018,Vermont,50,"Caledonia County, VT",50005,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,12.0,30302.0,Unreliable
2018,Vermont,50,"Chittenden County, VT",50007,Malignant neoplasms,"Oesophagus, unspecified - Malignant neoplasms",C15.9,14.0,164572.0,Unreliable
2018,Vermont,50,"Chittenden County, VT",50007,Malignant neoplasms,Liver cell carcinoma - Malignant neoplasms,C22.0,10.0,164572.0,Unreliable
2018,Vermont,50,"Chittenden County, VT",50007,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,36.0,164572.0,21.9
2018,Vermont,50,"Chittenden County, VT",50007,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,49.0,164572.0,29.8
2018,Vermont,50,"Chittenden County, VT",50007,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,16.0,164572.0,Unreliable
2018,Vermont,50,"Chittenden County, VT",50007,Malignant neoplasms,Endometrium - Malignant neoplasms,C54.1,10.0,164572.0,Unreliable
2018,Vermont,50,"Chittenden County, VT",50007,Malignant neoplasms,Malignant neoplasm of prostate,C61,21.0,164572.0,12.8
2018,Vermont,50,"Chittenden County, VT",50007,Malignant neoplasms,Malignant neoplasm without specification of site,C80,23.0,164572.0,14.0
2018,Vermont,50,"Chittenden County, VT",50007,Alzheimer disease and dementia,Unspecified dementia,F03,32.0,164572.0,19.4
2018,Vermont,50,"Chittenden County, VT",50007,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,89.0,164572.0,54.1
2018,Vermont,50,"Chittenden County, VT",50007,Hypertensive diseases,Hypertensive heart disease with (congestive) heart failure,I11.0,15.0,164572.0,Unreliable
2018,Vermont,50,"Chittenden County, VT",50007,Hypertensive diseases,Hypertensive heart disease without (congestive) heart failure,I11.9,17.0,164572.0,Unreliable
2018,Vermont,50,"Chittenden County, VT",50007,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,21.0,164572.0,12.8
2018,Vermont,50,"Chittenden County, VT",50007,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,46.0,164572.0,28.0
2018,Vermont,50,"Chittenden County, VT",50007,Ischemic heart disease,Atherosclerotic heart disease,I25.1,51.0,164572.0,31.0
2018,Vermont,50,"Chittenden County, VT",50007,Other diseases of the circulatory system,Atrial fibrillation and flutter,I48,18.0,164572.0,Unreliable
2018,Vermont,50,"Chittenden County, VT",50007,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,16.0,164572.0,Unreliable
2018,Vermont,50,"Chittenden County, VT",50007,Cerebrovascular diseases,Cerebral atherosclerosis,I67.2,10.0,164572.0,Unreliable
2018,Vermont,50,"Chittenden County, VT",50007,Chronic lower respiratory diseases,"Emphysema, unspecified",J43.9,10.0,164572.0,Unreliable
2018,Vermont,50,"Chittenden County, VT",50007,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,21.0,164572.0,12.8
2018,Vermont,50,"Franklin County, VT",50011,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,25.0,49421.0,50.6
2018,Vermont,50,"Franklin County, VT",50011,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,17.0,49421.0,Unreliable
2018,Vermont,50,"Franklin County, VT",50011,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,15.0,49421.0,Unreliable
2018,Vermont,50,"Franklin County, VT",50011,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,32.0,49421.0,64.7
2018,Vermont,50,"Franklin County, VT",50011,Ischemic heart disease,Atherosclerotic heart disease,I25.1,23.0,49421.0,46.5
