year,state,county,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Vermont,"Bennington County, VT",Nontransport accidents,Other fall on same level,W18,11.0,35631.0,Unreliable
2018,Vermont,"Bennington County, VT",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,11.0,35631.0,Unreliable
2018,Vermont,"Chittenden County, VT",Nontransport accidents,Other fall on same level,W18,34.0,164572.0,20.7
2018,Vermont,"Chittenden County, VT",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,12.0,164572.0,Unreliable
2018,Vermont,"Chittenden County, VT",Intentional self-harm (suicide),Intentional self-harm by handgun discharge,X72,10.0,164572.0,Unreliable
2018,Vermont,"Franklin County, VT",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,11.0,49421.0,Unreliable
2018,Vermont,"Rutland County, VT",Nontransport accidents,Other fall on same level,W18,16.0,58672.0,Unreliable
2018,Vermont,"Rutland County, VT",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,17.0,58672.0,Unreliable
2018,Vermont,"Washington County, VT",Nontransport accidents,Other fall on same level,W18,10.0,58140.0,Unreliable
2018,Vermont,"Washington County, VT",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,10.0,58140.0,Unreliable
2018,Vermont,"Windham County, VT",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,19.0,42756.0,Unreliable
2018,Vermont,"Windsor County, VT",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,12.0,55286.0,Unreliable
