year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,Virginia,51,"Accomack County, VA",51001,Black or African American,Not Hispanic or Latino,115.0,9066.0,1268.5,1053.4
2018,Virginia,51,"Accomack County, VA",51001,White,Not Hispanic or Latino,356.0,19438.0,1831.5,925.9
2018,Virginia,51,"Albemarle County, VA",51003,Black or African American,Not Hispanic or Latino,93.0,10253.0,907.1,870.0
2018,Virginia,51,"Albemarle County, VA",51003,White,Hispanic or Latino,14.0,5486.0,Unreliable,Unreliable
2018,Virginia,51,"Albemarle County, VA",51003,White,Not Hispanic or Latino,761.0,83280.0,913.8,556.2
2018,Virginia,51,"Alleghany County, VA",51005,Black or African American,Not Hispanic or Latino,10.0,686.0,Unreliable,Unreliable
2018,Virginia,51,"Alleghany County, VA",51005,White,Not Hispanic or Latino,213.0,13640.0,1561.6,896.3
2018,Virginia,51,"Amelia County, VA",51007,Black or African American,Not Hispanic or Latino,32.0,2653.0,1206.2,753.8
2018,Virginia,51,"Amelia County, VA",51007,White,Not Hispanic or Latino,117.0,9652.0,1212.2,889.2
2018,Virginia,51,"Amherst County, VA",51009,Black or African American,Not Hispanic or Latino,66.0,5977.0,1104.2,767.8
2018,Virginia,51,"Amherst County, VA",51009,White,Not Hispanic or Latino,295.0,23716.0,1243.9,789.7
2018,Virginia,51,"Appomattox County, VA",51011,Black or African American,Not Hispanic or Latino,52.0,2987.0,1740.9,1363.7
2018,Virginia,51,"Appomattox County, VA",51011,White,Not Hispanic or Latino,150.0,12167.0,1232.8,831.8
2018,Virginia,51,"Arlington County, VA",51013,Asian,Not Hispanic or Latino,60.0,25796.0,232.6,313.9
2018,Virginia,51,"Arlington County, VA",51013,Black or African American,Not Hispanic or Latino,107.0,21468.0,498.4,588.1
2018,Virginia,51,"Arlington County, VA",51013,White,Hispanic or Latino,71.0,32997.0,215.2,343.0
2018,Virginia,51,"Arlington County, VA",51013,White,Not Hispanic or Latino,616.0,145399.0,423.7,458.3
2018,Virginia,51,"Augusta County, VA",51015,Black or African American,Not Hispanic or Latino,11.0,3304.0,Unreliable,Unreliable
2018,Virginia,51,"Augusta County, VA",51015,White,Not Hispanic or Latino,691.0,68347.0,1011.0,649.3
2018,Virginia,51,"Bath County, VA",51017,White,Not Hispanic or Latino,72.0,3909.0,1841.9,979.7
2018,Virginia,51,"Bedford County, VA",51019,Black or African American,Not Hispanic or Latino,62.0,5506.0,1126.0,812.8
2018,Virginia,51,"Bedford County, VA",51019,White,Not Hispanic or Latino,766.0,69077.0,1108.9,739.9
2018,Virginia,51,"Bland County, VA",51021,White,Not Hispanic or Latino,76.0,5894.0,1289.4,840.7
2018,Virginia,51,"Botetourt County, VA",51023,Black or African American,Not Hispanic or Latino,13.0,1042.0,Unreliable,Unreliable
2018,Virginia,51,"Botetourt County, VA",51023,White,Not Hispanic or Latino,346.0,30832.0,1122.2,717.9
2018,Virginia,51,"Brunswick County, VA",51025,Black or African American,Not Hispanic or Latino,114.0,8946.0,1274.3,978.9
2018,Virginia,51,"Brunswick County, VA",51025,White,Not Hispanic or Latino,88.0,6655.0,1322.3,740.8
2018,Virginia,51,"Buchanan County, VA",51027,White,Not Hispanic or Latino,310.0,20163.0,1537.5,1047.0
2018,Virginia,51,"Buckingham County, VA",51029,Black or African American,Not Hispanic or Latino,55.0,5716.0,962.2,788.3
2018,Virginia,51,"Buckingham County, VA",51029,White,Not Hispanic or Latino,93.0,10400.0,894.2,575.4
2018,Virginia,51,"Campbell County, VA",51031,Black or African American,Not Hispanic or Latino,90.0,7924.0,1135.8,879.9
