year,state,county,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Virginia,"Albemarle County, VA",Nontransport accidents,Other fall on same level,W18,19.0,108718.0,Unreliable
2018,Virginia,"Bedford County, VA",Nontransport accidents,Other fall on same level,W18,10.0,78747.0,Unreliable
2018,Virginia,"Chesterfield County, VA",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,12.0,348556.0,Unreliable
2018,Virginia,"Chesterfield County, VA",Nontransport accidents,Other fall on same level,W18,20.0,348556.0,5.7
2018,Virginia,"Chesterfield County, VA",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,70.0,348556.0,20.1
2018,Virginia,"Chesterfield County, VA",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,17.0,348556.0,Unreliable
2018,Virginia,"Chesterfield County, VA",Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,11.0,348556.0,Unreliable
2018,Virginia,"Chesterfield County, VA",Intentional self-harm (suicide),Intentional self-harm by handgun discharge,X72,13.0,348556.0,Unreliable
2018,Virginia,"Chesterfield County, VA",Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,11.0,348556.0,Unreliable
2018,Virginia,"Fairfax County, VA",Transport accidents (unintentional injuries),Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,16.0,1150795.0,Unreliable
2018,Virginia,"Fairfax County, VA",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,21.0,1150795.0,1.8
2018,Virginia,"Fairfax County, VA",Nontransport accidents,Fall on and from stairs and steps,W10,16.0,1150795.0,Unreliable
2018,Virginia,"Fairfax County, VA",Nontransport accidents,Other fall on same level,W18,33.0,1150795.0,2.9
2018,Virginia,"Fairfax County, VA",Nontransport accidents,Unspecified fall,W19,33.0,1150795.0,2.9
2018,Virginia,"Fairfax County, VA",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,43.0,1150795.0,3.7
2018,Virginia,"Fairfax County, VA",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,39.0,1150795.0,3.4
2018,Virginia,"Fairfax County, VA",Nontransport accidents,Exposure to unspecified factor causing other and unspecified injury,X59.9,11.0,1150795.0,Unreliable
2018,Virginia,"Fairfax County, VA",Intentional self-harm (suicide),"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,10.0,1150795.0,Unreliable
2018,Virginia,"Fairfax County, VA",Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,42.0,1150795.0,3.6
2018,Virginia,"Fairfax County, VA",Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,30.0,1150795.0,2.6
2018,Virginia,"Fauquier County, VA",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,11.0,70675.0,Unreliable
2018,Virginia,"Fauquier County, VA",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,11.0,70675.0,Unreliable
2018,Virginia,"Franklin County, VA",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,10.0,56195.0,Unreliable
2018,Virginia,"Frederick County, VA",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,11.0,88355.0,Unreliable
2018,Virginia,"Hanover County, VA",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,17.0,107239.0,Unreliable
2018,Virginia,"Henrico County, VA",Nontransport accidents,Other fall on same level,W18,31.0,329261.0,9.4
2018,Virginia,"Henrico County, VA",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,49.0,329261.0,14.9
2018,Virginia,"Henrico County, VA",Assault (homicide),Assault by other and unspecified firearm discharge,X95,15.0,329261.0,Unreliable
2018,Virginia,"Loudoun County, VA",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,11.0,406850.0,Unreliable
2018,Virginia,"Loudoun County, VA",Nontransport accidents,Other fall on same level,W18,12.0,406850.0,Unreliable
