year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,Washington,53,"Adams County, WA",53001,White,Hispanic or Latino,23.0,11029.0,208.5,472.4
2018,Washington,53,"Adams County, WA",53001,White,Not Hispanic or Latino,74.0,6534.0,1132.5,683.0
2018,Washington,53,"Asotin County, WA",53003,White,Not Hispanic or Latino,261.0,20332.0,1283.7,754.8
2018,Washington,53,"Benton County, WA",53005,Asian,Not Hispanic or Latino,17.0,6171.0,Unreliable,Unreliable
2018,Washington,53,"Benton County, WA",53005,Black or African American,Not Hispanic or Latino,11.0,2967.0,Unreliable,Unreliable
2018,Washington,53,"Benton County, WA",53005,White,Hispanic or Latino,84.0,40990.0,204.9,498.6
2018,Washington,53,"Benton County, WA",53005,White,Not Hispanic or Latino,1326.0,140871.0,941.3,695.3
2018,Washington,53,"Benton County, WA",53005,More than one race,Not Hispanic or Latino,10.0,5224.0,Unreliable,Unreliable
2018,Washington,53,"Chelan County, WA",53007,White,Hispanic or Latino,28.0,19763.0,141.7,365.1
2018,Washington,53,"Chelan County, WA",53007,White,Not Hispanic or Latino,660.0,52011.0,1269.0,703.8
2018,Washington,53,"Clallam County, WA",53009,American Indian or Alaska Native,Not Hispanic or Latino,42.0,3518.0,1193.9,1503.5
2018,Washington,53,"Clallam County, WA",53009,Asian,Not Hispanic or Latino,12.0,1402.0,Unreliable,Unreliable
2018,Washington,53,"Clallam County, WA",53009,White,Hispanic or Latino,10.0,3554.0,Unreliable,Unreliable
2018,Washington,53,"Clallam County, WA",53009,White,Not Hispanic or Latino,978.0,63326.0,1544.4,716.5
2018,Washington,53,"Clallam County, WA",53009,More than one race,Not Hispanic or Latino,14.0,2702.0,Unreliable,Unreliable
2018,Washington,53,"Clark County, WA",53011,American Indian or Alaska Native,Not Hispanic or Latino,21.0,3569.0,588.4,741.6
2018,Washington,53,"Clark County, WA",53011,Asian,Not Hispanic or Latino,95.0,22880.0,415.2,426.8
2018,Washington,53,"Clark County, WA",53011,Black or African American,Not Hispanic or Latino,56.0,9988.0,560.7,789.2
2018,Washington,53,"Clark County, WA",53011,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,27.0,3983.0,677.9,927.3
2018,Washington,53,"Clark County, WA",53011,White,Hispanic or Latino,80.0,40661.0,196.7,528.4
2018,Washington,53,"Clark County, WA",53011,White,Not Hispanic or Latino,3320.0,375836.0,883.4,718.4
2018,Washington,53,"Clark County, WA",53011,More than one race,Not Hispanic or Latino,28.0,17616.0,158.9,499.5
2018,Washington,53,"Columbia County, WA",53013,White,Not Hispanic or Latino,46.0,3439.0,1337.6,650.7
2018,Washington,53,"Cowlitz County, WA",53015,Asian,Not Hispanic or Latino,10.0,1689.0,Unreliable,Unreliable
2018,Washington,53,"Cowlitz County, WA",53015,White,Hispanic or Latino,17.0,8382.0,Unreliable,Unreliable
2018,Washington,53,"Cowlitz County, WA",53015,White,Not Hispanic or Latino,1081.0,90887.0,1189.4,814.8
2018,Washington,53,"Cowlitz County, WA",53015,More than one race,Not Hispanic or Latino,13.0,3494.0,Unreliable,Unreliable
2018,Washington,53,"Douglas County, WA",53017,White,Hispanic or Latino,16.0,12511.0,Unreliable,Unreliable
2018,Washington,53,"Douglas County, WA",53017,White,Not Hispanic or Latino,285.0,27393.0,1040.4,594.0
