year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Washington,53,"Adams County, WA",53001,Ischemic heart disease,Atherosclerotic heart disease,I25.1,10.0,19759.0,Unreliable
2018,Washington,53,"Asotin County, WA",53003,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,11.0,22610.0,Unreliable
2018,Washington,53,"Asotin County, WA",53003,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,13.0,22610.0,Unreliable
2018,Washington,53,"Asotin County, WA",53003,Ischemic heart disease,Atherosclerotic heart disease,I25.1,12.0,22610.0,Unreliable
2018,Washington,53,"Asotin County, WA",53003,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,11.0,22610.0,Unreliable
2018,Washington,53,"Asotin County, WA",53003,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,16.0,22610.0,Unreliable
2018,Washington,53,"Benton County, WA",53005,Sepsis,"Septicaemia, unspecified",A41.9,17.0,201877.0,Unreliable
2018,Washington,53,"Benton County, WA",53005,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,15.0,201877.0,Unreliable
2018,Washington,53,"Benton County, WA",53005,Malignant neoplasms,Liver cell carcinoma - Malignant neoplasms,C22.0,10.0,201877.0,Unreliable
2018,Washington,53,"Benton County, WA",53005,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,19.0,201877.0,Unreliable
2018,Washington,53,"Benton County, WA",53005,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,63.0,201877.0,31.2
2018,Washington,53,"Benton County, WA",53005,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,36.0,201877.0,17.8
2018,Washington,53,"Benton County, WA",53005,Malignant neoplasms,Malignant neoplasm of prostate,C61,16.0,201877.0,Unreliable
2018,Washington,53,"Benton County, WA",53005,Malignant neoplasms,Malignant neoplasm without specification of site,C80,16.0,201877.0,Unreliable
2018,Washington,53,"Benton County, WA",53005,Diabetes,"Unspecified diabetes mellitus, with renal complications",E14.2,11.0,201877.0,Unreliable
