year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,West Virginia,54,"Barbour County, WV",54001,White,Not Hispanic or Latino,197.0,15827.0,1244.7,898.3
2018,West Virginia,54,"Berkeley County, WV",54003,Black or African American,Not Hispanic or Latino,77.0,8673.0,887.8,1170.8
2018,West Virginia,54,"Berkeley County, WV",54003,White,Not Hispanic or Latino,1007.0,98325.0,1024.2,918.9
2018,West Virginia,54,"Boone County, WV",54005,White,Not Hispanic or Latino,324.0,21435.0,1511.5,1177.3
2018,West Virginia,54,"Braxton County, WV",54007,White,Not Hispanic or Latino,193.0,13642.0,1414.7,937.9
2018,West Virginia,54,"Brooke County, WV",54009,White,Not Hispanic or Latino,307.0,21243.0,1445.2,838.4
2018,West Virginia,54,"Cabell County, WV",54011,Black or African American,Not Hispanic or Latino,53.0,4473.0,1184.9,1207.7
2018,West Virginia,54,"Cabell County, WV",54011,White,Not Hispanic or Latino,1275.0,83984.0,1518.1,1153.7
2018,West Virginia,54,"Calhoun County, WV",54013,White,Not Hispanic or Latino,109.0,7029.0,1550.7,905.6
2018,West Virginia,54,"Clay County, WV",54015,White,Not Hispanic or Latino,136.0,8408.0,1617.5,1175.3
2018,West Virginia,54,"Doddridge County, WV",54017,White,Not Hispanic or Latino,80.0,7990.0,1001.3,681.5
2018,West Virginia,54,"Fayette County, WV",54019,Black or African American,Not Hispanic or Latino,38.0,1889.0,2011.6,1417.1
2018,West Virginia,54,"Fayette County, WV",54019,White,Not Hispanic or Latino,580.0,39757.0,1458.9,1012.1
2018,West Virginia,54,"Gilmer County, WV",54021,White,Not Hispanic or Latino,94.0,6505.0,1445.0,985.8
2018,West Virginia,54,"Grant County, WV",54023,White,Not Hispanic or Latino,144.0,11221.0,1283.3,805.9
2018,West Virginia,54,"Greenbrier County, WV",54025,Black or African American,Not Hispanic or Latino,15.0,958.0,Unreliable,Unreliable
2018,West Virginia,54,"Greenbrier County, WV",54025,White,Not Hispanic or Latino,481.0,32157.0,1495.8,935.4
2018,West Virginia,54,"Hampshire County, WV",54027,White,Not Hispanic or Latino,252.0,22324.0,1128.8,799.0
2018,West Virginia,54,"Hancock County, WV",54029,White,Not Hispanic or Latino,436.0,27207.0,1602.5,936.5
2018,West Virginia,54,"Hardy County, WV",54031,White,Not Hispanic or Latino,164.0,12371.0,1325.7,921.7
2018,West Virginia,54,"Harrison County, WV",54033,Black or African American,Not Hispanic or Latino,15.0,1191.0,Unreliable,Unreliable
2018,West Virginia,54,"Harrison County, WV",54033,White,Not Hispanic or Latino,848.0,63555.0,1334.3,935.8
2018,West Virginia,54,"Jackson County, WV",54035,White,Not Hispanic or Latino,380.0,27767.0,1368.5,932.5
2018,West Virginia,54,"Jefferson County, WV",54037,Black or African American,Not Hispanic or Latino,50.0,3467.0,1442.2,1475.4
2018,West Virginia,54,"Jefferson County, WV",54037,White,Not Hispanic or Latino,439.0,47559.0,923.1,775.2
2018,West Virginia,54,"Kanawha County, WV",54039,Black or African American,Not Hispanic or Latino,159.0,13636.0,1166.0,1185.5
