year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,West Virginia,54,"Barbour County, WV",54001,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,10.0,16535.0,Unreliable
2018,West Virginia,54,"Barbour County, WV",54001,Ischemic heart disease,Atherosclerotic heart disease,I25.1,12.0,16535.0,Unreliable
2018,West Virginia,54,"Barbour County, WV",54001,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,21.0,16535.0,127.0
2018,West Virginia,54,"Berkeley County, WV",54003,Sepsis,"Septicaemia, unspecified",A41.9,21.0,117123.0,17.9
2018,West Virginia,54,"Berkeley County, WV",54003,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,15.0,117123.0,Unreliable
2018,West Virginia,54,"Berkeley County, WV",54003,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,12.0,117123.0,Unreliable
2018,West Virginia,54,"Berkeley County, WV",54003,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,72.0,117123.0,61.5
2018,West Virginia,54,"Berkeley County, WV",54003,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,17.0,117123.0,Unreliable
2018,West Virginia,54,"Berkeley County, WV",54003,Malignant neoplasms,Malignant neoplasm without specification of site,C80,16.0,117123.0,Unreliable
2018,West Virginia,54,"Berkeley County, WV",54003,Diabetes,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,10.0,117123.0,Unreliable
2018,West Virginia,54,"Berkeley County, WV",54003,Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,16.0,117123.0,Unreliable
2018,West Virginia,54,"Berkeley County, WV",54003,Alzheimer disease and dementia,Unspecified dementia,F03,26.0,117123.0,22.2
2018,West Virginia,54,"Berkeley County, WV",54003,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,23.0,117123.0,19.6
2018,West Virginia,54,"Berkeley County, WV",54003,Hypertensive diseases,Essential (primary) hypertension,I10,10.0,117123.0,Unreliable
2018,West Virginia,54,"Berkeley County, WV",54003,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,29.0,117123.0,24.8
2018,West Virginia,54,"Berkeley County, WV",54003,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,23.0,117123.0,19.6
2018,West Virginia,54,"Berkeley County, WV",54003,Ischemic heart disease,Atherosclerotic heart disease,I25.1,51.0,117123.0,43.5
2018,West Virginia,54,"Berkeley County, WV",54003,Other diseases of the circulatory system,Congestive heart failure,I50.0,26.0,117123.0,22.2
2018,West Virginia,54,"Berkeley County, WV",54003,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,27.0,117123.0,23.1
2018,West Virginia,54,"Berkeley County, WV",54003,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,18.0,117123.0,Unreliable
2018,West Virginia,54,"Berkeley County, WV",54003,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,53.0,117123.0,45.3
2018,West Virginia,54,"Boone County, WV",54005,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,19.0,21951.0,Unreliable
2018,West Virginia,54,"Boone County, WV",54005,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,11.0,21951.0,Unreliable
2018,West Virginia,54,"Boone County, WV",54005,Ischemic heart disease,Atherosclerotic heart disease,I25.1,15.0,21951.0,Unreliable
2018,West Virginia,54,"Boone County, WV",54005,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,24.0,21951.0,109.3
2018,West Virginia,54,"Braxton County, WV",54007,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,11.0,14089.0,Unreliable
2018,West Virginia,54,"Braxton County, WV",54007,Ischemic heart disease,Atherosclerotic heart disease,I25.1,14.0,14089.0,Unreliable
2018,West Virginia,54,"Braxton County, WV",54007,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,10.0,14089.0,Unreliable
2018,West Virginia,54,"Brooke County, WV",54009,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,22.0,22203.0,99.1
2018,West Virginia,54,"Brooke County, WV",54009,Alzheimer disease and dementia,Unspecified dementia,F03,16.0,22203.0,Unreliable
2018,West Virginia,54,"Brooke County, WV",54009,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,13.0,22203.0,Unreliable
2018,West Virginia,54,"Brooke County, WV",54009,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,10.0,22203.0,Unreliable
2018,West Virginia,54,"Brooke County, WV",54009,Ischemic heart disease,Atherosclerotic heart disease,I25.1,38.0,22203.0,171.1
2018,West Virginia,54,"Brooke County, WV",54009,Other diseases of the circulatory system,Congestive heart failure,I50.0,10.0,22203.0,Unreliable
2018,West Virginia,54,"Brooke County, WV",54009,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,11.0,22203.0,Unreliable
