year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,West Virginia,54,"Berkeley County, WV",54003,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,23.0,117123.0,19.6
2018,West Virginia,54,"Cabell County, WV",54011,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,25.0,93224.0,26.8
2018,West Virginia,54,"Hancock County, WV",54029,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,16.0,29094.0,Unreliable
2018,West Virginia,54,"Hardy County, WV",54031,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,14.0,13775.0,Unreliable
2018,West Virginia,54,"Harrison County, WV",54033,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,16.0,67554.0,Unreliable
2018,West Virginia,54,"Jefferson County, WV",54037,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,12.0,56811.0,Unreliable
2018,West Virginia,54,"Kanawha County, WV",54039,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,47.0,180454.0,26.0
2018,West Virginia,54,"Mercer County, WV",54055,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,14.0,59131.0,Unreliable
2018,West Virginia,54,"Raleigh County, WV",54081,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,14.0,74254.0,Unreliable
2018,West Virginia,54,"Wayne County, WV",54099,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other ill-defined and unspecified causes of mortality,R99,11.0,39944.0,Unreliable
