year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,Wisconsin,55,"Adams County, WI",55001,White,Not Hispanic or Latino,264.0,18365.0,1437.5,816.5
2018,Wisconsin,55,"Ashland County, WI",55003,American Indian or Alaska Native,Not Hispanic or Latino,26.0,1646.0,1579.6,2484.3
2018,Wisconsin,55,"Ashland County, WI",55003,White,Not Hispanic or Latino,177.0,12830.0,1379.6,883.5
2018,Wisconsin,55,"Barron County, WI",55005,White,Not Hispanic or Latino,545.0,42037.0,1296.5,788.1
2018,Wisconsin,55,"Bayfield County, WI",55007,American Indian or Alaska Native,Not Hispanic or Latino,27.0,1452.0,1859.5,2181.1
2018,Wisconsin,55,"Bayfield County, WI",55007,White,Not Hispanic or Latino,151.0,12685.0,1190.4,601.3
2018,Wisconsin,55,"Brown County, WI",55009,American Indian or Alaska Native,Not Hispanic or Latino,53.0,6642.0,798.0,1379.2
2018,Wisconsin,55,"Brown County, WI",55009,Asian,Not Hispanic or Latino,26.0,8721.0,298.1,605.0
2018,Wisconsin,55,"Brown County, WI",55009,Black or African American,Not Hispanic or Latino,32.0,7202.0,444.3,734.7
2018,Wisconsin,55,"Brown County, WI",55009,White,Hispanic or Latino,27.0,19169.0,140.9,319.2
2018,Wisconsin,55,"Brown County, WI",55009,White,Not Hispanic or Latino,1912.0,212389.0,900.2,692.7
2018,Wisconsin,55,"Buffalo County, WI",55011,White,Not Hispanic or Latino,129.0,12544.0,1028.4,653.7
2018,Wisconsin,55,"Burnett County, WI",55013,American Indian or Alaska Native,Not Hispanic or Latino,12.0,643.0,Unreliable,Unreliable
2018,Wisconsin,55,"Burnett County, WI",55013,White,Not Hispanic or Latino,183.0,13887.0,1317.8,685.9
2018,Wisconsin,55,"Calumet County, WI",55015,White,Not Hispanic or Latino,370.0,45520.0,812.8,690.5
2018,Wisconsin,55,"Chippewa County, WI",55017,White,Not Hispanic or Latino,603.0,59952.0,1005.8,736.5
2018,Wisconsin,55,"Clark County, WI",55019,White,Not Hispanic or Latino,359.0,32204.0,1114.8,814.7
2018,Wisconsin,55,"Columbia County, WI",55021,White,Not Hispanic or Latino,549.0,53033.0,1035.2,757.3
2018,Wisconsin,55,"Crawford County, WI",55023,White,Not Hispanic or Latino,175.0,15326.0,1141.9,692.7
2018,Wisconsin,55,"Dane County, WI",55025,Asian,Not Hispanic or Latino,46.0,34444.0,133.6,343.2
2018,Wisconsin,55,"Dane County, WI",55025,Black or African American,Not Hispanic or Latino,145.0,28283.0,512.7,1080.5
2018,Wisconsin,55,"Dane County, WI",55025,White,Hispanic or Latino,45.0,30226.0,148.9,477.3
2018,Wisconsin,55,"Dane County, WI",55025,White,Not Hispanic or Latino,3197.0,430240.0,743.1,614.6
2018,Wisconsin,55,"Dodge County, WI",55027,Black or African American,Not Hispanic or Latino,11.0,2847.0,Unreliable,Unreliable
2018,Wisconsin,55,"Dodge County, WI",55027,White,Hispanic or Latino,15.0,3974.0,Unreliable,Unreliable
