year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Wisconsin,55,"Adams County, WI",55001,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,13.0,20348.0,Unreliable
2018,Wisconsin,55,"Adams County, WI",55001,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,10.0,20348.0,Unreliable
2018,Wisconsin,55,"Adams County, WI",55001,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,10.0,20348.0,Unreliable
2018,Wisconsin,55,"Adams County, WI",55001,Ischemic heart disease,Atherosclerotic heart disease,I25.1,22.0,20348.0,108.1
2018,Wisconsin,55,"Adams County, WI",55001,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,16.0,20348.0,Unreliable
2018,Wisconsin,55,"Ashland County, WI",55003,Alzheimer disease and dementia,Unspecified dementia,F03,13.0,15600.0,Unreliable
2018,Wisconsin,55,"Ashland County, WI",55003,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,10.0,15600.0,Unreliable
2018,Wisconsin,55,"Ashland County, WI",55003,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,10.0,15600.0,Unreliable
2018,Wisconsin,55,"Barron County, WI",55005,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,10.0,45164.0,Unreliable
2018,Wisconsin,55,"Barron County, WI",55005,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,30.0,45164.0,66.4
2018,Wisconsin,55,"Barron County, WI",55005,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,11.0,45164.0,Unreliable
2018,Wisconsin,55,"Barron County, WI",55005,Alzheimer disease and dementia,Unspecified dementia,F03,26.0,45164.0,57.6
2018,Wisconsin,55,"Barron County, WI",55005,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,33.0,45164.0,73.1
2018,Wisconsin,55,"Barron County, WI",55005,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,21.0,45164.0,46.5
2018,Wisconsin,55,"Barron County, WI",55005,Ischemic heart disease,Atherosclerotic heart disease,I25.1,31.0,45164.0,68.6
2018,Wisconsin,55,"Barron County, WI",55005,Other diseases of the circulatory system,Congestive heart failure,I50.0,13.0,45164.0,Unreliable
2018,Wisconsin,55,"Barron County, WI",55005,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,12.0,45164.0,Unreliable
2018,Wisconsin,55,"Barron County, WI",55005,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,10.0,45164.0,Unreliable
2018,Wisconsin,55,"Barron County, WI",55005,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,25.0,45164.0,55.4
2018,Wisconsin,55,"Bayfield County, WI",55007,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,13.0,15042.0,Unreliable
2018,Wisconsin,55,"Brown County, WI",55009,Sepsis,"Septicaemia, unspecified",A41.9,23.0,263378.0,8.7
