year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,Wyoming,56,"Albany County, WY",56001,White,Hispanic or Latino,16.0,3275.0,Unreliable,Unreliable
2018,Wyoming,56,"Albany County, WY",56001,White,Not Hispanic or Latino,182.0,31681.0,574.5,655.2
2018,Wyoming,56,"Big Horn County, WY",56003,White,Not Hispanic or Latino,126.0,10418.0,1209.4,799.0
2018,Wyoming,56,"Campbell County, WY",56005,White,Not Hispanic or Latino,261.0,40326.0,647.2,842.5
2018,Wyoming,56,"Carbon County, WY",56007,White,Hispanic or Latino,13.0,2517.0,Unreliable,Unreliable
2018,Wyoming,56,"Carbon County, WY",56007,White,Not Hispanic or Latino,103.0,11559.0,891.1,668.4
2018,Wyoming,56,"Converse County, WY",56009,White,Not Hispanic or Latino,108.0,12069.0,894.9,711.7
2018,Wyoming,56,"Crook County, WY",56011,White,Not Hispanic or Latino,68.0,7016.0,969.2,679.5
2018,Wyoming,56,"Fremont County, WY",56013,American Indian or Alaska Native,Not Hispanic or Latino,85.0,7873.0,1079.6,1698.9
2018,Wyoming,56,"Fremont County, WY",56013,White,Hispanic or Latino,12.0,1688.0,Unreliable,Unreliable
2018,Wyoming,56,"Fremont County, WY",56013,White,Not Hispanic or Latino,341.0,27492.0,1240.4,795.8
2018,Wyoming,56,"Goshen County, WY",56015,White,Not Hispanic or Latino,148.0,11424.0,1295.5,742.0
2018,Wyoming,56,"Hot Springs County, WY",56017,White,Not Hispanic or Latino,64.0,4180.0,1531.1,759.2
2018,Wyoming,56,"Johnson County, WY",56019,White,Not Hispanic or Latino,110.0,7723.0,1424.3,847.8
2018,Wyoming,56,"Laramie County, WY",56021,Black or African American,Not Hispanic or Latino,13.0,2393.0,Unreliable,Unreliable
2018,Wyoming,56,"Laramie County, WY",56021,White,Hispanic or Latino,75.0,13038.0,575.2,745.6
2018,Wyoming,56,"Laramie County, WY",56021,White,Not Hispanic or Latino,793.0,77698.0,1020.6,800.8
2018,Wyoming,56,"Lincoln County, WY",56023,White,Not Hispanic or Latino,139.0,17939.0,774.8,676.1
2018,Wyoming,56,"Natrona County, WY",56025,White,Hispanic or Latino,30.0,5811.0,516.3,866.6
2018,Wyoming,56,"Natrona County, WY",56025,White,Not Hispanic or Latino,700.0,68513.0,1021.7,831.5
2018,Wyoming,56,"Niobrara County, WY",56027,White,Not Hispanic or Latino,25.0,2188.0,1142.6,714.2
2018,Wyoming,56,"Park County, WY",56029,White,Not Hispanic or Latino,286.0,26660.0,1072.8,650.5
2018,Wyoming,56,"Platte County, WY",56031,White,Not Hispanic or Latino,129.0,7510.0,1717.7,1046.8
2018,Wyoming,56,"Sheridan County, WY",56033,White,Not Hispanic or Latino,347.0,27658.0,1254.6,828.0
2018,Wyoming,56,"Sublette County, WY",56035,White,Not Hispanic or Latino,78.0,8736.0,892.9,673.4
2018,Wyoming,56,"Sweetwater County, WY",56037,White,Hispanic or Latino,20.0,6252.0,319.9,649.2
2018,Wyoming,56,"Sweetwater County, WY",56037,White,Not Hispanic or Latino,294.0,34145.0,861.0,876.2
2018,Wyoming,56,"Teton County, WY",56039,White,Not Hispanic or Latino,74.0,18812.0,393.4,333.6
2018,Wyoming,56,"Uinta County, WY",56041,White,Not Hispanic or Latino,133.0,17741.0,749.7,697.9
2018,Wyoming,56,"Washakie County, WY",56043,White,Hispanic or Latino,10.0,952.0,Unreliable,Unreliable
2018,Wyoming,56,"Washakie County, WY",56043,White,Not Hispanic or Latino,88.0,6498.0,1354.3,816.3
2018,Wyoming,56,"Weston County, WY",56045,White,Not Hispanic or Latino,78.0,6267.0,1244.6,754.3
2019,Wyoming,56,"Albany County, WY",56001,White,Not Hispanic or Latino,176.0,31844.0,552.7,616.8
