year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Wyoming,56,"Albany County, WY",56001,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,18.0,38601.0,Unreliable
2018,Wyoming,56,"Albany County, WY",56001,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,10.0,38601.0,Unreliable
2018,Wyoming,56,"Albany County, WY",56001,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,14.0,38601.0,Unreliable
2018,Wyoming,56,"Big Horn County, WY",56003,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,10.0,11881.0,Unreliable
2018,Wyoming,56,"Campbell County, WY",56005,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,11.0,46140.0,Unreliable
2018,Wyoming,56,"Campbell County, WY",56005,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,18.0,46140.0,Unreliable
2018,Wyoming,56,"Campbell County, WY",56005,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,24.0,46140.0,52.0
2018,Wyoming,56,"Campbell County, WY",56005,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,12.0,46140.0,Unreliable
2018,Wyoming,56,"Campbell County, WY",56005,Ischemic heart disease,Atherosclerotic heart disease,I25.1,16.0,46140.0,Unreliable
2018,Wyoming,56,"Converse County, WY",56009,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,11.0,13640.0,Unreliable
2018,Wyoming,56,"Fremont County, WY",56013,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,23.0,39531.0,58.2
2018,Wyoming,56,"Fremont County, WY",56013,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,12.0,39531.0,Unreliable
2018,Wyoming,56,"Fremont County, WY",56013,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,26.0,39531.0,65.8
2018,Wyoming,56,"Fremont County, WY",56013,Ischemic heart disease,Atherosclerotic heart disease,I25.1,14.0,39531.0,Unreliable
2018,Wyoming,56,"Fremont County, WY",56013,Other diseases of the circulatory system,Congestive heart failure,I50.0,11.0,39531.0,Unreliable
2018,Wyoming,56,"Fremont County, WY",56013,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,40.0,39531.0,101.2
2018,Wyoming,56,"Goshen County, WY",56015,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,11.0,13376.0,Unreliable
2018,Wyoming,56,"Laramie County, WY",56021,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,20.0,98976.0,20.2
2018,Wyoming,56,"Laramie County, WY",56021,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,37.0,98976.0,37.4
2018,Wyoming,56,"Laramie County, WY",56021,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,11.0,98976.0,Unreliable
2018,Wyoming,56,"Laramie County, WY",56021,Diabetes,"Non-insulin-dependent diabetes mellitus, with renal complications",E11.2,14.0,98976.0,Unreliable
2018,Wyoming,56,"Laramie County, WY",56021,Diabetes,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,12.0,98976.0,Unreliable
2018,Wyoming,56,"Laramie County, WY",56021,Alzheimer disease and dementia,Unspecified dementia,F03,13.0,98976.0,Unreliable
2018,Wyoming,56,"Laramie County, WY",56021,Alzheimer disease and dementia,Alzheimer disease with late onset,G30.1,11.0,98976.0,Unreliable
2018,Wyoming,56,"Laramie County, WY",56021,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,55.0,98976.0,55.6
2018,Wyoming,56,"Laramie County, WY",56021,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,44.0,98976.0,44.5
2018,Wyoming,56,"Laramie County, WY",56021,Ischemic heart disease,Atherosclerotic heart disease,I25.1,37.0,98976.0,37.4
2018,Wyoming,56,"Laramie County, WY",56021,Other diseases of the circulatory system,Congestive heart failure,I50.0,12.0,98976.0,Unreliable
2018,Wyoming,56,"Laramie County, WY",56021,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,18.0,98976.0,Unreliable
2018,Wyoming,56,"Laramie County, WY",56021,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,12.0,98976.0,Unreliable
