Year,State,County,Deaths,Population,CrudeRate
2018,Alabama,"Autauga County, AL",31.0,55601.0,55.8
2018,Alabama,"Baldwin County, AL",174.0,218022.0,79.8
2018,Alabama,"Barbour County, AL",14.0,24881.0,Unreliable
2018,Alabama,"Bibb County, AL",25.0,22400.0,111.6
2018,Alabama,"Blount County, AL",58.0,57840.0,100.3
2018,Alabama,"Butler County, AL",18.0,19680.0,Unreliable
2018,Alabama,"Calhoun County, AL",115.0,114277.0,100.6
2018,Alabama,"Chambers County, AL",30.0,33615.0,89.2
2018,Alabama,"Cherokee County, AL",32.0,26032.0,122.9
2018,Alabama,"Chilton County, AL",50.0,44153.0,113.2
2018,Alabama,"Choctaw County, AL",16.0,12841.0,Unreliable
2018,Alabama,"Clarke County, AL",19.0,23920.0,Unreliable
2018,Alabama,"Clay County, AL",13.0,13275.0,Unreliable
2018,Alabama,"Cleburne County, AL",10.0,14987.0,Unreliable
2018,Alabama,"Coffee County, AL",40.0,51909.0,77.1
2018,Alabama,"Colbert County, AL",64.0,54762.0,116.9
2018,Alabama,"Conecuh County, AL",14.0,12277.0,Unreliable
2018,Alabama,"Covington County, AL",31.0,36986.0,83.8
2018,Alabama,"Crenshaw County, AL",12.0,13824.0,Unreliable
2018,Alabama,"Cullman County, AL",81.0,83442.0,97.1
2018,Alabama,"Dale County, AL",38.0,48956.0,77.6
2018,Alabama,"Dallas County, AL",54.0,38310.0,141.0
2018,Alabama,"DeKalb County, AL",62.0,71385.0,86.9
2018,Alabama,"Elmore County, AL",67.0,81887.0,81.8
2018,Alabama,"Escambia County, AL",38.0,36748.0,103.4
2018,Alabama,"Etowah County, AL",93.0,102501.0,90.7
2018,Alabama,"Fayette County, AL",12.0,16433.0,Unreliable
2018,Alabama,"Franklin County, AL",28.0,31363.0,89.3
2018,Alabama,"Geneva County, AL",32.0,26314.0,121.6
2018,Alabama,"Hale County, AL",17.0,14726.0,Unreliable
2018,Alabama,"Henry County, AL",14.0,17209.0,Unreliable
2018,Alabama,"Houston County, AL",82.0,104722.0,78.3
2018,Alabama,"Jackson County, AL",45.0,51736.0,87.0
2018,Alabama,"Jefferson County, AL",683.0,659300.0,103.6
2018,Alabama,"Lauderdale County, AL",88.0,92387.0,95.3
2018,Alabama,"Lawrence County, AL",37.0,32957.0,112.3
2018,Alabama,"Lee County, AL",93.0,163941.0,56.7
2018,Alabama,"Limestone County, AL",74.0,96174.0,76.9
2018,Alabama,"Lowndes County, AL",12.0,9974.0,Unreliable
2018,Alabama,"Macon County, AL",24.0,18439.0,130.2
2018,Alabama,"Madison County, AL",240.0,366519.0,65.5
2018,Alabama,"Marengo County, AL",22.0,19066.0,115.4
2018,Alabama,"Marion County, AL",27.0,29763.0,90.7
2018,Alabama,"Marshall County, AL",87.0,96109.0,90.5
2018,Alabama,"Mobile County, AL",346.0,413757.0,83.6
2018,Alabama,"Monroe County, AL",21.0,21067.0,99.7
2018,Alabama,"Montgomery County, AL",156.0,225763.0,69.1
2018,Alabama,"Morgan County, AL",105.0,119089.0,88.2
2018,Alabama,"Pickens County, AL",25.0,19938.0,125.4
2018,Alabama,"Pike County, AL",23.0,33338.0,69.0
2018,Alabama,"Randolph County, AL",27.0,22725.0,118.8
2018,Alabama,"Russell County, AL",62.0,57781.0,107.3
2018,Alabama,"St. Clair County, AL",94.0,88690.0,106.0
2018,Alabama,"Shelby County, AL",131.0,215707.0,60.7
2018,Alabama,"Sumter County, AL",16.0,12691.0,Unreliable
2018,Alabama,"Talladega County, AL",82.0,79828.0,102.7
2018,Alabama,"Tallapoosa County, AL",42.0,40497.0,103.7
2018,Alabama,"Tuscaloosa County, AL",129.0,208911.0,61.7
2018,Alabama,"Walker County, AL",63.0,63711.0,98.9
2018,Alabama,"Washington County, AL",20.0,16378.0,122.1
2018,Alabama,"Wilcox County, AL",10.0,10627.0,Unreliable
2018,Alabama,"Winston County, AL",19.0,23660.0,Unreliable
2018,Alaska,"Anchorage Borough, AK",244.0,291538.0,83.7
2018,Alaska,"Bethel Census Area, AK",36.0,18216.0,197.6
2018,Alaska,"Fairbanks North Star Borough, AK",83.0,98971.0,83.9
2018,Alaska,"Juneau Borough, AK",23.0,32113.0,71.6
2018,Alaska,"Kenai Peninsula Borough, AK",49.0,58533.0,83.7
2018,Alaska,"Ketchikan Gateway Borough, AK",17.0,13918.0,Unreliable
2018,Alaska,"Kodiak Island Borough, AK",12.0,13345.0,Unreliable
2018,Alaska,"Matanuska-Susitna Borough, AK",88.0,107610.0,81.8
2018,Alaska,"Nome Census Area, AK",12.0,10008.0,Unreliable
2018,Alaska,"North Slope Borough, AK",12.0,9872.0,Unreliable
2018,Alaska,"Northwest Arctic Borough, AK",21.0,7671.0,273.8
2018,Alaska,"Valdez-Cordova Census Area, AK",15.0,9164.0,Unreliable
2018,Alaska,"Wade Hampton Census Area, AK",17.0,8303.0,Unreliable
2018,Alaska,"Yukon-Koyukuk Census Area, AK",11.0,5327.0,Unreliable
2018,Arizona,"Apache County, AZ",143.0,71818.0,199.1
2018,Arizona,"Cochise County, AZ",113.0,126770.0,89.1
2018,Arizona,"Coconino County, AZ",170.0,142854.0,119.0
2018,Arizona,"Gila County, AZ",93.0,53889.0,172.6
2018,Arizona,"Graham County, AZ",26.0,38072.0,68.3
2018,Arizona,"La Paz County, AZ",38.0,21098.0,180.1
2018,Arizona,"Maricopa County, AZ",3622.0,4410824.0,82.1
2018,Arizona,"Mohave County, AZ",270.0,209550.0,128.8
2018,Arizona,"Navajo County, AZ",178.0,110445.0,161.2
2018,Arizona,"Pima County, AZ",986.0,1039073.0,94.9
2018,Arizona,"Pinal County, AZ",329.0,447138.0,73.6
2018,Arizona,"Santa Cruz County, AZ",33.0,46511.0,71.0
2018,Arizona,"Yavapai County, AZ",255.0,231993.0,109.9
2018,Arizona,"Yuma County, AZ",141.0,212128.0,66.5
2018,Arkansas,"Arkansas County, AR",15.0,17769.0,Unreliable
2018,Arkansas,"Ashley County, AR",20.0,20046.0,99.8
2018,Arkansas,"Baxter County, AR",41.0,41619.0,98.5
2018,Arkansas,"Benton County, AR",150.0,272608.0,55.0
2018,Arkansas,"Boone County, AR",33.0,37480.0,88.0
2018,Arkansas,"Bradley County, AR",10.0,10897.0,Unreliable
2018,Arkansas,"Carroll County, AR",37.0,28223.0,131.1
2018,Arkansas,"Clark County, AR",14.0,22061.0,Unreliable
2018,Arkansas,"Clay County, AR",19.0,14847.0,Unreliable
2018,Arkansas,"Cleburne County, AR",31.0,24965.0,124.2
2018,Arkansas,"Cleveland County, AR",11.0,8018.0,Unreliable
2018,Arkansas,"Columbia County, AR",15.0,23537.0,Unreliable
2018,Arkansas,"Conway County, AR",16.0,20891.0,Unreliable
2018,Arkansas,"Craighead County, AR",74.0,108558.0,68.2
2018,Arkansas,"Crawford County, AR",49.0,63406.0,77.3
2018,Arkansas,"Crittenden County, AR",62.0,48342.0,128.3
2018,Arkansas,"Cross County, AR",18.0,16676.0,Unreliable
2018,Arkansas,"Desha County, AR",12.0,11512.0,Unreliable
2018,Arkansas,"Drew County, AR",16.0,18328.0,Unreliable
2018,Arkansas,"Faulkner County, AR",100.0,124806.0,80.1
2018,Arkansas,"Franklin County, AR",19.0,17810.0,Unreliable
2018,Arkansas,"Fulton County, AR",12.0,12269.0,Unreliable
2018,Arkansas,"Garland County, AR",102.0,99154.0,102.9
2018,Arkansas,"Greene County, AR",43.0,45325.0,94.9
2018,Arkansas,"Hempstead County, AR",13.0,21741.0,Unreliable
2018,Arkansas,"Hot Spring County, AR",34.0,33701.0,100.9
2018,Arkansas,"Independence County, AR",24.0,37678.0,63.7
2018,Arkansas,"Izard County, AR",17.0,13593.0,Unreliable
2018,Arkansas,"Jackson County, AR",16.0,16811.0,Unreliable
2018,Arkansas,"Jefferson County, AR",68.0,68114.0,99.8
2018,Arkansas,"Johnson County, AR",23.0,26742.0,86.0
2018,Arkansas,"Lawrence County, AR",18.0,16434.0,Unreliable
2018,Arkansas,"Lee County, AR",11.0,8985.0,Unreliable
2018,Arkansas,"Lincoln County, AR",19.0,13383.0,Unreliable
2018,Arkansas,"Little River County, AR",11.0,12326.0,Unreliable
2018,Arkansas,"Logan County, AR",21.0,21737.0,96.6
2018,Arkansas,"Lonoke County, AR",72.0,73657.0,97.8
2018,Arkansas,"Madison County, AR",13.0,16481.0,Unreliable
2018,Arkansas,"Marion County, AR",24.0,16722.0,143.5
2018,Arkansas,"Miller County, AR",27.0,43592.0,61.9
2018,Arkansas,"Mississippi County, AR",35.0,41239.0,84.9
2018,Arkansas,"Montgomery County, AR",12.0,8924.0,Unreliable
2018,Arkansas,"Newton County, AR",12.0,7805.0,Unreliable
2018,Arkansas,"Ouachita County, AR",18.0,23606.0,Unreliable
