State,2021 natural cause deaths (CDC)**,2021 natural cause death rate (CDC)**,2020 natural cause deaths (CDC),2020 natural cause death rate (CDC),2019 natural cause deaths (CDC),2019 natural cause death rate (CDC),2018 natural cause deaths (CDC),2018 natural cause death rate (CDC),2021 external cause deaths (CDC)**,2021 external cause death rate (CDC)**,2020 external cause deaths (CDC),2020 external cause death rate (CDC),2019 external cause deaths (CDC),2019 external cause death rate (CDC),2018 external cause deaths (CDC),2018 external cause deaths rate (CDC),2021 flu and pneumonia deaths (CDC)**,2021 flu and pneumonia death rate (CDC)**,2020 flu and pneumonia deaths (CDC),2020 flu and pneumonia death rate (CDC),2019 flu and pneumonia deaths (CDC),2019 flu and pneumonia death rate (CDC),2018 flu and pneumonia deaths (CDC),2018 flu and pneumonia death rate (CDC),2021 alzheimer deaths (CDC)**,2021 alzheimer death rate (CDC)**,2020 alzheimer deaths (CDC),2020 alzheimer death rate (CDC),2019 alzheimer deaths (CDC),2019 alzheimer death rate (CDC),2018 alzheimer deaths (CDC),2018 alzheimer death rate (CDC),2021 diabetes deaths (CDC)**,2021 diabetes death rates (CDC)**,2020 diabetes deaths (CDC),2020 diabetes death rates (CDC),2019 diabetes deaths (CDC),2019 diabetes death rates (CDC),2018 diabetes deaths (CDC),2018 diabetes death rates (CDC),2021 stroke deaths (CDC)**,2021 stroke death rate (CDC)**,2020 stroke deaths (CDC),2020 stroke death rate (CDC),2019 stroke deaths (CDC),2019 stroke death rate (CDC),2018 stroke deaths (CDC),2018 stroke death rate (CDC),2021 respiratory deaths (CDC)**,2021 respiratory death rates (CDC)**,2020 respiratory deaths (CDC),2020 respiratory death rates (CDC),2019 respiratory deaths (CDC),2019 respiratory death rates (CDC),2018 respiratory deaths (CDC),2018 respiratory death rates (CDC),2021 heart disease deaths (CDC)**,2021 heart disease death rates (CDC)**,2020 heart diease deaths (CDC),2020 heart disease death rates (CDC),2019 heart disease deaths (CDC),2019 heart disease death rates (CDC),2018  heart disease deaths (CDC),2018  heart disease death rates (CDC),2021 drug overdose unintentional deaths (CDC),2021 drug overdose unintentional death rates (CDC)**,2020 drug overdose unintentional deaths (CDC),2020 drug overdose unintentional death rates (CDC),2019 drug overdose unintentional deaths (CDC),2019 drug overdose unintentional death rates (CDC),2018 drug overdose unintentional deaths (CDC),2018 drug overdose unintentional death rate (CDC),2021 transport accident deaths (CDC)**,2021 transport accident death rates (CDC)**,2020 transport accident deaths (CDC),2020 transport accident death rates (CDC),2019 transport accident deaths (CDC),2019 transport accident death rates (CDC),2018 transport accident deaths (CDC),2018 transport accident death rates (CDC),2021 deaths from ill-defined conditions (CDC)**,2021 ill-defined conditions death rate (CDC)**,2020 deaths from ill-defined conditions (CDC),2020 ill-defined conditions death rate (CDC),2019 deaths from ill-defined conditions (CDC),2019 ill-defined conditions death rate (CDC),2018 ill-defined conditions deaths (CDC),2018 ill-defined conditions death rate (CDC)
Alabama,"56,083","1,140","60,185","1,223","49,812","1,016",50124,1025.5,"2,176",44,"4,594",93,"4,296",88,4228,86.5,884,18,"1,113",22.6,"1,018",20.8,1268,25.9,"2,380",48.4,"3,093",62.8,"2,659",54.2,2616,53.5,"1,390",28.2,"1,450",29.5,"1,224",25,1176,24.1,"2,903",59,"3,391",68.9,"3,141",64.1,3088,63.2,"2,804",57,"3,431",69.7,"3,530",72,3596,73.6,"13,049",265.1,"14,739",299.5,"13,448",274.3,13110,268.2,534,8.6,963,19.6,696,14.2,686,14,448,9.1,"1,017",20.7,"1,052",21.5,1090,22.3,"1,303.00",26.5,"1,136.00",23.1,991,20.2,976,20
Alaska,"4,195",574,"4,389",600,"3,855",527,3763,510.3,341,47,781,107,758,104,690,93.6,26,3.6,52,7.1,45,6.2,68,9.2,108,14.8,139,19,128,17.5,131,17.8,133,18.2,174,23.8,111,15.2,122,16.5,206,28.2,212,29,210,28.7,216,29.3,182,24.9,205,28,202,27.6,222,30.1,791,108.2,915,125.1,843,115.2,785,106.4,99,10.1,140,19.1,112,15.3,95,12.9,37,5.1,108,14.8,124,17,134,18.2,65,8.9,54,7.4,50,6.8,67,9.1
Arizona,"62,860",847,"68,117",918,"53,567",736,52879,737.3,"3,380",46,"7,630",103,"6,669",92,6403,89.3,760,10.2,"1,113",15,955,13.1,1116,15.6,"2,395",32.3,"3,238",43.6,"3,047",41.9,3012,42,"2,179",29.4,"2,566",34.6,"2,173",29.9,2046,28.5,"2,861",38.6,"3,227",43.5,"2,851",39.2,2836,39.5,"3,071",41.4,"3,696",49.8,"3,685",50.6,3832,53.4,"12,457",167.9,"14,197",191.3,"12,587",172.9,12149,169.4,"1,036",10.8,"2,316",31.2,"1,687",23.2,1439,20.1,584,7.9,"1,133",15.3,"1,066",14.6,1085,15.1,"1,519.00",20.5,"1,028.00",13.9,949,13,1131,15.8
Arkansas,"32,440","1,070","35,166","1,160","30,396","1,007",29839,990.1,"1,341",44,"2,942",97,"2,492",83,2497,82.9,448,14.8,691,22.8,623,20.6,670,22.2,"1,377",45.4,"1,782",58.8,"1,507",49.9,1457,48.3,"1,277",42.1,"1,306",43.1,"1,144",37.9,1194,39.6,"1,601",52.8,"1,684",55.6,"1,561",51.7,1551,51.5,"2,028",66.9,"2,415",79.7,"2,364",78.3,2385,79.1,"7,338",242.1,"8,621",284.5,"8,669",287.3,7955,264,240,6.3,456,15,319,10.6,349,11.6,298,9.8,723,23.9,584,19.4,565,18.7,490,16.2,231,7.6,220,7.3,211,7
California,"269,755",685,"294,066",747,"247,844",627,247659,626.1,"11,382",29,"25,742",65,"21,987",56,21159,53.5,"3,900",9.9,"6,064",15.4,"5,664",14.3,6917,17.5,"14,900",37.8,"18,773",47.7,"16,859",42.7,16627,42,"9,810",24.9,"11,643",29.6,"9,854",24.9,9506,24,"15,971",40.6,"17,915",45.5,"16,851",42.6,16457,41.6,"9,833",25,"12,908",32.8,"13,096",33.1,13634,34.5,"55,441",140.8,"66,585",169.1,"62,394",157.9,61285,154.9,"4,055",8.4,"8,543",21.7,"5,603",14.2,4780,12.1,"2,150",5.5,"4,826",12.3,"4,416",11.2,4399,11.1,"7,106.00",18.1,"1,478.00",3.8,"1,441.00",3.6,1268,3.2
Colorado,"36,116",622,"41,468",714,"34,583",601,33787,593.2,"2,529",44,"5,450",94,"4,807",84,4739,83.2,236,4.1,448,7.7,468,8.1,568,10,"1,547",26.6,"2,164",37.3,"1,909",33.1,1649,29,"1,020",17.6,"1,168",20.1,"1,046",18.2,974,17.1,"1,789",30.8,"2,191",37.7,"1,990",34.6,1996,35,"1,939",33.4,"2,490",42.9,"2,516",43.7,2636,46.3,"6,821",117.4,"8,023",138.1,"7,762",134.8,6901,121.2,700,9.7,"1,307",22.5,891,15.5,838,14.7,289,5,762,13.1,708,12.3,713,12.5,"1,087.00",18.7,245,4.2,256,4.4,255,4.5
Connecticut,"25,658",721,"34,787",978,"28,914",811,28573,799.8,"1,357",38,"3,066",86,"2,831",79,2657,74.4,326,9.2,527,14.8,563,15.8,757,21.2,839,23.6,"1,084",30.5,967,27.1,986,27.6,621,17.5,861,24.2,761,21.3,708,19.8,"1,190",33.5,"1,467",41.2,"1,375",38.6,1388,38.9,968,27.2,"1,236",34.7,"1,399",39.2,1427,39.9,"5,392",151.6,"7,110",199.9,"7,354",206.3,7038,197,610,13.9,"1,303",36.6,"1,127",31.6,993,27.8,131,3.7,341,9.6,292,8.2,317,8.9,724,20.4,356,10,447,12.5,388,10.9
Delaware,"8,870",899,"10,110","1,025","8,372",860,8576,886.7,457,46,962,98,930,96,857,88.6,97,9.8,156,15.8,132,13.6,167,17.3,340,34.5,474,48,339,34.8,412,42.6,270,27.4,326,33,267,27.4,238,24.6,666,67.5,716,72.6,594,61,605,62.6,429,43.5,468,47.4,474,48.7,532,55,"1,887",191.2,"2,171",220,"2,053",210.8,1962,202.9,221,18.6,426,43.2,408,41.9,379,39.2,48,4.9,128,13,139,14.3,127,13.1,128,13,40,4.1,54,5.5,60,6.2
District of Columbia,"4,275",600,"5,364",753,"4,247",602,4385,624.2,402,56,834,117,680,96,623,88.7,56,7.9,89,12.5,78,11.1,79,11.2,58,8.1,88,12.3,81,11.5,105,14.9,130,18.2,173,24.3,128,18.1,144,20.5,250,35.1,271,38,271,38.4,252,35.9,98,13.7,150,21,135,19.1,154,21.9,"1,072",150.4,"1,350",189.4,"1,187",168.2,1250,177.9,174,19.5,392,55,284,40.2,232,33,30,4.2,49,6.9,49,6.9,43,6.1,138,19.4,31,4.3,21,3,25,3.6
Florida,"214,358",986,"218,268","1,004","188,241",876,187332,879.5,"9,630",44,"21,417",99,"18,761",87,18094,85,"2,463",11.3,"3,192",14.7,"2,705",12.6,3091,14.5,"5,956",27.4,"7,274",33.5,"6,539",30.4,6725,31.6,"7,072",32.5,"7,528",34.6,"6,174",28.7,6204,29.1,"13,669",62.9,"15,358",70.7,"13,902",64.7,13255,62.2,"9,633",44.3,"11,791",54.3,"12,014",55.9,12362,58,"43,489",200.1,"49,288",226.8,"47,144",219.5,45991,215.9,"3,076",11.5,"6,824",31.4,"4,787",22.3,4212,19.8,"1,757",8.1,"3,758",17.3,"3,526",16.4,3381,15.9,"5,989.00",27.6,"3,242.00",14.9,"3,020.00",14.1,2984,14
