Year,State,County,Deaths,Population,CrudeRate
2018,Alabama,"Autauga County, AL",432,55601,777
2018,Alabama,"Baldwin County, AL",1857,218022,851.7
2018,Alabama,"Barbour County, AL",256,24881,1028.9
2018,Alabama,"Bibb County, AL",226,22400,1008.9
2018,Alabama,"Blount County, AL",549,57840,949.2
2018,Alabama,"Bullock County, AL",89,10138,877.9
2018,Alabama,"Butler County, AL",244,19680,1239.8
2018,Alabama,"Calhoun County, AL",1287,114277,1126.2
2018,Alabama,"Chambers County, AL",345,33615,1026.3
2018,Alabama,"Cherokee County, AL",264,26032,1014.1
2018,Alabama,"Chilton County, AL",371,44153,840.3
2018,Alabama,"Choctaw County, AL",152,12841,1183.7
2018,Alabama,"Clarke County, AL",257,23920,1074.4
2018,Alabama,"Clay County, AL",150,13275,1129.9
2018,Alabama,"Cleburne County, AL",153,14987,1020.9
2018,Alabama,"Coffee County, AL",491,51909,945.9
2018,Alabama,"Colbert County, AL",613,54762,1119.4
2018,Alabama,"Conecuh County, AL",139,12277,1132.2
2018,Alabama,"Coosa County, AL",123,10715,1147.9
2018,Alabama,"Covington County, AL",481,36986,1300.5
2018,Alabama,"Crenshaw County, AL",149,13824,1077.8
2018,Alabama,"Cullman County, AL",870,83442,1042.6
2018,Alabama,"Dale County, AL",427,48956,872.2
2018,Alabama,"Dallas County, AL",434,38310,1132.9
2018,Alabama,"DeKalb County, AL",683,71385,956.8
2018,Alabama,"Elmore County, AL",641,81887,782.8
2018,Alabama,"Escambia County, AL",361,36748,982.4
2018,Alabama,"Etowah County, AL",1203,102501,1173.6
2018,Alabama,"Fayette County, AL",199,16433,1211
2018,Alabama,"Franklin County, AL",296,31363,943.8
2018,Alabama,"Geneva County, AL",311,26314,1181.9
2018,Alabama,"Greene County, AL",92,8233,1117.5
2018,Alabama,"Hale County, AL",136,14726,923.5
2018,Alabama,"Henry County, AL",177,17209,1028.5
2018,Alabama,"Houston County, AL",856,104722,817.4
2018,Alabama,"Jackson County, AL",589,51736,1138.5
2018,Alabama,"Jefferson County, AL",5464,659300,828.8
2018,Alabama,"Lamar County, AL",127,13844,917.4
2018,Alabama,"Lauderdale County, AL",914,92387,989.3
2018,Alabama,"Lawrence County, AL",345,32957,1046.8
2018,Alabama,"Lee County, AL",861,163941,525.2
2018,Alabama,"Limestone County, AL",703,96174,731
2018,Alabama,"Lowndes County, AL",104,9974,1042.7
2018,Alabama,"Macon County, AL",205,18439,1111.8
2018,Alabama,"Madison County, AL",2649,366519,722.7
2018,Alabama,"Marengo County, AL",227,19066,1190.6
2018,Alabama,"Marion County, AL",339,29763,1139
2018,Alabama,"Marshall County, AL",931,96109,968.7
2018,Alabama,"Mobile County, AL",3569,413757,862.6
2018,Alabama,"Monroe County, AL",231,21067,1096.5
2018,Alabama,"Montgomery County, AL",1640,225763,726.4
2018,Alabama,"Morgan County, AL",1091,119089,916.1
2018,Alabama,"Perry County, AL",84,9140,919
2018,Alabama,"Pickens County, AL",183,19938,917.8
2018,Alabama,"Pike County, AL",256,33338,767.9
2018,Alabama,"Randolph County, AL",219,22725,963.7
2018,Alabama,"Russell County, AL",461,57781,797.8
2018,Alabama,"St. Clair County, AL",749,88690,844.5
2018,Alabama,"Shelby County, AL",1207,215707,559.6
