State,County,People with at least 1 dose (CDC),People with at least 1 dose as % of total population (CDC),People who are fully vaccinated (CDC),People who are fully vaccinated as % of total population (CDC),"People who have received a booster dose since August 13, 2021 (CDC)",People who have received a booster dose as % of fully vaccinated population (CDC)
Alabama,"Jefferson County, AL",470277,0.714,379817,0.577,144513,0.38
Alabama,"Chilton County, AL",19589,0.441,16065,0.362,5135,0.32
Alabama,"Tuscaloosa County, AL",110194,0.526,90983,0.435,32446,0.357
Alabama,"Madison County, AL",282316,0.757,228763,0.613,85435,0.373
Alabama,"Geneva County, AL",12711,0.484,10552,0.402,3424,0.324
Alabama,"Shelby County, AL",97338,0.447,78419,0.36,26629,0.34
Alabama,"Montgomery County, AL",148640,0.656,117173,0.517,40059,0.342
Alabama,"Mobile County, AL",248022,0.6,203932,0.494,70246,0.344
Alabama,"Baldwin County, AL",142731,0.639,112605,0.504,39020,0.347
Alabama,"Dale County, AL",27953,0.568,23401,0.476,6169,0.264
Alabama,"Lauderdale County, AL",53164,0.573,42943,0.463,15816,0.368
Alabama,"Elmore County, AL",46444,0.572,37403,0.461,11909,0.318
Alabama,"Autauga County, AL",30878,0.553,24489,0.438,7842,0.32
Alabama,"Dallas County, AL",21862,0.588,16772,0.451,6331,0.377
Alabama,"Lee County, AL",78677,0.478,65702,0.399,22127,0.337
Alabama,"St. Clair County, AL",41614,0.465,34835,0.389,12411,0.356
Alabama,"Limestone County, AL",45707,0.462,38362,0.388,12540,0.327
Alabama,"Marshall County, AL",53467,0.552,43935,0.454,14973,0.341
Alabama,"Houston County, AL",54455,0.514,45501,0.43,15308,0.336
Alabama,"Lawrence County, AL",18063,0.549,15463,0.47,5536,0.358
Alabama,"Colbert County, AL",31407,0.569,26413,0.478,9571,0.362
Alabama,"Macon County, AL",10829,0.599,8600,0.476,3161,0.368
Alabama,"Cullman County, AL",37678,0.45,31891,0.381,11608,0.364
Alabama,"Morgan County, AL",61333,0.512,51951,0.434,19896,0.383
Alabama,"Chambers County, AL",12498,0.376,10386,0.312,3734,0.36
Alabama,"Talladega County, AL",35408,0.443,29113,0.364,10536,0.362
Alabama,"Randolph County, AL",9123,0.402,7426,0.327,2731,0.368
Alabama,"Jackson County, AL",30849,0.598,25312,0.49,9420,0.372
Alabama,"Tallapoosa County, AL",18359,0.455,15464,0.383,6321,0.409
Alabama,"Barbour County, AL",13666,0.554,11115,0.45,3619,0.326
Alabama,"Walker County, AL",35742,0.563,29871,0.47,10388,0.348
Alabama,"Clarke County, AL",14816,0.627,12016,0.509,4210,0.35
Alabama,"Russell County, AL",31807,0.549,23560,0.406,7000,0.297
Alabama,"Hale County, AL",10624,0.725,8955,0.611,3585,0.4
Alabama,"Calhoun County, AL",64740,0.57,52971,0.466,18578,0.351
Alabama,"Covington County, AL",17122,0.462,14081,0.38,4366,0.31
Alabama,"DeKalb County, AL",29674,0.415,24077,0.337,8400,0.349
Alabama,"Conecuh County, AL",6836,0.567,5242,0.434,1564,0.298
Alabama,"Coffee County, AL",30596,0.585,24577,0.47,6607,0.269
Alabama,"Coosa County, AL",5182,0.486,4307,0.404,1674,0.389
Alabama,"Marengo County, AL",12596,0.668,10225,0.542,3629,0.355
Alabama,"Blount County, AL",22063,0.382,18230,0.315,5954,0.327
Alabama,"Pike County, AL",16832,0.508,13875,0.419,4576,0.33
Alabama,"Etowah County, AL",50384,0.493,41769,0.408,15137,0.362
Alabama,"Escambia County, AL",16985,0.464,13293,0.363,4261,0.321
Alabama,"Clay County, AL",6654,0.503,5488,0.415,1614,0.294
Alabama,"Pickens County, AL",12033,0.604,9783,0.491,3470,0.355
Alabama,"Franklin County, AL",16650,0.531,13621,0.434,4356,0.32
Alabama,"Marion County, AL",12631,0.425,10784,0.363,3843,0.356
Alabama,"Bibb County, AL",9491,0.424,7748,0.346,2643,0.341
Alabama,"Lamar County, AL",7010,0.508,6042,0.438,2427,0.402
Alabama,"Cleburne County, AL",5109,0.343,4268,0.286,1441,0.338
Alabama,"Sumter County, AL",8451,0.68,6341,0.51,2299,0.363
Alabama,"Crenshaw County, AL",5724,0.416,4716,0.342,1565,0.332
Alabama,"Greene County, AL",5157,0.636,4103,0.506,1750,0.427
Alabama,"Washington County, AL",9094,0.557,7481,0.458,2503,0.335
Alabama,"Winston County, AL",6221,0.263,5181,0.219,1709,0.33
Alabama,"Fayette County, AL",6629,0.407,5682,0.349,1918,0.338
Alabama,"Butler County, AL",9618,0.495,7634,0.393,2416,0.316
Alabama,"Lowndes County, AL",6310,0.649,4926,0.506,1749,0.355
Alabama,"Wilcox County, AL",6948,0.67,5568,0.537,2110,0.379
Alabama,"Choctaw County, AL",10264,0.815,8276,0.657,2943,0.356
Alabama,"Perry County, AL",5192,0.582,4317,0.484,1702,0.394
Alabama,"Bullock County, AL",6739,0.667,5336,0.528,1602,0.3
Alabama,"Henry County, AL",9372,0.545,7781,0.452,2674,0.344
Alabama,"Monroe County, AL",11295,0.545,9003,0.434,3175,0.353
Alabama,"Cherokee County, AL",9852,0.376,7985,0.305,3004,0.376
Alabama,"Unallocated, AL",,,,,,
Alaska,"Aleutians East Borough, AK",2838,0.85,2510,0.752,886,0.353
Alaska,"Aleutians West Census Area, AK",4169,0.74,3522,0.625,1111,0.315
Alaska,"Nome Census Area, AK",7374,0.737,7046,0.704,3416,0.485
Alaska,"Matanuska-Susitna Borough, AK",49451,0.457,43714,0.404,16471,0.377
Alaska,"Anchorage Municipality, AK",216901,0.753,192834,0.67,81224,0.421
Alaska,"Kenai Peninsula Borough, AK",31249,0.532,28226,0.481,13283,0.471
Alaska,"Bethel Census Area, AK",13241,0.72,12216,0.664,5454,0.446
Alaska,"Fairbanks North Star Borough, AK",65675,0.678,57746,0.596,19499,0.338
Alaska,"Dillingham Census Area, AK",2813,0.572,2567,0.522,1111,0.433
Alaska,"Northwest Arctic Borough, AK",4916,0.645,4605,0.604,2323,0.504
