,fips_code,state,county_name,exp_deaths_med,all_obs,covid,excess,unexplained_excess,unexplained_excess_ratio,Excess Death Ratio Percentile Groups
0,01001,Alabama,Autauga,941,1187,156,246,90,0.365853658536585,50th-75th percentile
1,01003,Alabama,Baldwin,4095,5002,584,907,323,0.356119073869901,50th-75th percentile
2,01005,Alabama,Barbour,530,647,87,117,30,0.256410256410256,50th-75th percentile
3,01011,Alabama,Bullock,206,239,33,33,0,0.0,25th-50th percentile
4,01067,Alabama,Henry,402,473,61,71,10,0.140845070422535,25th-50th percentile
5,01007,Alabama,Bibb,446,549,85,103,18,0.174757281553398,25th-50th percentile
6,01021,Alabama,Chilton,890,1127,175,237,62,0.261603375527426,50th-75th percentile
7,01037,Alabama,Coosa,278,311,39,33,-6,-0.181818181818182,Bottom 25th percentile
8,01105,Alabama,Perry,208,293,42,85,43,0.505882352941176,Top 25th percentile
9,01009,Alabama,Blount,1189,1459,183,270,87,0.322222222222222,50th-75th percentile
10,01013,Alabama,Butler,450,523,96,73,-23,-0.315068493150685,Bottom 25th percentile
11,01041,Alabama,Crenshaw,345,432,57,87,30,0.344827586206897,50th-75th percentile
12,01109,Alabama,Pike,553,765,115,212,97,0.457547169811321,Top 25th percentile
13,01015,Alabama,Calhoun,2547,3146,457,599,142,0.237061769616027,25th-50th percentile
14,01017,Alabama,Chambers,729,1028,147,299,152,0.508361204013378,Top 25th percentile
15,01029,Alabama,Cleburne,342,433,65,91,26,0.285714285714286,50th-75th percentile
16,01111,Alabama,Randolph,532,640,108,108,0,0.0,25th-50th percentile
17,01019,Alabama,Cherokee,624,811,89,187,98,0.524064171122995,Top 25th percentile
18,01055,Alabama,Etowah,2461,3091,495,630,135,0.214285714285714,25th-50th percentile
19,01023,Alabama,Choctaw,323,344,53,21,-32,-1.52380952380952,Bottom 25th percentile
20,01025,Alabama,Clarke,530,735,94,205,111,0.541463414634146,Top 25th percentile
21,01129,Alabama,Washington,351,396,56,45,-11,-0.244444444444444,Bottom 25th percentile
22,01027,Alabama,Clay,318,406,62,88,26,0.295454545454545,50th-75th percentile
23,01121,Alabama,Talladega,1731,2208,318,477,159,0.333333333333333,50th-75th percentile
24,01031,Alabama,Coffee,987,1241,193,254,61,0.240157480314961,25th-50th percentile
25,01061,Alabama,Geneva,648,889,131,241,110,0.45643153526971,Top 25th percentile
26,01033,Alabama,Colbert,1312,1497,190,185,-5,-0.027027027027027,25th-50th percentile
27,01035,Alabama,Conecuh,326,387,61,61,0,0.0,25th-50th percentile
28,01091,Alabama,Marengo,483,592,94,109,15,0.137614678899083,25th-50th percentile
29,01099,Alabama,Monroe,469,616,81,147,66,0.448979591836735,Top 25th percentile
30,01131,Alabama,Wilcox,249,292,45,43,-2,-0.0465116279069768,Bottom 25th percentile
31,01039,Alabama,Covington,954,1214,208,260,52,0.2,25th-50th percentile
32,01053,Alabama,Escambia,811,1088,163,277,114,0.411552346570397,50th-75th percentile
33,01043,Alabama,Cullman,1863,2205,292,342,50,0.146198830409357,25th-50th percentile
34,01045,Alabama,Dale,929,1177,173,248,75,0.30241935483871,50th-75th percentile
35,01047,Alabama,Dallas,839,1131,191,292,101,0.345890410958904,50th-75th percentile
36,01085,Alabama,Lowndes,269,319,71,50,-21,-0.42,Bottom 25th percentile
37,01049,Alabama,DeKalb,1410,1848,278,438,160,0.365296803652968,50th-75th percentile
38,01051,Alabama,Elmore,1405,1843,245,438,193,0.440639269406393,Top 25th percentile
39,01057,Alabama,Fayette,393,510,91,117,26,0.222222222222222,25th-50th percentile
40,01075,Alabama,Lamar,343,419,72,76,4,0.0526315789473684,25th-50th percentile
41,01093,Alabama,Marion,723,928,129,205,76,0.370731707317073,50th-75th percentile
42,01059,Alabama,Franklin,649,807,101,158,57,0.360759493670886,50th-75th percentile
43,01079,Alabama,Lawrence,702,955,141,253,112,0.442687747035573,Top 25th percentile
44,01063,Alabama,Greene,185,265,42,80,38,0.475,Top 25th percentile
45,01065,Alabama,Hale,357,441,73,84,11,0.130952380952381,25th-50th percentile
46,01107,Alabama,Pickens,447,578,82,131,49,0.374045801526718,50th-75th percentile
47,01119,Alabama,Sumter,295,308,41,13,-28,-2.15384615384615,Bottom 25th percentile
48,01069,Alabama,Houston,2026,2669,406,643,237,0.368584758942457,50th-75th percentile
49,01071,Alabama,Jackson,1249,1641,213,392,179,0.456632653061225,Top 25th percentile
50,01073,Alabama,Jefferson,12275,14730,1738,2455,717,0.292057026476578,50th-75th percentile
51,01077,Alabama,Lauderdale,1988,2321,289,333,44,0.132132132132132,25th-50th percentile
52,01081,Alabama,Lee,1974,2362,312,388,76,0.195876288659794,25th-50th percentile
53,01083,Alabama,Limestone,1554,1931,202,377,175,0.464190981432361,Top 25th percentile
54,01087,Alabama,Macon,420,502,64,82,18,0.219512195121951,25th-50th percentile
55,01123,Alabama,Tallapoosa,974,1179,175,205,30,0.146341463414634,25th-50th percentile
56,01089,Alabama,Madison,5890,6694,637,804,167,0.20771144278607,25th-50th percentile
57,01095,Alabama,Marshall,2018,2455,285,437,152,0.347826086956522,50th-75th percentile
58,01097,Alabama,Mobile,7652,9536,1291,1884,593,0.314755838641189,50th-75th percentile
59,01101,Alabama,Montgomery,3680,4807,701,1127,426,0.377994676131322,50th-75th percentile
60,01103,Alabama,Morgan,2413,2957,353,544,191,0.351102941176471,50th-75th percentile
61,01113,Alabama,Russell,1084,1321,188,237,49,0.206751054852321,25th-50th percentile
62,01115,Alabama,St. Clair,1681,2172,341,491,150,0.305498981670061,50th-75th percentile
63,01117,Alabama,Shelby,2735,3214,352,479,127,0.265135699373695,50th-75th percentile
64,01125,Alabama,Tuscaloosa,3122,3914,594,792,198,0.25,50th-75th percentile
65,01127,Alabama,Walker,1757,2266,353,509,156,0.306483300589391,50th-75th percentile
66,01133,Alabama,Winston,543,702,102,159,57,0.358490566037736,50th-75th percentile
67,02020,Alaska,Anchorage,2796,3555,338,759,421,0.55467720685112,Top 25th percentile
68,02090,Alaska,Fairbanks North Star,737,962,99,225,126,0.56,Top 25th percentile
69,02122,Alaska,Kenai Peninsula,778,842,68,64,-4,-0.0625,Bottom 25th percentile
70,02170,Alaska,Matanuska-Susitna,1033,1381,161,348,187,0.537356321839081,Top 25th percentile
71,02140,Alaska,Northern Alaska,72,89,11,17,6,0.352941176470588,50th-75th percentile
72,02180,Alaska,Nome,107,123,10,16,6,0.375,50th-75th percentile
73,02185,Alaska,North Slope,84,78,14,-6,-20,3.33333333333333,Top 25th percentile
74,02240,Alaska,Southeast Fairbanks,158,200,23,42,19,0.452380952380952,Top 25th percentile
75,02261,Alaska,Valdez-Cordova,93,7,7,-86,-93,1.08139534883721,Top 25th percentile
76,02100,Alaska,Haines,24,39,12,15,3,0.2,25th-50th percentile
77,02110,Alaska,Juneau,321,355,15,34,19,0.558823529411765,Top 25th percentile
78,02195,Alaska,Petersburg,381,493,59,112,53,0.473214285714286,Top 25th percentile
79,02220,Alaska,Sitka,100,112,4,12,8,0.666666666666667,Top 25th percentile
80,02232,Alaska,Southeast Alaska,28,49,12,21,9,0.428571428571429,Top 25th percentile
81,02010,Alaska,Southwest Alaska,37,24,21,-13,-34,2.61538461538462,Top 25th percentile
82,02050,Alaska,Bethel,164,202,31,38,7,0.184210526315789,25th-50th percentile
83,02060,Alaska,Bristol Bay,8,16,9,8,-1,-0.125,Bottom 25th percentile
84,02070,Alaska,Dillingham,67,75,9,8,-1,-0.125,Bottom 25th percentile
85,02150,Alaska,Kodiak Island,99,143,7,44,37,0.840909090909091,Top 25th percentile
86,02158,Alaska,Southwest Alaska,75,94,6,19,13,0.68421052631579,Top 25th percentile
87,04001,Arizona,Apache,1081,1849,511,768,257,0.334635416666667,50th-75th percentile
88,04003,Arizona,Cochise,2378,2870,366,492,126,0.25609756097561,50th-75th percentile
89,04009,Arizona,Graham,525,696,103,171,68,0.39766081871345,50th-75th percentile
90,04011,Arizona,Greenlee,110,122,17,12,-5,-0.416666666666667,Bottom 25th percentile
91,04005,Arizona,Coconino,1353,1837,341,484,143,0.295454545454545,50th-75th percentile
92,04007,Arizona,Gila,1315,1652,220,337,117,0.347181008902077,50th-75th percentile
93,04025,Arizona,Yavapai,5397,6416,603,1019,416,0.408243375858685,50th-75th percentile
94,04013,Arizona,Maricopa,55923,69826,9472,13903,4431,0.318708192476444,50th-75th percentile
95,04015,Arizona,Mohave,5889,7216,878,1327,449,0.33835719668425,50th-75th percentile
96,04017,Arizona,Navajo,1759,2815,605,1056,451,0.427083333333333,Top 25th percentile
97,04019,Arizona,Pima,16849,20604,2468,3755,1287,0.342743009320905,50th-75th percentile
98,04023,Arizona,Santa Cruz,533,755,169,222,53,0.238738738738739,25th-50th percentile
99,04021,Arizona,Pinal,5910,7655,1020,1745,725,0.415472779369628,Top 25th percentile
100,04027,Arizona,Yuma,3329,4559,940,1230,290,0.235772357723577,25th-50th percentile
101,05001,Arkansas,Arkansas (county),426,539,49,113,64,0.566371681415929,Top 25th percentile
102,05095,Arkansas,Monroe,202,231,30,29,-1,-0.0344827586206897,25th-50th percentile
